pass,setting,shms_p_GeV,dp_label,delta_center,dp_lo,dp_hi,variable,measured,measured_err,sigma,sigma_err,predicted,residual,residual_err_FromMeasuredOnly,pull_FromMeasuredOnly,dthe_b1,dthe_b2,dthe_b3,dthe_b4,dpe_b1,dpe_b2,dpe_b3,dpe_b4,dthp,dpp,chi2,n_obs,n_params,ndf,chi2_ndf,success,message,nit,nfev
4pass,A,-7.0700,b4,1.5000,1.0000,2.0000,Pmy,9.7096,0.3031,9.4489,0.0168,-0.1568,9.8663,0.3031,32.5560,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b1,-1.5000,-2.0000,-1.0000,W,5.7612,1.1251,27.9537,0.4558,5.8354,-0.0742,1.1251,-0.0659,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b1,-1.5000,-2.0000,-1.0000,Em,-6.3974,0.2853,6.6922,0.1114,-3.9362,-2.4611,0.2853,-8.6259,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b1,-1.5000,-2.0000,-1.0000,Pmz,8.2417,0.4073,9.8457,0.1465,5.5087,2.7330,0.4073,6.7107,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b1,-1.5000,-2.0000,-1.0000,Pmy,6.2885,0.3156,9.8439,0.1073,12.4480,-6.1595,0.3156,-19.5172,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b2,-0.5000,-1.0000,0.0000,W,6.1964,1.0936,27.6742,0.4359,1.3898,4.8067,1.0936,4.3952,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b2,-0.5000,-1.0000,0.0000,Em,-4.3021,0.3097,6.9920,0.1201,-3.4754,-0.8266,0.3097,-2.6694,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b2,-0.5000,-1.0000,0.0000,Pmz,5.2128,0.4007,9.7185,0.1365,3.9311,1.2817,0.4007,3.1986,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b2,-0.5000,-1.0000,0.0000,Pmy,8.3823,0.3338,10.2538,0.1114,13.1939,-4.8116,0.3338,-14.4136,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b3,0.5000,0.0000,1.0000,W,10.3527,0.9993,26.4470,0.3620,3.0514,7.3012,0.9993,7.3065,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b3,0.5000,0.0000,1.0000,Em,-2.4984,0.2967,6.8329,0.1132,-2.2612,-0.2373,0.2967,-0.7996,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b3,0.5000,0.0000,1.0000,Pmz,3.5988,0.4198,10.1111,0.1427,3.0929,0.5059,0.4198,1.2050,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b3,0.5000,0.0000,1.0000,Pmy,9.3315,0.3250,10.0149,0.1026,12.3114,-2.9799,0.3250,-9.1677,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b4,1.5000,1.0000,2.0000,W,14.9436,0.8736,24.5994,0.3177,6.5015,8.4421,0.8736,9.6635,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b4,1.5000,1.0000,2.0000,Em,-0.2024,0.3002,6.9875,0.1121,-0.0180,-0.1844,0.3002,-0.6142,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b4,1.5000,1.0000,2.0000,Pmz,2.5057,0.3810,9.1701,0.1209,1.6389,0.8669,0.3810,2.2754,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
4pass,B,-5.6700,b4,1.5000,1.0000,2.0000,Pmy,10.3088,0.3237,10.0077,0.1018,10.6000,-0.2912,0.3237,-0.8996,0.6423,0.9393,0.9502,0.9482,-1.9683,-2.0497,-2.2642,-2.6606,-4.9576,4.1534,2959.6113,32,10,22,134.5278,True,Optimization terminated successfully.,7216,10168
