setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
C,10.671600,4.720000,26.395000,-6.720000,18.560000,5,b5,2.000000,3.000000,W,0.896018,1.016126,742.000000,0.141758,5234.272024,921.000000,8156.000000,957.137467,1.303691,29.818951,1.356352,0,27.695252,14,947.605277,0.278059,21.708132,0.261478,0,54.130100,11,9.532190,1.333014,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,5,b5,2.000000,3.000000,Em,-0.022143,0.010441,664.000000,0.104368,6362.106971,921.000000,8156.000000,-5.787195,0.398559,8.124148,0.387169,0,22.774835,13,5.734718,0.063790,4.628953,0.059371,0,86.168478,8,-11.521913,0.403632,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,5,b5,2.000000,3.000000,Pmz,-0.030514,0.036720,765.000000,0.132080,5791.925622,921.000000,8156.000000,7.327339,0.435525,8.992086,0.358064,0,62.554887,8,-5.253359,0.076058,5.712675,0.058398,0,567.454565,6,12.580698,0.442116,1
C,10.671600,4.720000,26.395000,-6.720000,18.560000,5,b5,2.000000,3.000000,Pmy,-0.020874,0.036030,837.000000,0.152009,5506.238159,921.000000,8156.000000,7.822938,0.406160,10.976920,0.384204,0,11.005288,6,-1.629991,0.092058,8.092165,0.069861,0,7.152716,5,9.452929,0.416462,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,0,full,-10.000000,22.000000,W,0.892982,1.011337,5811.000000,0.944874,6150.025319,9825.000000,92791.000000,952.982316,0.461232,30.286162,0.483958,0,45.580514,14,947.666036,0.089597,20.102397,0.090120,0,820.025528,10,5.316280,0.469854,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,0,full,-10.000000,22.000000,Em,-0.025168,0.009808,4747.000000,0.580653,8175.271763,9825.000000,92791.000000,-8.020898,0.158945,9.019409,0.159137,0,125.772113,15,6.497153,0.025637,5.236952,0.023287,0,817.726328,10,-14.518050,0.161000,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,0,full,-10.000000,22.000000,Pmz,-0.031284,0.039711,5860.000000,0.870110,6734.783237,9825.000000,92791.000000,8.984124,0.162661,9.721322,0.146283,0,550.085503,9,-5.960718,0.026732,5.504636,0.019126,0,6687.982004,7,14.944842,0.164843,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,0,full,-10.000000,22.000000,Pmy,-0.024344,0.040715,7962.000000,1.302128,6114.608520,9825.000000,92791.000000,8.141619,0.133458,11.526189,0.120279,0,102.970801,8,-0.400717,0.026456,7.506851,0.020908,0,130.875159,5,8.542335,0.136055,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,1,b1,-2.000000,-1.000000,W,1.192628,1.300000,41.000000,0.005587,7338.126459,231.000000,1792.000000,1247.571216,11.245761,41.106167,17.236303,0,11.675014,11,1244.990928,51.723796,189.926627,279.424188,0,22.568772,16,2.580288,52.932204,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,1,b1,-2.000000,-1.000000,Em,0.000000,0.000000,0.000000,0.000000,1.000000,231.000000,1792.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999,0.000000,0,-999.000000,-999.000000,-999.000000,-999.000000,0,9.710807,11,-999.000000,-999.000000,0
