group_id,curve_label,setting_id,pt_bin,phibin,pt_lo,pt_hi,pt_center,phi_lo,phi_hi,phi_center,yield_sig,yield_pos,yield_dum,yield_posdum,yield_net,yield_net_err,yield_sim,yield_sim_err,xsec,xsec_stat,mean_xB,mean_Q2,valid
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,1,0,0.1,0.05,0.785398,1.5708,1.1781,0.0610613,-0.00615472,0.0115956,0,0.0641805,0.0122179,0.0151279,0.00275634,0.00286038,0.000753738,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,2,0,0.1,0.05,1.5708,2.35619,1.9635,0.273193,0,0.100496,0,0.246885,0.022498,0.108512,0.00818045,0.00153396,0.00018142,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,3,0,0.1,0.05,2.35619,3.14159,2.74889,0.498814,-0.00615472,0.235778,0,0.443246,0.031755,0.232596,0.0121152,0.00128482,0.000113804,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,4,0,0.1,0.05,3.14159,3.92699,3.53429,0.453809,0,0.150743,0,0.414348,0.0284645,0.234298,0.0121085,0.00119233,0.000102499,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,5,0,0.1,0.05,3.92699,4.71239,4.31969,0.274485,0,0.150743,0,0.235024,0.0235785,0.112651,0.00833192,0.00140661,0.000175321,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,6,0,0.1,0.05,4.71239,5.49779,5.10509,0.0462846,0,0.0309217,0,0.03819,0.0100267,0.0143883,0.00292421,0.00178953,0.000594156,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,0,7,0,0.1,0.05,5.49779,6.28319,5.89049,0.0237798,0,0,0,0.0237798,0.00597766,0.00522887,0.0018903,0.00306619,0.0013501,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,0.1,0.2,0.15,0,0.785398,0.392699,0.00605794,0,0.00488143,0,0.00478008,0.00522704,0.0414992,0.00737679,0.00037377,0.000414084,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,1,0.1,0.2,0.15,0.785398,1.5708,1.1781,0.142968,0.00281718,0.0988851,0,0.114264,0.0261821,0.0961073,0.0111647,0.00385801,0.000991131,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,2,0.1,0.2,0.15,1.5708,2.35619,1.9635,3.02723,0.0957223,1.51255,0.00429097,2.53668,0.127908,2.69344,0.0791899,0.0030561,0.000178382,0.25,3.3,1
