=== PlotCoinXsec v4 (phipq panels) ===
manifest: /home/cdaq/users/rparvez/RP_Scripts/rsidis_xs_v5/settings/pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2/manifest.json
leafDir: /home/cdaq/users/rparvez/RP_Scripts/rsidis_xs_v5/settings/pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2
setting_id: pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2
resultsDir: /home/cdaq/users/rparvez/RP_Scripts/rsidis_xs_v5/results/pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2
runs_signal: 25
runs_dummy: 8
runs_positron: 2
runs_positron_dummy: 2
sigma_model=0.00259622
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=1
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=1
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=1
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=560
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=54
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=58
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=49
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=993
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=111
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=88
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=105
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=989
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=112
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=86
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=93
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=511
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=62
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=51
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=69
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=1
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=2
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=572
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=60
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=38
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=46
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=1391
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=133
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=111
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=141
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=1476
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=144
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=127
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=139
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=737
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=76
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=56
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=51
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=1
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=0
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=0
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=0
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=0
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=27
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=1
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=1
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=2
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=137
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=14
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=6
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=13
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=196
SANITY (run 24559): entries(all)=29397 entries(baseCuts)=1320 entries(fullCuts)=20
SANITY (run 24335): entries(all)=6111 entries(baseCuts)=1060 entries(fullCuts)=17
SANITY (run 24560): entries(all)=27290 entries(baseCuts)=1231 entries(fullCuts)=16
SANITY (run 24322): entries(all)=57386 entries(baseCuts)=12455 entries(fullCuts)=80
