fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpe_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse,det_AtA,maxAbsAtA,near_singular_warn,large_param_warn
dpeDppDthp,1,1,0,0,0,data_minus_sim,23845,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.278694,0.084849,132.235647,1.899293,-9.950759,0.041248,-10.159155,0.047309,0,-4.1386846912311,5.99550220613612,-20.9114511829933,35.6867201693713,73.1979499816523,-64.5280774665546,-10.159155,-22.4080261693713,59.0376970183477,54.5773184665546,1.06581410364015e-14,6966.25299703717,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23845,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.573412,0.22285,129.369477,2.952957,-10.033596,0.111584,-6.688588,0.128074,0,-3.35229571391248,5.53337421759027,-22.2834371137163,28.9059080342241,70.530776769717,-64.4269521573091,-6.68858799999999,-22.3324960342241,58.838700230283,54.3933561573091,-7.99360577730113e-15,6919.37021796361,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23845,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.659035,0.161996,118.602725,1.530678,-9.596858,0.076807,-7.542345,0.084773,0,-3.34850551025972,5.14848891257366,-19.8302575156493,28.8732261685512,65.3450536344113,-58.8308396372497,-7.54234500000001,-20.2141911685512,53.2576713655887,49.2339816372497,1.33226762955019e-14,5668.97803174082,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23845,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.850757,0.151769,130.990803,3.713531,-9.772593,0.075946,-11.006338,0.085047,0,-4.28407129210966,5.99058216077037,-20.2303202293218,36.9403481524167,72.7920763536476,-63.5743264507271,-11.006338,-22.0895911524167,58.1987266463524,53.8017334507271,1.06581410364015e-14,6769.66834284086,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23845,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.697556,0.333486,184.665238,16.77276,-10.823513,0.097691,-13.391953,0.122877,0,-6.18159031051727,9.73825854773193,-27.4619597522268,53.3021237593981,101.397712262924,-87.8000635700886,-13.391953,-31.6045677593981,83.2675257370756,76.9765505700886,1.06581410364015e-14,13857.7188833024,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23845,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.085762,0.37772,25.307617,0.16289,-16.371017,0.221748,-15.286332,0.305117,0,-103.972703010962,256.092869012584,252.411568696334,896.52752853265,203.301095247178,148.174811138367,-15.286332,67.5582334673497,-177.993478247178,-164.545828138367,1.59872115546023e-14,63321.1227654987,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23846,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.581334,0.079564,134.709368,1.939175,-10.045768,0.03852,-10.365728,0.044172,0,-4.22379887084993,6.11983814156014,-21.2616661196088,36.4206359269399,74.5354027840769,-65.6735080516516,-10.365728,-22.8393019269399,60.1739652159231,55.6277400516516,0,7236.98526557117,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23846,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.809988,0.201887,130.267326,2.138588,-10.028193,0.101543,-6.943768,0.110753,0,-3.39763840992663,5.53581221116276,-22.3647049479362,29.2968854159536,71.0218294760648,-64.797611436005,-6.94376800000001,-22.4868974159536,59.2454965239352,54.769418436005,5.32907051820075e-15,7015.37860958145,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23846,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.227359,0.149696,123.628445,2.025125,-9.615717,0.070997,-7.793767,0.078448,0,-3.51996562583466,5.47136688594721,-20.5041683108404,30.3516787739637,67.9728874284626,-61.0664212690276,-7.79376700000001,-21.1243197739637,55.6555575715374,51.4507042690276,7.99360577730113e-15,6190.95294429032,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23846,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.924699,0.14327,127.745267,2.078772,-9.910846,0.070881,-11.106537,0.079419,0,-4.21773507645136,5.77885690456567,-19.7189859333657,36.3683495243723,71.248379096698,-62.1393169464442,-11.106537,-21.4436505243723,56.496887903302,52.2284709464442,0,6379.54166797325,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23846,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.843965,0.330335,188.578855,14.77815,-11.007439,0.094891,-13.458362,0.11869,0,-6.27979337619656,9.95729434141569,-28.1157976889429,54.1489013194516,103.4660910194,-89.6898175469519,-13.458362,-32.3049363194516,85.1127639805996,78.6823785469519,1.77635683940025e-15,14478.7081968269,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23846,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.40379,0.380003,25.296393,0.145353,-16.581483,0.210578,-15.959466,0.280808,0,-104.002394891302,255.872017066732,252.438915796819,896.783553309613,203.453229120297,148.115361101311,-15.959466,67.6202366903866,-178.156836120297,-164.696844101311,1.95399252334028e-14,63437.40512339,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23847,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.614161,0.08435,131.606765,1.940663,-10.101213,0.04108,-10.461112,0.04792,0,-4.15787198311929,5.91126418242709,-20.7609926605478,35.8521668190937,73.0170150632369,-64.2644273980947,-10.461112,-22.2380058190937,58.5897499367631,54.1632143980947,0,6860.94149439645,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23847,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.924709,0.217407,132.262165,1.822917,-10.175556,0.109953,-7.20245,0.127961,0,-3.45091731986144,5.55677118374705,-22.7025684485035,29.7562945499235,72.1085298713826,-65.7845019301772,-7.20245,-22.8315855499235,60.1536351286174,55.6089459301772,8.88178419700125e-16,7232.09598537567,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23847,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.141215,0.160171,124.168082,2.006817,-9.669834,0.075615,-7.837815,0.084801,0,-3.52147834132093,5.45582743879512,-20.6314310142207,30.3647224963735,68.2511977654487,-61.3621213461364,-7.83781500000001,-21.2235074963735,55.9168842345513,51.6922873461364,6.21724893790088e-15,6249.22778402437,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23847,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,15.018973,0.151241,129.141385,3.741106,-9.939137,0.075764,-11.150598,0.085417,0,-4.25805186110834,5.86139709342911,-19.9300775309664,36.7159898786208,71.9769610119175,-62.7847107693348,-11.150598,-21.6970168786208,57.1644239880825,52.8455737693348,-7.105427357601e-15,6531.18657833062,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23847,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.993534,0.333327,192.649162,16.457139,-11.06242,0.098195,-13.601666,0.122568,0,-6.38441267453199,10.1587460672582,-28.7572478080348,55.0510042585624,105.553721350004,-91.5776812891132,-13.601666,-33.0574702585624,87.0954406499965,80.5152612891132,5.32907051820075e-15,15161.119422367,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23847,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,965.379635,0.401656,25.736706,0.16806,-16.508354,0.234245,-16.27102,0.302155,0,-104.118595181337,256.02878079637,252.652398592958,897.785515900018,203.824730955159,148.124877713574,-16.2710199999999,67.5941190999821,-178.088024955159,-164.633231713574,-9.2370555648813e-14,63388.4105537873,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23848,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.81323,0.091137,131.880272,1.923071,-10.118301,0.044435,-10.456815,0.051027,0,-4.18497021324057,5.98164951872156,-20.7567314869294,36.0858272758741,73.1993850782392,-64.3657668595423,-10.456815,-22.2725972758741,58.6808869217608,54.2474658595423,1.4210854715202e-14,6882.30263151996,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23848,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.278605,0.230064,132.013495,1.608594,-10.378756,0.125188,-7.167607,0.135597,0,-3.37177408216695,5.37203690491234,-22.8955525435142,29.0738645540155,71.955566790149,-65.8992257996916,-7.167607,-22.7952595540155,60.057928209851,55.5204697996916,3.5527136788005e-15,7209.10116577302,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23848,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.306108,0.171103,123.003068,2.046696,-9.645421,0.083015,-7.99735,0.092601,0,-3.51406222608262,5.36695135062109,-20.389043343108,30.3007754095577,67.6891012919175,-60.7803420613214,-7.99735,-20.9946674095577,55.3139667080825,51.1349210613214,8.88178419700125e-16,6115.19112456837,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23848,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,15.198727,0.161401,126.924855,3.281456,-10.014513,0.081644,-11.231883,0.089835,0,-4.22704508213354,5.74728877584095,-19.5403438937544,36.448627098612,70.9384350355855,-61.7710825567445,-11.231883,-21.249900098612,55.9864199644145,51.7565695567445,0,6264.77996691492,3979.51142220752,174.056876024388,0,0
