toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_A,dthe_B,dthe_C,dthe_E,dthe_D,dpe_A,dpe_B,dpe_C,dpe_E,dpe_D,dpp_A,dpp_B,dpp_C,dpp_E,dpp_D,dthp
35,True,Optimization terminated successfully.,10337,13674,3111.0535,0,1,0.4656,-1.2456,-0.9755,-1.8541,-1.1741,-1.2394,0.8576,0.4941,1.7318,0.7806,1.1528,-0.4878,0.9610,-0.1769,0.7947,0.2873
36,True,Optimization terminated successfully.,10285,13587,4419.4684,0,1,0.0679,-0.9723,-1.6542,-0.8473,-1.4249,-0.6665,0.3449,0.9722,-0.5668,-0.1361,-0.8417,0.1345,-0.2601,2.6167,0.9416,0.7820
37,True,Optimization terminated successfully.,18416,24092,3548.7280,0,1,0.3323,-0.9453,-1.5019,-0.8966,-1.9944,-1.0926,0.4675,0.1300,0.1151,2.7096,0.6170,-0.0810,1.1273,2.1716,-1.6573,0.2283
38,True,Optimization terminated successfully.,11855,15601,871.9546,0,1,0.0826,-0.6704,-0.3973,-1.1671,-1.0118,-0.6484,0.3196,0.2115,1.6651,1.4753,-0.8709,0.5029,2.5872,0.6916,0.5437,0.9757
39,True,Optimization terminated successfully.,9176,12158,5397.9875,0,1,0.2076,-0.3970,-1.3133,-1.1546,-2.0641,-0.9094,-0.6737,0.4764,-0.1324,1.0083,-0.0335,1.7249,0.1788,2.0867,-1.2103,0.4480
40,True,Optimization terminated successfully.,20075,26247,940.5972,0,1,0.0952,-1.0819,-0.0078,-0.2840,-1.0894,-0.6593,0.9585,-0.5889,0.0661,1.1329,-0.8128,-0.7721,3.9698,2.8022,1.2611,0.9533
41,True,Optimization terminated successfully.,15589,20479,1220.8262,0,1,0.1109,-1.1973,-0.7863,-1.0327,-0.4153,-0.6691,1.1843,0.6151,1.6657,0.3079,-0.7725,-0.8353,1.9495,0.3386,2.3568,1.0370
42,True,Optimization terminated successfully.,8943,11858,680.9907,0,1,0.0317,-0.7647,-0.8651,-0.3947,-1.8058,-0.5654,0.4017,1.3854,0.1484,1.9904,-1.1453,0.2683,0.6931,2.8841,-0.0124,1.0727
43,True,Optimization terminated successfully.,15935,20906,1476.6021,0,1,-0.0869,-0.8135,-0.5565,-0.7495,-1.4329,-0.3898,0.5560,1.1669,0.6543,0.3779,-1.7433,0.0472,1.4393,1.9555,0.4676,1.2968
44,True,Optimization terminated successfully.,13258,17499,949.0564,0,1,0.2659,-0.6728,0.0505,-0.0426,-1.3496,-0.9220,0.2140,-0.3136,0.0247,1.6958,0.0753,0.5436,3.4802,3.3761,0.2733,0.6656
