fit_type,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,nit,nfev,dtheta_e_err,dpe_err,dtheta_p_err,dpp_err,minuit_status,cov_status,edm
julio_reported_reference,E,-6.605,3.000,1.500,4.500,Pmy,9.260,0.547,13.274,0.535,9.328,-0.068,-0.124,-0.647,1.005,-1.590,1.941,2.640,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
tminuit_simplex,D,-6.384,6.000,4.500,7.500,W,13.608,1.312,34.572,1.244,13.080,0.528,0.402,-2.014,3.405,-0.452,-1.841,0.817,4,4,0,True,"ok",-1,-1,0.241,0.546,0.319,0.773,0,2,0.000
tminuit_simplex,D,-6.384,6.000,4.500,7.500,Em,-14.402,0.401,9.056,0.373,-14.140,-0.262,-0.653,-2.014,3.405,-0.452,-1.841,0.817,4,4,0,True,"ok",-1,-1,0.241,0.546,0.319,0.773,0,2,0.000
tminuit_simplex,D,-6.384,6.000,4.500,7.500,Pmz,16.705,0.298,8.314,0.279,16.847,-0.142,-0.478,-2.014,3.405,-0.452,-1.841,0.817,4,4,0,True,"ok",-1,-1,0.241,0.546,0.319,0.773,0,2,0.000
tminuit_simplex,D,-6.384,6.000,4.500,7.500,Pmy,8.709,0.432,11.820,0.388,8.710,-0.001,-0.003,-2.014,3.405,-0.452,-1.841,0.817,4,4,0,True,"ok",-1,-1,0.241,0.546,0.319,0.773,0,2,0.000
tminuit_migrad,D,-6.384,6.000,4.500,7.500,W,13.608,1.312,34.572,1.244,13.608,-0.000,-0.000,-19.298,43.030,21.446,-57.997,0.000,4,4,0,True,"ok",-1,-1,0.241,0.546,0.319,0.773,0,2,0.000
tminuit_migrad,D,-6.384,6.000,4.500,7.500,Em,-14.402,0.401,9.056,0.373,-14.402,0.000,0.000,-19.298,43.030,21.446,-57.997,0.000,4,4,0,True,"ok",-1,-1,0.241,0.546,0.319,0.773,0,2,0.000
tminuit_migrad,D,-6.384,6.000,4.500,7.500,Pmz,16.705,0.298,8.314,0.279,16.705,0.000,0.000,-19.298,43.030,21.446,-57.997,0.000,4,4,0,True,"ok",-1,-1,0.241,0.546,0.319,0.773,0,2,0.000
tminuit_migrad,D,-6.384,6.000,4.500,7.500,Pmy,8.709,0.432,11.820,0.388,8.709,-0.000,-0.000,-19.298,43.030,21.446,-57.997,0.000,4,4,0,True,"ok",-1,-1,0.241,0.546,0.319,0.773,0,2,0.000
julio_reported_reference,D,-6.384,6.000,4.500,7.500,W,13.608,1.312,34.572,1.244,11.845,1.762,1.343,-1.118,1.462,-1.368,0.974,3.770,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,D,-6.384,6.000,4.500,7.500,Em,-14.402,0.401,9.056,0.373,-14.417,0.015,0.037,-1.118,1.462,-1.368,0.974,3.770,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,D,-6.384,6.000,4.500,7.500,Pmz,16.705,0.298,8.314,0.279,16.917,-0.212,-0.711,-1.118,1.462,-1.368,0.974,3.770,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
julio_reported_reference,D,-6.384,6.000,4.500,7.500,Pmy,8.709,0.432,11.820,0.388,8.187,0.522,1.208,-1.118,1.462,-1.368,0.974,3.770,4,4,0,reference,"copied from Julio notebook; not refit here",-1,-1,nan,nan,nan,nan,-1,-1,nan
