Detector,2026 rsidis,2025 rsidis,diff,status
hchv13:08:013:VMon,1430.5,1430.5,0.0,MATCH
hchv13:08:014:IMon,471.5,471.5,0.0,MATCH
hchv13:08:014:V0Set,1325,1325,0,MATCH
hchv13:08:014:VMon,1325,1325.5,-0.5,MATCH
hchv13:08:015:IMon,504.5,504,0.5,MATCH
hchv13:08:015:V0Set,1400,1400,0,MATCH
hchv13:08:015:VMon,1401,1401,0,MATCH
hchv13:08:016:IMon,506,506,0,MATCH
hchv13:08:016:V0Set,1400,1400,0,MATCH
hchv13:08:016:VMon,1400.5,1400.5,0.0,MATCH
hchv13:08:017:IMon,493.5,493.5,0.0,MATCH
hchv13:08:017:V0Set,1350,1350,0,MATCH
hchv13:08:017:VMon,1349.5,1350,-0.5,MATCH
hchv13:08:018:IMon,514,514.5,-0.5,MATCH
hchv13:08:018:V0Set,1430,1430,0,MATCH
hchv13:08:018:VMon,1430.5,1430.5,0.0,MATCH
hchv13:08:019:IMon,530,530,0,MATCH
hchv13:08:019:V0Set,1470,1470,0,MATCH
hchv13:08:019:VMon,1470.5,1470.5,0.0,MATCH
hchv13:08:020:IMon,500,500,0,MATCH
hchv13:08:020:V0Set,1395,1395,0,MATCH
hchv13:08:020:VMon,1395.5,1396,-0.5,MATCH
hchv13:08:021:IMon,522.5,522,0.5,MATCH
hchv13:08:021:V0Set,1450,1450,0,MATCH
hchv13:08:021:VMon,1450.5,1451,-0.5,MATCH
hchv13:08:022:IMon,500,499.5,0.5,MATCH
hchv13:08:022:V0Set,1395,1395,0,MATCH
hchv13:08:022:VMon,1396,1396,0,MATCH
hchv13:08:023:IMon,423.5,423.5,0.0,MATCH
hchv13:08:023:V0Set,1175,1175,0,MATCH
hchv13:08:023:VMon,1175.5,1175.5,0.0,MATCH
hchv13:10:000:IMon,518.5,519,-0.5,MATCH
hchv13:10:000:V0Set,1435,1435,0,MATCH
hchv13:10:000:VMon,1436,1436.5,-0.5,MATCH
hchv13:10:001:IMon,561,561.5,-0.5,MATCH
hchv13:10:001:V0Set,1550,1550,0,MATCH
hchv13:10:001:VMon,1550.5,1551,-0.5,MATCH
hchv13:10:002:IMon,533.5,533.5,0.0,MATCH
hchv13:10:002:V0Set,1475,1475,0,MATCH
hchv13:10:002:VMon,1476.5,1476.5,0.0,MATCH
hchv13:10:003:IMon,549.5,549.5,0.0,MATCH
hchv13:10:003:V0Set,1520,1520,0,MATCH
hchv13:10:003:VMon,1521,1521.5,-0.5,MATCH
hchv13:10:004:IMon,523,523,0,MATCH
hchv13:10:004:V0Set,1450,1450,0,MATCH
hchv13:10:004:VMon,1451,1451.5,-0.5,MATCH
hchv13:10:005:IMon,504.5,504.5,0.0,MATCH
hchv13:10:005:V0Set,1400,1400,0,MATCH
hchv13:10:005:VMon,1401,1401.5,-0.5,MATCH
hchv13:10:006:IMon,504,504,0,MATCH
hchv13:10:006:V0Set,1400,1400,0,MATCH
hchv13:10:006:VMon,1401,1401.5,-0.5,MATCH
hchv13:10:007:IMon,537,537,0,MATCH
hchv13:10:007:V0Set,1490,1490,0,MATCH
hchv13:10:007:VMon,1490.5,1491,-0.5,MATCH
hchv13:10:008:IMon,545,545.5,-0.5,MATCH
hchv13:10:008:V0Set,1515,1515,0,MATCH
hchv13:10:008:VMon,1516,1516.5,-0.5,MATCH
hchv13:10:009:IMon,549.5,549.5,0.0,MATCH
hchv13:10:009:V0Set,1525,1525,0,MATCH
hchv13:10:009:VMon,1525.5,1526,-0.5,MATCH
hchv13:10:010:IMon,519,519.5,-0.5,MATCH
hchv13:10:010:V0Set,1440,1440,0,MATCH
hchv13:10:010:VMon,1441,1441,0,MATCH
hchv13:10:011:IMon,498.5,500,-1.5,MATCH
hchv13:10:011:V0Set,1395,1395,0,MATCH
hchv13:10:011:VMon,1396,1396,0,MATCH
hchv13:10:012:IMon,567,567,0,MATCH
hchv13:10:012:V0Set,1570,1570,0,MATCH
hchv13:10:012:VMon,1570.5,1570.5,0.0,MATCH
hchv13:10:013:IMon,489.5,490,-0.5,MATCH
hchv13:10:013:V0Set,1360,1360,0,MATCH
hchv13:10:013:VMon,1360.5,1360.5,0.0,MATCH
hchv13:10:014:IMon,551,551,0,MATCH
hchv13:10:014:V0Set,1530,1530,0,MATCH
hchv13:10:014:VMon,1530.5,1531,-0.5,MATCH
hchv13:10:015:IMon,585,585.5,-0.5,MATCH
hchv13:10:015:V0Set,1620,1620,0,MATCH
hchv13:10:015:VMon,1621,1621,0,MATCH
hchv13:10:016:IMon,594.5,594.5,0.0,MATCH
