schema_version,mode,group_id,curve_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_lo,phi_hi,phi_center,n_sig,n_pos,n_dum,n_posdum,n_net,n_sim,y_sig,y_pos,y_dum,y_posdum,y_net,y_net_err,y_sim,y_sim_err,sim_scale,sigma_model,mean_xB,mean_Q2,nominal_z,xsec,xsec_err,rel_net_err,rel_sim_err,rel_xsec_err,flag_bits,valid_default,note
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,4,0.1,0.2,0.15,0,1,0.5,1.5708,1.9635,1.76715,463,4,148,4,463,5486,0.733642,0.0112609,0.39064,0.0064209,0.6218,0.0620671,0.485824,0.0100679,1e-06,0.00324496,0.25,3.3,0.36,0.00415318,0.000423403,0.0998183,0.0207233,0.101947,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,5,0.1,0.2,0.15,0,1,0.5,1.9635,2.35619,2.15984,1421,18,429,10,1421,21687,2.29359,0.0844614,1.12191,-0.00212993,1.91488,0.11184,2.10661,0.0219073,1e-06,0.00324496,0.25,3.3,0.36,0.00294962,0.000174984,0.0584057,0.0103993,0.0593243,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,6,0.1,0.2,0.15,0,1,0.5,2.35619,2.74889,2.55254,2296,20,710,13,2296,41275,3.68385,0.0281483,2.08757,-0.0128496,3.10586,0.138132,4.0499,0.0305724,1e-06,0.00324496,0.25,3.3,0.36,0.00248855,0.000112261,0.0444748,0.00754891,0.0451109,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,7,0.1,0.2,0.15,0,1,0.5,2.74889,3.14159,2.94524,2707,24,794,18,2707,50158,4.44837,0.101363,2.41713,-0.0342072,3.7053,0.149157,4.8935,0.0335533,1e-06,0.00324496,0.25,3.3,0.36,0.00245704,0.000100333,0.0402551,0.00685671,0.0408348,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,8,0.1,0.2,0.15,0,1,0.5,3.14159,3.53429,3.33794,2806,21,849,21,2806,51744,4.61923,-1.12907e-05,2.59898,0.0171211,3.94336,0.150943,5.09399,0.0342203,1e-06,0.00324496,0.25,3.3,0.36,0.00251199,9.76231e-05,0.0382778,0.00671779,0.0388628,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,9,0.1,0.2,0.15,0,1,0.5,3.53429,3.92699,3.73064,3043,25,909,27,3043,52340,5.03053,0.0957414,2.68316,0.0813457,4.25368,0.157422,5.13133,0.0342386,1e-06,0.00324496,0.25,3.3,0.36,0.00268995,0.000101156,0.0370084,0.00667247,0.0376051,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,10,0.1,0.2,0.15,0,1,0.5,3.92699,4.31969,4.12334,2100,14,641,19,2100,33675,3.31069,-0.0281665,1.84329,0.0107196,2.85913,0.13035,3.23806,0.0268103,1e-06,0.00324496,0.25,3.3,0.36,0.00286522,0.000132764,0.0455907,0.00827974,0.0463365,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,11,0.1,0.2,0.15,0,1,0.5,4.31969,4.71239,4.51604,524,2,140,4,524,8012,0.846898,-0.0197133,0.325947,0.0106963,0.784085,0.0631645,0.697926,0.0117223,1e-06,0.00324496,0.25,3.3,0.36,0.00364555,0.000299994,0.0805582,0.0167959,0.0822905,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,12,0.1,0.2,0.15,0,1,0.5,4.71239,5.10509,4.90874,55,0,14,0,55,1169,0.096331,-0.00281544,0.0280827,-0.0064209,0.0901141,0.0195223,0.0832189,0.00333791,1e-06,0.00324496,0.25,3.3,0.36,0.00351382,0.000774171,0.21664,0.04011,0.220322,0,1,
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,13,0.1,0.2,0.15,0,1,0.5,5.10509,5.49779,5.30144,13,0,4,1,13,655,0.0236258,0,0.0134272,0.00856639,0.0223533,0.00965264,0.0486465,0.00255175,1e-06,0.00324496,0.25,3.3,0.36,0.00149107,0.000648611,0.431822,0.052455,0.434996,2,0,MC_STARVED
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,14,0.1,0.2,0.15,0,1,0.5,5.49779,5.89049,5.69414,1,0,1,0,1,454,0.000605976,0,0.0048824,0,-0.00067214,0.00293362,0.035436,0.00213954,1e-06,0.00324496,0.25,3.3,0.36,-6.15494e-05,0.000268663,4.36459,0.0603776,4.36501,394,0,MC_STARVED;NET_NEGATIVE;XSEC_NEGATIVE;XSEC_BAD_RELERR
1,group,grp_pass4_piplus_LH2_zOv_x0p25_q23p3_thpq2,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,15,0.1,0.2,0.15,0,1,0.5,5.89049,6.28319,6.08684,1,0,0,0,1,346,0.000605189,0,0,0,0.000605189,0.0026399,0.0265007,0.00183952,1e-06,0.00324496,0.25,3.3,0.36,7.41043e-05,0.000323292,4.36211,0.0694143,4.36266,258,0,MC_STARVED;XSEC_BAD_RELERR
