setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,bin_center,var,norm_win_lo,norm_win_hi,fitD_lo,fitD_hi,fitS_lo,fitS_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
A,8.583100,2.280000,42.000000,-7.070000,12.465000,3,b3,0.000000,1.000000,0.500000,Pmz,-0.047110,0.017374,-0.047110,0.017374,-0.032342,0.015658,360213.000000,557.342195,646.304915,409800.000000,175095.000000,-11.681819,0.018852,9.750543,0.017639,0,23984.543439,8,-4.985594,0.016848,5.784685,0.011383,0,8897.705882,5,-6.696225,0.357477,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,3,b3,0.000000,1.000000,0.500000,Pmy,-0.018034,0.031366,-0.018034,0.031366,-0.025069,0.022931,370531.000000,575.944140,643.345377,409800.000000,175095.000000,6.591581,0.015570,9.076503,0.013565,0,1472.947487,5,-1.068841,0.015347,6.359525,0.011402,0,100.446116,5,7.660422,0.296202,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,4,b4,1.000000,2.000000,1.500000,W,0.920920,0.997846,0.920920,0.997846,0.916766,0.972766,250050.000000,319.866045,781.733492,273398.000000,78291.000000,958.352767,0.033400,15.684948,0.030783,0,1781.609711,8,943.663049,0.045917,11.754029,0.039102,0,99.797343,5,14.689718,0.521842,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,4,b4,1.000000,2.000000,1.500000,Em,0.004746,0.032659,0.004746,0.032659,-0.003279,0.016104,233026.000000,217.603524,1070.874203,273398.000000,78291.000000,18.167410,0.014654,6.236379,0.013395,0,2427.988967,11,5.594163,0.014707,3.667972,0.012471,0,950.137338,7,12.573246,0.226437,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,4,b4,1.000000,2.000000,1.500000,Pmz,-0.040576,0.012466,-0.040576,0.012466,-0.029681,0.018319,251730.000000,321.602433,782.736616,273398.000000,78291.000000,-12.439354,0.018032,8.227969,0.016789,0,10847.860603,6,-4.807267,0.021897,5.565627,0.015965,0,2549.930772,5,-7.632087,0.280279,1
A,8.583100,2.280000,42.000000,-7.070000,12.465000,4,b4,1.000000,2.000000,1.500000,Pmy,-0.015481,0.033908,-0.015481,0.033908,-0.024427,0.023573,246417.000000,320.022342,769.999365,273398.000000,78291.000000,9.294164,0.019439,9.448897,0.016788,0,1452.215764,6,-0.415402,0.025459,7.047565,0.019594,0,86.895821,5,9.709565,0.303057,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,1,b1,-2.000000,-1.000000,-1.500000,W,0.898078,1.012415,0.898078,1.012415,0.904010,0.997907,5317.000000,1.580768,3363.555573,7338.000000,41166.000000,953.857084,0.441442,27.953721,0.455850,0,43.582766,13,948.095862,0.123996,20.679611,0.113800,0,470.681872,11,5.761222,1.125115,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,1,b1,-2.000000,-1.000000,-1.500000,Em,-0.014811,0.015372,-0.014811,0.015372,-0.002955,0.018782,4414.000000,1.233827,3577.487954,7338.000000,41166.000000,0.020780,0.113023,6.692200,0.111433,0,84.794299,12,6.418155,0.022653,3.330381,0.020931,0,1519.199268,7,-6.397375,0.285321,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,1,b1,-2.000000,-1.000000,-1.500000,Pmz,-0.037112,0.032228,-0.037112,0.032228,-0.040578,0.017314,5378.000000,1.502381,3579.651735,7338.000000,41166.000000,2.039937,0.160741,9.845653,0.146453,0,397.639506,8,-6.201750,0.037621,5.749489,0.026031,0,3542.782006,7,8.241687,0.407259,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,1,b1,-2.000000,-1.000000,-1.500000,Pmy,-0.021062,0.034696,-0.021062,0.034696,-0.023902,0.024098,6511.000000,1.943007,3350.990952,7338.000000,41166.000000,6.394856,0.123893,9.843867,0.107251,0,58.024382,7,0.106401,0.034299,6.790193,0.026382,0,41.395636,5,6.288455,0.315595,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,2,b2,-1.000000,0.000000,-0.500000,W,0.898152,1.009887,0.898152,1.009887,0.905157,0.996995,5959.000000,1.821153,3272.102048,7946.000000,40056.000000,954.075165,0.412714,27.674193,0.435896,0,68.430512,13,947.878734,0.119371,19.847337,0.117203,0,529.043518,10,6.196431,1.093607,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,2,b2,-1.000000,0.000000,-0.500000,Em,-0.012603,0.017812,-0.012603,0.017812,-0.002905,0.017656,5170.000000,1.460148,3540.736740,7946.000000,40056.000000,1.810003,0.117976,6.992021,0.120097,0,214.887788,12,6.112073,0.023940,3.393507,0.022482,0,1730.360796,7,-4.302070,0.309672,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,2,b2,-1.000000,0.000000,-0.500000,Pmz,-0.038485,0.029087,-0.038485,0.029087,-0.039088,0.017051,6169.000000,1.736737,3552.062576,7946.000000,40056.000000,-0.569392,0.152118,9.718545,0.136482,0,457.818007,8,-5.782184,0.036332,5.633601,0.028033,0,3784.002309,6,5.212792,0.400711,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,2,b2,-1.000000,0.000000,-0.500000,Pmy,-0.019428,0.035003,-0.019428,0.035003,-0.024762,0.023238,7172.000000,2.122330,3379.305611,7946.000000,40056.000000,7.649732,0.126117,10.253842,0.111413,0,37.105528,6,-0.732583,0.035398,6.949932,0.026981,0,36.811825,5,8.382315,0.333825,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,3,b3,0.000000,1.000000,0.500000,W,0.903579,1.015902,0.903579,1.015902,0.906786,0.994326,6579.000000,1.997531,3293.566514,8248.000000,36780.000000,957.751484,0.370233,26.446987,0.362019,0,43.374032,13,947.398799,0.113156,18.453789,0.105356,0,210.868642,9,10.352685,0.999285,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,3,b3,0.000000,1.000000,0.500000,Em,-0.010743,0.018663,-0.010743,0.018663,-0.003782,0.017704,5662.000000,1.641509,3449.264650,8248.000000,36780.000000,3.193166,0.110721,6.832928,0.113239,0,171.363232,11,5.691580,0.026527,3.561702,0.021296,0,1691.522340,8,-2.498413,0.296738,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,3,b3,0.000000,1.000000,0.500000,Pmz,-0.038566,0.028007,-0.038566,0.028007,-0.037277,0.017129,6754.000000,1.895298,3563.556575,8248.000000,36780.000000,-1.676726,0.156807,10.111054,0.142714,0,484.169099,8,-5.275531,0.035908,5.485017,0.027370,0,2777.262202,5,3.598805,0.419838,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,3,b3,0.000000,1.000000,0.500000,Pmy,-0.018543,0.034500,-0.018543,0.034500,-0.025437,0.022563,7559.000000,2.195789,3442.497915,8248.000000,36780.000000,7.905776,0.120233,10.014902,0.102596,0,45.182284,6,-1.425737,0.038340,7.234111,0.028932,0,10.770737,5,9.331513,0.325040,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,4,b4,1.000000,2.000000,1.500000,W,0.908653,1.016704,0.908653,1.016704,0.907640,0.991364,6806.000000,1.955165,3481.035874,8159.000000,30882.000000,961.598436,0.324810,24.599405,0.317719,0,72.672223,13,946.654823,0.113242,17.547865,0.105502,0,255.596469,9,14.943613,0.873600,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,4,b4,1.000000,2.000000,1.500000,Em,-0.008562,0.020561,-0.008562,0.020561,-0.004386,0.017796,5889.000000,1.678251,3509.009620,8159.000000,30882.000000,5.369798,0.112680,6.987451,0.112063,0,176.612083,11,5.572152,0.028493,3.988153,0.024751,0,826.650475,8,-0.202354,0.300168,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,4,b4,1.000000,2.000000,1.500000,Pmz,-0.036687,0.025552,-0.036687,0.025552,-0.034404,0.016224,6935.000000,1.892755,3663.971876,8159.000000,30882.000000,-2.497732,0.142834,9.170064,0.120914,0,528.085992,7,-5.003463,0.038178,5.531296,0.028249,0,2252.391611,6,2.505731,0.380975,1
B,8.583100,3.750000,29.990000,-5.670000,19.340000,4,b4,1.000000,2.000000,1.500000,Pmy,-0.017778,0.035146,-0.017778,0.035146,-0.025751,0.022249,7337.000000,2.055191,3569.984893,8159.000000,30882.000000,8.574180,0.120344,10.007691,0.101763,0,24.474055,6,-1.734599,0.042151,7.308287,0.031648,0,9.988705,5,10.308780,0.323734,1
