run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
23964,coin,PI-SIDIS,LD2,-1.531,-6.538,CTime.ePiCoinTime_ROC2,400646,1824,51.3708,0.298843,1824,1,0,1,3,9.02146,3,3.00715,1.78898e-06,51.3708,0.298843,,OK
23965,coin,PI-SIDIS,LD2,-1.531,-6.538,CTime.ePiCoinTime_ROC2,360876,1599,51.3719,0.305393,1599,1,0,1,3,3.1491,3,1.0497,4.77676e-08,51.3719,0.305393,,OK
23966,coin,PI-SIDIS,LD2,-1.531,-6.538,CTime.ePiCoinTime_ROC2,422914,1896,51.3406,0.322647,1896,1,0,1,3,4.47755,3,1.49252,1.67682e-06,51.3406,0.322647,,OK
23967,coin,PI-SIDIS,Dummy,-1.531,-6.538,CTime.ePiCoinTime_ROC2,191729,840,51.3356,0.288988,840,1,0,1,3,4.69998,3,1.56666,1.30746e-07,51.3356,0.288988,,OK
23969,coin,PI-SIDIS,C,-1.531,-6.538,CTime.ePiCoinTime_ROC2,364466,1614,51.3581,0.280344,1614,1,0,1,3,5.51392,3,1.83797,3.49789e-07,51.3581,0.280344,,OK
23970,coin,PI-SIDIS,C,-1.531,-6.538,CTime.ePiCoinTime_ROC2,349986,1594,51.336,0.269489,1594,1,0,1,3,1.82939,3,0.609798,1.86262e-09,51.336,0.269489,,OK
23972,coin,PI-SIDIS,Cu,-1.531,-6.538,CTime.ePiCoinTime_ROC2,255293,1093,51.3662,0.301588,1093,1,0,1,3,1.6592,3,0.553067,3.09546e-07,51.3662,0.301588,,OK
23973,coin,PI-SIDIS,Cu,-1.531,-6.538,CTime.ePiCoinTime_ROC2,84169,361,51.4361,0.379845,361,1,0,1,3,1.5943,3,0.531433,3.18394e-06,51.4361,0.379845,,OK
23974,coin,PI-SIDIS,Cu,-1.531,-6.538,CTime.ePiCoinTime_ROC2,240059,1015,51.3375,0.34099,1015,1,0,1,3,6.25392,3,2.08464,1.2763e-05,51.3375,0.34099,,OK
23975,coin,PI-SIDIS,Cu,-1.531,-6.538,CTime.ePiCoinTime_ROC2,39127,200,51.3968,0.308046,200,1,0,1,3,3.48857,3,1.16286,4.24933e-06,51.3968,0.308046,,OK
23977,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,198204,3747,51.3342,0.277382,3747,1,0,1,3,6.49247,3,2.16416,3.92411e-07,51.3342,0.277382,,OK
23979,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,1836661,2713,51.4068,0.277988,2713,1,0,1,3,3.53017,3,1.17672,8.8101e-06,51.4068,0.277988,,OK
23980,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,149650,2182,51.3049,0.297657,2182,1,0,1,3,6.38967,3,2.12989,8.36566e-08,51.3049,0.297657,,OK
23981,coin,PI-SIDIS,Dummy,-1.531,-4.868,CTime.ePiCoinTime_ROC2,244114,3336,51.3165,0.281944,3336,1,0,1,3,12.6452,3,4.21508,5.64156e-08,51.3165,0.281944,,OK
23982,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,78471,1166,51.3548,0.324679,1166,1,0,1,3,4.3498,3,1.44993,3.24303e-06,51.3548,0.324679,,OK
