run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
24752,shms,SHMSDIS,LH2,-1.531,-3.632,P.gtr.beta,2249625,992117,0.991465,0.0455909,992117,1,0,1,3,15.3912,10,1.53912,7.69764e-06,0.991465,0.0455909,,OK
24765,shms,SHMSDIS,Dummy,-1.531,-3.632,P.gtr.beta,1476832,651987,0.99165,0.0442715,651987,1,0,1,3,8.15881,10,0.815881,2.7223e-06,0.99165,0.0442715,,OK
24793,shms,SHMSDIS,LH2,-1.531,3.632,P.gtr.beta,2409707,102528,0.982455,0.0459469,102528,1,0,1,3,2.77896,10,0.277896,1.56789e-06,0.982455,0.0459469,,OK
24802,shms,SHMSDIS,Dummy,-1.531,3.632,P.gtr.beta,2027549,80953,0.984433,0.0495827,80953,1,0,1,3,5.34914,10,0.534914,4.226e-09,0.984433,0.0495827,,OK
24885,shms,SHMSDIS,LD2,-3.642,6.538,P.gtr.beta,1969191,90425,0.980249,0.0420782,90425,1,0,1,3,9.482,10,0.9482,1.17943e-05,0.980249,0.0420782,,OK
24892,shms,SHMSDIS,LH2,-3.642,6.538,P.gtr.beta,1267740,55855,0.978156,0.0419601,55855,1,0,1,3,11.9258,10,1.19258,8.25597e-06,0.978156,0.0419601,,OK
24896,shms,SHMSDIS,Dummy,-3.642,6.538,P.gtr.beta,2231687,97110,0.983654,0.0451161,97110,1,0,1,3,15.708,10,1.5708,1.93461e-07,0.983654,0.0451161,,OK
24901,shms,SHMSDIS,C,-3.642,6.538,P.gtr.beta,2063123,90508,0.980764,0.047148,90508,1,0,1,3,12.8144,10,1.28144,4.38856e-09,0.980764,0.047148,,OK
24912,shms,SHMSDIS,LD2,-3.642,4.868,P.gtr.beta,2221112,169473,0.984778,0.0472629,169473,1,0,1,3,7.6803,10,0.76803,1.35388e-09,0.984778,0.0472629,,OK
24923,shms,SHMSDIS,LH2,-3.642,4.868,P.gtr.beta,1969567,155671,0.98028,0.0466554,155671,1,0,1,3,21.3801,10,2.13801,6.51662e-09,0.98028,0.0466554,,OK
24926,shms,SHMSDIS,Dummy,-3.642,4.868,P.gtr.beta,1561409,111104,0.98098,0.0449805,111104,1,0,1,3,12.4597,10,1.24597,5.62842e-07,0.98098,0.0449805,,OK
24932,shms,SHMSDIS,C,-3.642,4.868,P.gtr.beta,1990046,151444,0.980196,0.0496479,151444,1,0,1,3,14.0244,10,1.40244,1.97839e-06,0.980196,0.0496479,,OK
