fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse
dpeOnly,1,1,1,1,data_minus_sim,23844,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.756246,0.390142,24.943414,0.15076,-15.600727,0.224131,-16.172547,0.294367,0,-49.7070671768647,0,0,428.61013319989,350.964230605501,-203.670923047934,-285.821703635875,536.14611280011,-326.020816605501,188.070196047934,269.649156635875,501823.293446733
dpeOnly,1,1,1,1,data_minus_sim,23845,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.278694,0.084849,132.235647,1.899293,-9.950759,0.041248,-10.159155,0.047309,0,-6.59185112496449,0,0,56.8396879794164,46.5427571919985,-27.0096080792503,-37.9039485863759,-43.5609939794164,85.6928898080015,17.0588490792503,27.7447935863759,10301.6094631803
dpeOnly,1,1,1,1,data_minus_sim,23845,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.573412,0.22285,129.369477,2.952957,-10.033596,0.111584,-6.688588,0.128074,0,-6.03070373890099,0,0,52.0010710674656,42.5806915986832,-24.7103493907658,-34.6772826214577,-45.4276590674656,86.7887854013167,14.6767533907658,27.9886946214577,10594.7395964923
dpeOnly,1,1,1,1,data_minus_sim,23845,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.659035,0.161996,118.602725,1.530678,-9.596858,0.076807,-7.542345,0.084773,0,-5.71519294333041,0,0,49.2805097510166,40.3529801301881,-23.4175679289909,-32.8630570348903,-40.6214747510166,78.2497448698119,13.8207099289909,25.3207120348903,8605.27726403328
dpeOnly,1,1,1,1,data_minus_sim,23845,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.850757,0.151769,130.990803,3.713531,-9.772593,0.075946,-11.006338,0.085047,0,-6.64302655222412,0,0,57.2809593707915,46.9040890000124,-27.2192954959361,-38.1982135397194,-42.4302023707915,84.0867139999876,17.4467024959361,27.1918755397194,9914.68306789132
dpeOnly,1,1,1,1,data_minus_sim,23845,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.697556,0.333486,184.665238,16.77276,-10.823513,0.097691,-13.391953,0.122877,0,-9.26307876205321,0,0,79.8729365367302,65.4033620449708,-37.9547599342411,-53.2638335563603,-58.1753805367302,119.261875955029,27.1312469342411,39.8718805563603,19933.6413762136
dpeOnly,1,1,1,1,data_minus_sim,23845,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.085762,0.37772,25.307617,0.16289,-16.371017,0.221748,-15.286332,0.305117,0,-49.6774818726118,0,0,428.355027398708,350.755339111111,-203.549699516391,-285.651584525165,535.730734601292,-325.447722111111,187.178682516391,270.365252525165,501056.868785319
dpeOnly,1,1,1,1,data_minus_sim,23846,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.581334,0.079564,134.709368,1.939175,-10.045768,0.03852,-10.365728,0.044172,0,-6.71625167816105,0,0,57.912359144786,47.4211060248552,-27.5193298740821,-38.6192669518986,-44.331025144786,87.2882619751448,17.4735618740821,28.2535389518986,10688.068296903
dpeOnly,1,1,1,1,data_minus_sim,23846,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.809988,0.201887,130.267326,2.138588,-10.028193,0.101543,-6.943768,0.110753,0,-6.08714795802498,0,0,52.4877737769821,42.9792245048089,-24.9416252809486,-35.0018437711432,-45.6777857769821,87.2881014951911,14.9134322809486,28.0580757711432,10715.3388545003
dpeOnly,1,1,1,1,data_minus_sim,23846,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.227359,0.149696,123.628445,2.025125,-9.615717,0.070997,-7.793767,0.078448,0,-5.95596672332092,0,0,51.3566346920755,42.0529996494182,-24.4041201599227,-34.2475356592854,-42.1292756920755,81.5754453505818,14.7884031599227,26.4537686592854,9347.92789878406
