run,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD,muD_err,sigD,sigD_err,statusD,chi2D,ndfD,muS,muS_err,sigS,sigS_err,statusS,chi2S,ndfS,dmu_GeV,dmu_err_GeV,dmu_MeV,dmu_err_MeV
23840,1,b1,-2.000000,-1.000000,Em,0.003823,0.030917,21481.000000,32.391463,663.168571,42105.000000,21789.000000,0.016415,0.000043,0.005393,0.000040,0,658.122723,10,-0.113817,0.003275,0.025506,0.000447,4,789.367895,10,0.130232,0.003275,130.231674,3.274810
23840,1,b1,-2.000000,-1.000000,Pmz,-0.062937,0.018387,28700.000000,43.058421,666.536289,42105.000000,21789.000000,-0.015343,0.000077,0.009780,0.000079,0,4298.615196,10,-0.005869,0.000057,0.006607,0.000044,0,2887.214341,10,-0.009474,0.000096,-9.474083,0.096185
23840,1,b1,-2.000000,-1.000000,Pmx,-0.059581,0.023689,29488.000000,42.001459,702.070851,42105.000000,21789.000000,-0.011134,0.000099,0.011087,0.000107,0,5378.149205,11,-0.004306,0.000053,0.006010,0.000038,0,3014.435655,10,-0.006828,0.000113,-6.828134,0.112878
23840,1,b1,-2.000000,-1.000000,Pmy,-0.024641,0.036272,35516.000000,49.076705,723.683463,42105.000000,21789.000000,0.005950,0.000053,0.009609,0.000050,0,765.492192,7,-0.000225,0.000042,0.006054,0.000031,0,5.364760,5,0.006175,0.000067,6.174759,0.067402
23840,2,b2,-1.000000,0.000000,W,0.906217,1.007823,51353.000000,62.247354,824.982858,63382.000000,24193.000000,0.954082,0.000106,0.021242,0.000104,0,1064.954295,11,0.945539,0.000104,0.013657,0.000086,0,1308.568581,11,0.008542,0.000148,8.542232,0.148294
23840,2,b2,-1.000000,0.000000,Em,0.003895,0.030763,43388.000000,49.842018,870.510506,63382.000000,24193.000000,0.016463,0.000032,0.005562,0.000029,0,1384.131633,10,-0.105575,0.001926,0.023092,0.000320,4,1058.178769,10,0.122038,0.001927,122.038222,1.926731
23840,2,b2,-1.000000,0.000000,Pmz,-0.056366,0.017404,52673.000000,63.224036,833.116700,63382.000000,24193.000000,-0.014510,0.000052,0.009633,0.000052,0,5237.136881,9,-0.005177,0.000046,0.005832,0.000032,0,2677.903048,9,-0.009333,0.000069,-9.333021,0.069446
23840,2,b2,-1.000000,0.000000,Pmx,-0.053562,0.022249,52255.000000,62.102181,841.435822,63382.000000,24193.000000,-0.011610,0.000060,0.011152,0.000064,0,5323.012058,10,-0.004297,0.000048,0.006191,0.000036,0,2529.285521,9,-0.007312,0.000077,-7.312114,0.076736
23840,2,b2,-1.000000,0.000000,Pmy,-0.019516,0.034606,56506.000000,66.879036,844.898536,63382.000000,24193.000000,0.007492,0.000041,0.009360,0.000038,0,776.927068,6,-0.000849,0.000041,0.006174,0.000031,0,8.068324,5,0.008341,0.000057,8.340852,0.057476
23840,3,b3,0.000000,1.000000,W,0.913603,1.009918,58690.000000,58.459643,1003.940439,67769.000000,17090.000000,0.959603,0.000090,0.020210,0.000089,0,1042.578493,11,0.944962,0.000110,0.012901,0.000106,0,834.963484,11,0.014640,0.000142,14.640350,0.142298
