fit_model,de0_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,det,matrix_ok
full4,1,data_minus_sim,23845,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.278694,0.084849,132.235647,1.899293,-9.950759,0.041248,-10.159155,0.047309,4271.06341329424,-6974.68459605651,-9932.48158799856,23354.392580641,13.2786940000515,132.235647000009,-9.95075899999938,-10.1591550000012,-5.14734921353011e-11,-8.61177795741241e-12,-6.19948536950687e-13,1.19193543923757e-12,1.23275984544669,1
full4,1,data_minus_sim,23845,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.573412,0.22285,129.369477,2.952957,-10.033596,0.111584,-6.688588,0.128074,4256.66705395451,-6950.40277420368,-9898.56051856065,23274.2300819143,6.57341200001974,129.369476999986,-10.0335960000011,-6.68858799998998,-1.97433180915141e-11,1.4352963262354e-11,1.12621023617976e-12,-1.00230934663159e-11,1.23275984544669,1
full4,1,data_minus_sim,23845,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.659035,0.161996,118.602725,1.530678,-9.596858,0.076807,-7.542345,0.084773,3852.90929583724,-6291.45021230394,-8959.79205517372,21066.9384186187,8.65903500003333,118.602725000004,-9.59685800000443,-7.54234499999802,-3.33280070208275e-11,-4.2774672692758e-12,4.43201031430362e-12,-1.97797334067218e-12,1.23275984544669,1
full4,1,data_minus_sim,23845,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.850757,0.151769,130.990803,3.713531,-9.772593,0.075946,-11.006338,0.085047,4210.3683685747,-6875.77324786553,-9791.41378534422,23022.8929438898,14.8507570000365,130.990803000001,-9.77259300000151,-11.0063380000029,-3.65378838296238e-11,-5.96855898038484e-13,1.50635059981141e-12,2.8705926524708e-12,1.23275984544669,1
full4,1,data_minus_sim,23845,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.697556,0.333486,184.665238,16.77276,-10.823513,0.097691,-13.391953,0.122877,6023.96266542434,-9837.52902406447,-14010.1816594915,32941.3669137212,21.6975560000428,184.665237999987,-10.8235129999957,-13.3919529999985,-4.28244106842612e-11,1.31308297568467e-11,-4.2721381987576e-12,-1.53477230924182e-12,1.23275984544669,1
full4,1,data_minus_sim,23845,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.085762,0.37772,25.307617,0.16289,-16.371017,0.221748,-15.286332,0.305117,-12876.8815712823,20911.6118252942,29671.3920163364,-70222.0798129138,964.085761999944,25.3076170000131,-16.3710169999977,-15.286332000047,5.58202373213135e-11,-1.31237243294891e-11,-2.33413288697193e-12,4.6968651190582e-11,1.23275984544669,1
full4,1,data_minus_sim,23846,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.581334,0.079564,134.709368,1.939175,-10.045768,0.03852,-10.365728,0.044172,4353.26637464698,-7108.92822316664,-10123.6558974696,23803.9348229214,13.5813340000459,134.709367999996,-10.0457680000036,-10.3657280000043,-4.58992843732631e-11,3.83693077310454e-12,3.59001717242791e-12,4.30944169238501e-12,1.23275984544669,1
full4,1,data_minus_sim,23846,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.809988,0.201887,130.267326,2.138588,-10.028193,0.101543,-6.943768,0.110753,4286.09660243337,-6998.47831429366,-9966.96091163429,23435.2151754625,6.80998800003727,130.267326000001,-10.028192999991,-6.94376799999736,-3.72653019553582e-11,-1.05160324892495e-12,-8.99369467788347e-12,-2.63788990650937e-12,1.23275984544669,1
full4,1,data_minus_sim,23846,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.227359,0.149696,123.628445,2.025125,-9.615717,0.070997,-7.793767,0.078448,4026.3836107362,-6574.73867618068,-9363.2909589881,22015.6802528237,9.22735900001862,123.628444999988,-9.61571700000059,-7.79376699999193,-1.86233251042722e-11,1.2448708730517e-11,5.86197757002083e-13,-8.06910094297564e-12,1.23275984544669,1
full4,1,data_minus_sim,23846,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.924699,0.14327,127.745267,2.078772,-9.910846,0.070881,-11.106537,0.079419,4087.24938599463,-6674.77181947501,-9505.05813076261,22349.5806021102,14.9246990000538,127.745266999998,-9.91084599999886,-11.1065370000069,-5.38058486654336e-11,1.57740487338742e-12,-1.14397380457376e-12,6.93844981469738e-12,1.23275984544669,1
