run,setting,ebeam_MeV,dp_idx,dp_label,dp_lo,dp_hi,dp_center,var,entries,fit_lo_GeV,fit_hi_GeV,mu_seed_GeV,sig_seed_GeV,peak_GeV,peak_err_GeV,sigma_GeV,sigma_err_GeV,peak_MeV,peak_err_MeV,sigma_MeV,sigma_err_MeV,fit_status,chi2,ndf,chi2_ndf,fit_valid
23842,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,Em,28009.000000,0.004293,0.030834,0.017564,0.006635,0.016724,0.000046,0.005468,0.000041,16.723864,0.046246,5.467935,0.041238,0,488.058824,10,48.805882,1
23842,A,8583.100000,3,b3,0.000000,1.000000,0.500000,W,29928.000000,0.913897,1.007975,0.960936,0.023519,0.959530,0.000135,0.019685,0.000130,959.530139,0.135334,19.684774,0.130362,0,292.668039,10,29.266804,1
23842,A,8583.100000,3,b3,0.000000,1.000000,0.500000,Em,29928.000000,0.005503,0.034108,0.019806,0.007151,0.019180,0.000053,0.006637,0.000052,19.180295,0.052695,6.636705,0.052287,0,731.114736,11,66.464976,1
23842,A,8583.100000,4,b4,1.000000,2.000000,1.500000,W,19289.000000,0.926403,1.004121,0.965262,0.019429,0.964294,0.000128,0.015764,0.000120,964.294174,0.127560,15.764066,0.119806,0,138.413675,8,17.301709,1
23842,A,8583.100000,4,b4,1.000000,2.000000,1.500000,Em,19289.000000,0.010072,0.038194,0.024133,0.007030,0.023621,0.000054,0.006250,0.000051,23.621118,0.054439,6.250389,0.051241,0,193.864789,11,17.624072,1
23842,A,8583.100000,5,b5,2.000000,3.000000,2.500000,W,917.000000,0.928501,1.001540,0.965021,0.018260,0.964888,0.000526,0.013439,0.000520,964.888122,0.525987,13.438835,0.520467,0,24.974115,7,3.567731,1
23842,A,8583.100000,5,b5,2.000000,3.000000,2.500000,Em,917.000000,0.011921,0.037682,0.024802,0.006440,0.025656,0.000218,0.005399,0.000212,25.656263,0.217889,5.398620,0.211967,0,27.512111,10,2.751211,1
23844,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,234754.000000,0.911084,1.012072,0.961578,0.025247,0.958895,0.000058,0.021298,0.000055,958.895219,0.057845,21.298454,0.055125,0,2654.279537,12,221.189961,1
23844,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,234754.000000,0.005281,0.034329,0.019805,0.007262,0.019286,0.000023,0.006942,0.000023,19.285879,0.022940,6.941737,0.022575,0,3215.979525,11,292.361775,1
23844,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,W,35295.000000,0.904434,1.006795,0.955615,0.025590,0.953034,0.000162,0.021860,0.000152,953.034035,0.161774,21.860216,0.152068,0,722.748469,12,60.229039,1
23844,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,Em,35295.000000,0.003790,0.032020,0.017905,0.007058,0.016758,0.000048,0.005529,0.000045,16.758370,0.047795,5.528580,0.045249,0,781.815473,11,71.074134,1
23844,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,W,52106.000000,0.906332,1.008124,0.957228,0.025448,0.954351,0.000118,0.021338,0.000117,954.351362,0.117930,21.337938,0.116504,0,892.490869,11,81.135534,1
23844,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,Em,52106.000000,0.004160,0.030810,0.017485,0.006662,0.016658,0.000035,0.005527,0.000031,16.658009,0.034530,5.527241,0.031126,0,979.909392,10,97.990939,1
