toy,success,message,nit,nfev,chi2,max_abs_pull,exact_inversion_flag,physical_branch_flag,dpe_C,dpe_E,dpe_D,dtheta_e_C,dtheta_e_E,dtheta_e_D,dtheta_p_common,dpp_common
43,True,Optimization terminated successfully.,2159,3221,39.839763,2.793431,0,1,2.361531,2.413587,2.395822,-1.099816,-1.228301,-1.433119,-0.688585,-0.397066
44,True,Optimization terminated successfully.,2800,4261,22.433801,2.301698,0,1,11.765301,11.893787,11.850527,-5.184928,-5.387177,-5.538447,4.634133,-13.774023
45,True,Optimization terminated successfully.,2870,4287,30.973122,2.652324,0,1,-1.265989,-1.238392,-1.308645,0.492489,0.326985,0.162867,-2.773753,4.826180
46,True,Optimization terminated successfully.,2547,3836,25.592700,2.191798,0,1,2.803003,2.907406,2.833656,-1.308905,-1.427252,-1.640913,-0.449143,-0.965761
47,True,Optimization terminated successfully.,3055,4541,28.673461,3.377553,0,1,3.660674,3.800697,3.701981,-1.767552,-1.851526,-2.026144,0.037716,-2.312403
48,True,Optimization terminated successfully.,2805,4232,64.295213,3.786518,0,1,-4.013079,-3.853574,-3.955739,1.623951,1.497022,1.341134,-4.183981,8.579711
49,True,Optimization terminated successfully.,2734,4097,26.436978,2.475412,0,1,-1.552153,-1.434573,-1.403831,0.554579,0.463925,0.209754,-2.907807,5.031980
50,True,Optimization terminated successfully.,2445,3632,27.581594,3.173183,0,1,1.832459,1.943433,1.853802,-0.968951,-1.050632,-1.260497,-1.036539,0.265364
51,True,Optimization terminated successfully.,2935,4329,23.327988,2.287003,0,1,1.202928,1.285458,1.230223,-0.626443,-0.672746,-0.936852,-1.272283,1.277708
52,True,Optimization terminated successfully.,2109,3150,29.575929,2.994605,0,1,0.850955,0.992975,0.956856,-0.428131,-0.659463,-0.799695,-1.489130,1.711434
53,True,Optimization terminated successfully.,3116,4636,25.735409,2.561596,0,1,4.279877,4.403032,4.302431,-1.941411,-2.080176,-2.256503,0.366207,-3.122546
54,True,Optimization terminated successfully.,2482,3731,22.832455,2.404308,0,1,1.537473,1.615623,1.650693,-0.690488,-0.896439,-1.121308,-1.229448,0.726112
55,True,Optimization terminated successfully.,3064,4558,13.011498,1.826113,0,1,-5.231716,-5.058213,-5.204540,2.197882,2.003032,1.847900,-4.910988,10.273991
56,True,Optimization terminated successfully.,2622,3944,34.838834,2.789247,0,1,0.938965,1.115840,1.027522,-0.513467,-0.640309,-0.799027,-1.455797,1.538216
57,True,Optimization terminated successfully.,3127,4634,40.420346,3.354020,0,1,2.436395,2.518144,2.534124,-1.113410,-1.264954,-1.488416,-0.614102,-0.539824
58,True,Optimization terminated successfully.,3286,4880,47.640455,3.329559,0,1,10.310672,10.451995,10.401136,-4.586930,-4.724869,-4.958243,3.717856,-11.731609
59,True,Optimization terminated successfully.,2526,3755,45.902973,2.991554,0,1,0.914479,1.055031,0.978671,-0.506059,-0.685977,-0.884345,-1.572461,1.528238
60,True,Optimization terminated successfully.,3088,4640,32.737406,3.317940,0,1,0.687299,0.770213,0.722487,-0.379908,-0.520579,-0.759562,-1.621625,1.936187
61,True,Optimization terminated successfully.,2792,4187,33.677059,2.501375,0,1,1.660059,1.688628,1.749040,-0.840641,-0.899078,-1.184652,-1.054171,0.582968
62,True,Optimization terminated successfully.,2717,4046,46.868637,3.566778,0,1,0.236480,0.369541,0.269701,-0.190499,-0.391720,-0.539411,-1.848412,2.589060
