schema_version,mode,group_id,curve_label,setting_id,pt_bin,z_bin,phi_bin,pt_lo,pt_hi,pt_center,z_lo,z_hi,z_center,phi_lo,phi_hi,phi_center,n_sig,n_pos,n_dum,n_posdum,n_net,n_sim,y_sig,y_pos,y_dum,y_posdum,y_net,y_net_err,y_sim,y_sim_err,sim_scale,sigma_model,mean_xB,mean_Q2,nominal_z,xsec,xsec_err,rel_net_err,rel_sim_err,rel_xsec_err,flag_bits,valid_default,note
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,5,0.1,0.2,0.15,0,1,0.5,1.9635,2.35619,2.15984,1421,18,429,10,1421,2166,2.29359,0.0844614,1.12191,-0.00212993,1.91488,0.11184,2.18035,0.0718946,1e-05,0.00324496,0.25,3.3,0.36,0.00284987,0.000191143,0.0584057,0.0329739,0.0670709,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,6,0.1,0.2,0.15,0,1,0.5,2.35619,2.74889,2.55254,2296,20,710,13,2296,3989,3.68385,0.0281483,2.08757,-0.0128496,3.10586,0.138132,4.03323,0.0982486,1e-05,0.00324496,0.25,3.3,0.36,0.00249884,0.000126714,0.0444748,0.0243598,0.050709,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,7,0.1,0.2,0.15,0,1,0.5,2.74889,3.14159,2.94524,2707,24,794,18,2707,4991,4.44837,0.101363,2.41713,-0.0342072,3.7053,0.149157,5.1139,0.110354,1e-05,0.00324496,0.25,3.3,0.36,0.00235115,0.000107387,0.0402551,0.0215793,0.0456742,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,8,0.1,0.2,0.15,0,1,0.5,3.14159,3.53429,3.33794,2806,21,849,21,2806,5078,4.61923,-1.12907e-05,2.59898,0.0171211,3.94336,0.150943,5.22811,0.111246,1e-05,0.00324496,0.25,3.3,0.36,0.00244755,0.000107189,0.0382778,0.0212784,0.0437946,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,9,0.1,0.2,0.15,0,1,0.5,3.53429,3.92699,3.73064,3043,25,909,27,3043,5196,5.03053,0.0957414,2.68316,0.0813457,4.25368,0.157422,5.52918,0.115159,1e-05,0.00324496,0.25,3.3,0.36,0.00249639,0.000106013,0.0370084,0.0208275,0.0424665,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,10,0.1,0.2,0.15,0,1,0.5,3.92699,4.31969,4.12334,2100,14,641,19,2100,3418,3.31069,-0.0281665,1.84329,0.0107196,2.85913,0.13035,3.44792,0.0899647,1e-05,0.00324496,0.25,3.3,0.36,0.00269083,0.000141348,0.0455907,0.0260925,0.0525293,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,11,0.1,0.2,0.15,0,1,0.5,4.31969,4.71239,4.51604,524,2,140,4,524,853,0.846898,-0.0197133,0.325947,0.0106963,0.784085,0.0631645,0.798945,0.0407903,1e-05,0.00324496,0.25,3.3,0.36,0.0031846,0.000303729,0.0805582,0.0510552,0.0953743,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,12,0.1,0.2,0.15,0,1,0.5,4.71239,5.10509,4.90874,55,0,14,0,55,117,0.096331,-0.00281544,0.0280827,-0.0064209,0.0901141,0.0195223,0.0813888,0.0104074,1e-05,0.00324496,0.25,3.3,0.36,0.00359283,0.000903826,0.21664,0.127872,0.251564,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,13,0.1,0.2,0.15,0,1,0.5,5.10509,5.49779,5.30144,13,0,4,1,13,56,0.0236258,0,0.0134272,0.00856639,0.0223533,0.00965264,0.047472,0.00831949,1e-05,0.00324496,0.25,3.3,0.36,0.00152797,0.000712076,0.431822,0.175251,0.466029,2,0,MC_STARVED
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,14,0.1,0.2,0.15,0,1,0.5,5.49779,5.89049,5.69414,1,0,1,0,1,39,0.000605976,0,0.0048824,0,-0.00067214,0.00293362,0.0310706,0.00643529,1e-05,0.00324496,0.25,3.3,0.36,-7.01972e-05,0.000306727,4.36459,0.207119,4.3695,394,0,MC_STARVED;NET_NEGATIVE;XSEC_NEGATIVE;XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,0,15,0.1,0.2,0.15,0,1,0.5,5.89049,6.28319,6.08684,1,0,0,0,1,34,0.000605189,0,0,0,0.000605189,0.0026399,0.0297122,0.006352,1e-05,0.00324496,0.25,3.3,0.36,6.60944e-05,0.000288657,4.36211,0.213784,4.36735,258,0,MC_STARVED;XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,0,0.2,0.3,0.25,0,1,0.5,0,0.392699,0.19635,1,0,0,0,1,0,0.00181787,0,0,0,0.00181787,0.00249822,0,0,1e-05,0.00324496,0.25,3.3,0.36,-999,-999,1.37426,-999,-999,1027,0,MC_EMPTY;MC_STARVED;SIM_ZERO
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,1,0.2,0.3,0.25,0,1,0.5,0.392699,0.785398,0.589049,1,0,0,0,1,0,0.00242366,0,0,0,0.00242366,0.00242366,0,0,1e-05,0.00324496,0.25,3.3,0.36,-999,-999,1,-999,-999,1027,0,MC_EMPTY;MC_STARVED;SIM_ZERO
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,2,0.2,0.3,0.25,0,1,0.5,0.785398,1.1781,0.981748,2,0,0,0,2,8,0.00424134,0,-0.0024423,0,0.00488069,0.00350975,0.00318673,0.00164984,1e-05,0.00324496,0.25,3.3,0.36,0.00496987,0.00440376,0.71911,0.517722,0.88609,262,0,MC_STARVED;MC_BAD_RELERR;XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,3,0.2,0.3,0.25,0,1,0.5,1.1781,1.5708,1.37445,22,0,1,0,22,17,0.046647,0,-0.00122109,0,0.0469667,0.0116345,0.00950059,0.00407634,1e-05,0.00324496,0.25,3.3,0.36,0.0160416,0.00794761,0.247717,0.429061,0.495436,6,0,MC_STARVED;MC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,4,0.2,0.3,0.25,0,1,0.5,1.5708,1.9635,1.76715,56,0,14,2,56,32,0.10783,-0.00281544,0.0463964,0.0149912,0.102424,0.0197157,0.0214311,0.00609579,1e-05,0.00324496,0.25,3.3,0.36,0.0155084,0.00532633,0.192492,0.284436,0.343449,2,0,MC_STARVED
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,5,0.2,0.3,0.25,0,1,0.5,1.9635,2.35619,2.15984,76,0,13,0,76,74,0.148425,-0.00844805,0.0366079,0,0.14729,0.0226984,0.0447554,0.00756633,1e-05,0.00324496,0.25,3.3,0.36,0.0106791,0.00244293,0.154107,0.16906,0.228758,2,0,MC_STARVED
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,6,0.2,0.3,0.25,0,1,0.5,2.35619,2.74889,2.55254,129,1,34,1,129,290,0.220503,0.00563001,0.101316,0.00428708,0.189473,0.0319869,0.224066,0.0199667,1e-05,0.00324496,0.25,3.3,0.36,0.00274397,0.000523811,0.16882,0.0891106,0.190895,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,7,0.2,0.3,0.25,0,1,0.5,2.74889,3.14159,2.94524,140,2,43,0,140,560,0.242926,0.00281544,0.146479,-0.0021416,0.201204,0.0355741,0.440563,0.0269464,1e-05,0.00324496,0.25,3.3,0.36,0.00148197,0.000277255,0.176806,0.0611634,0.187086,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,8,0.2,0.3,0.25,0,1,0.5,3.14159,3.53429,3.33794,157,1,39,0,157,737,0.290176,0.00563348,0.139169,-0.00428319,0.24699,0.0344669,0.576806,0.0318821,1e-05,0.00324496,0.25,3.3,0.36,0.0013895,0.000208558,0.139548,0.0552735,0.150096,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,9,0.2,0.3,0.25,0,1,0.5,3.53429,3.92699,3.73064,251,3,68,1,251,694,0.471301,0.00281196,0.245378,-0.0171211,0.399772,0.0464067,0.56516,0.0325136,1e-05,0.00324496,0.25,3.3,0.36,0.00229535,0.000297378,0.116083,0.0575298,0.129557,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,10,0.2,0.3,0.25,0,1,0.5,3.92699,4.31969,4.12334,131,1,43,1,131,321,0.225354,0.00281631,0.152608,0.00428708,0.18371,0.0325122,0.264946,0.0217671,1e-05,0.00324496,0.25,3.3,0.36,0.00225002,0.000439012,0.176975,0.0821569,0.195115,0,1,
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,11,0.2,0.3,0.25,0,1,0.5,4.31969,4.71239,4.51604,23,0,4,0,23,47,0.0448287,0,0.0170871,0,0.0403556,0.0121817,0.0304864,0.00592024,1e-05,0.00324496,0.25,3.3,0.36,0.00429544,0.00154176,0.30186,0.194193,0.358929,2,0,MC_STARVED
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,12,0.2,0.3,0.25,0,1,0.5,4.71239,5.10509,4.90874,9,0,2,0,9,13,0.0157491,0,0.00488082,0,0.0144714,0.00775796,0.0107278,0.00355434,1e-05,0.00324496,0.25,3.3,0.36,0.00437733,0.00275864,0.53609,0.331322,0.630211,258,0,MC_STARVED;XSEC_BAD_RELERR
1,group,grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,2,0,13,0.2,0.3,0.25,0,1,0.5,5.10509,5.49779,5.30144,4,0,0,0,4,5,0.00908667,0,-0.00366168,0,0.0100452,0.0049152,0.00230409,0.0015526,1e-05,0.00324496,0.25,3.3,0.36,0.0141472,0.0117812,0.489307,0.673845,0.83276,262,0,MC_STARVED;MC_BAD_RELERR;XSEC_BAD_RELERR
