setting,run,dp_idx,dp_label,dp_lo,dp_hi,bin_center,var,used_in_fit,used_in_summary,fit_valid,y_obs_MeV,y_err_MeV,coeff_dthe,coeff_dpe,coeff_dthp,coeff_dpp,fixed_dthe_mrad,fixed_dthp_mrad,fixed_dpp_tenthpct,fixed_term_MeV,dpe_fit_tenthpct,dpe_fit_err_tenthpct,y_pred_MeV,resid_MeV
A,23840,2,b2,-1,0,-0.5,Em,1,1,1,10.9329,0.040679,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.743172,0.00178407,12.1768,-1.24384
A,23840,2,b2,-1,0,-0.5,Pmz,1,1,1,-9.33298,0.069516,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.743172,0.00178407,-8.81301,-0.519972
A,23840,2,b2,-1,0,-0.5,Pmy,1,1,1,8.3453,0.057205,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.743172,0.00178407,10.8408,-2.49546
A,23841,2,b2,-1,0,-0.5,W,1,1,1,8.84835,0.235865,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.743172,0.00178407,10.6301,-1.7818
A,23841,2,b2,-1,0,-0.5,Em,1,1,1,11.3771,0.070052,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.743172,0.00178407,12.1768,-0.799712
A,23841,2,b2,-1,0,-0.5,Pmz,1,1,1,-9.66365,0.114085,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.743172,0.00178407,-8.81301,-0.850645
A,23841,2,b2,-1,0,-0.5,Pmy,1,1,1,8.23454,0.089085,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.743172,0.00178407,10.8408,-2.60622
A,23842,2,b2,-1,0,-0.5,W,1,1,1,8.9829,0.193916,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.743172,0.00178407,10.6301,-1.64724
A,23842,2,b2,-1,0,-0.5,Em,1,1,1,11.194,0.052756,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.743172,0.00178407,12.1768,-0.982753
A,23842,2,b2,-1,0,-0.5,Pmz,1,1,1,-9.52812,0.090506,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.743172,0.00178407,-8.81301,-0.715117
A,23842,2,b2,-1,0,-0.5,Pmy,1,1,1,8.30777,0.074128,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.743172,0.00178407,10.8408,-2.53299
A,23844,2,b2,-1,0,-0.5,W,1,1,1,8.84266,0.156425,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.743172,0.00178407,10.6301,-1.78748
A,23844,2,b2,-1,0,-0.5,Em,1,1,1,11.1282,0.042859,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.743172,0.00178407,12.1768,-1.04861
A,23844,2,b2,-1,0,-0.5,Pmz,1,1,1,-9.64984,0.074668,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.743172,0.00178407,-8.81301,-0.836837
A,23844,2,b2,-1,0,-0.5,Pmy,1,1,1,8.2944,0.060475,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.743172,0.00178407,10.8408,-2.54636
A,23845,2,b2,-1,0,-0.5,W,1,1,1,8.68978,0.161465,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.743172,0.00178407,10.6301,-1.94036
A,23845,2,b2,-1,0,-0.5,Em,1,1,1,11.0894,0.044152,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.743172,0.00178407,12.1768,-1.08737
A,23845,2,b2,-1,0,-0.5,Pmz,1,1,1,-9.59681,0.07687,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.743172,0.00178407,-8.81301,-0.783808
A,23845,2,b2,-1,0,-0.5,Pmy,1,1,1,8.2169,0.062246,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.743172,0.00178407,10.8408,-2.62386
A,23846,2,b2,-1,0,-0.5,W,1,1,1,9.25811,0.149121,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.743172,0.00178407,10.6301,-1.37204
A,23846,2,b2,-1,0,-0.5,Em,1,1,1,11.431,0.041283,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.743172,0.00178407,12.1768,-0.745809
A,23846,2,b2,-1,0,-0.5,Pmz,1,1,1,-9.61567,0.071065,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.743172,0.00178407,-8.81301,-0.802667
A,23846,2,b2,-1,0,-0.5,Pmy,1,1,1,8.33786,0.057979,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.743172,0.00178407,10.8408,-2.5029
A,23847,2,b2,-1,0,-0.5,W,1,1,1,9.17196,0.159633,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.743172,0.00178407,10.6301,-1.45818
A,23847,2,b2,-1,0,-0.5,Em,1,1,1,11.5255,0.04465,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.743172,0.00178407,12.1768,-0.651329
A,23847,2,b2,-1,0,-0.5,Pmz,1,1,1,-9.66979,0.075679,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.743172,0.00178407,-8.81301,-0.856785
