setting,dp_idx,dp_label,run,var,y_obs,y_err,y_pred,resid,pull
A,3,b3,23844,Pmz,-9.81701,0.074374,-9.74244,-0.0745658,-1.00258
A,3,b3,23844,Pmy,9.97584,0.06824,10.0188,-0.0429826,-0.629873
A,3,b3,23845,W,15.0596,0.149743,14.9369,0.122705,0.819438
A,3,b3,23845,Em,13.6252,0.050961,13.5365,0.0887572,1.74167
A,3,b3,23845,Pmz,-9.77282,0.075936,-9.74244,-0.0303768,-0.400032
A,3,b3,23845,Pmy,10.0665,0.069835,10.0188,0.0476854,0.68283
A,3,b3,23846,W,15.1335,0.141123,14.9369,0.196648,1.39345
A,3,b3,23846,Em,13.7668,0.046428,13.5365,0.230311,4.96061
A,3,b3,23846,Pmz,-9.91107,0.07087,-9.74244,-0.168629,-2.37941
A,3,b3,23846,Pmy,10.0079,0.065678,10.0188,-0.0108896,-0.165802
A,3,b3,23847,W,15.2278,0.149208,14.9369,0.290922,1.94978
A,3,b3,23847,Em,13.8279,0.050196,13.5365,0.291457,5.80638
A,3,b3,23847,Pmz,-9.93936,0.075754,-9.74244,-0.19692,-2.59946
A,3,b3,23847,Pmy,10.151,0.069834,10.0188,0.132184,1.89284
A,3,b3,23848,W,15.4076,0.159498,14.9369,0.470676,2.95098
A,3,b3,23848,Em,13.9382,0.053793,13.5365,0.401745,7.46835
A,3,b3,23848,Pmz,-10.0147,0.081635,-9.74244,-0.272296,-3.33553
A,3,b3,23848,Pmy,9.96982,0.073576,10.0188,-0.0490036,-0.666026
A,4,b4,23839,W,19.5595,0.225517,21.0416,-1.48207,-6.57188
A,4,b4,23839,Em,16.2162,0.082327,18.0441,-1.82787,-22.2025
A,4,b4,23839,Pmz,-9.52773,0.113178,-10.7889,1.26114,11.143
A,4,b4,23839,Pmy,12.6327,0.134459,12.6673,-0.0346714,-0.257859
A,4,b4,23840,W,20.9759,0.190481,21.0416,-0.0656874,-0.34485
A,4,b4,23840,Em,17.9738,0.065461,18.0441,-0.0703385,-1.07451
A,4,b4,23840,Pmz,-10.697,0.09472,-10.7889,0.0918231,0.969416
A,4,b4,23840,Pmy,12.7304,0.111824,12.6673,0.0630366,0.563713
A,4,b4,23841,W,21.0266,0.242743,21.0416,-0.0150334,-0.0619315
A,4,b4,23841,Em,18.1978,0.090801,18.0441,0.153686,1.69256
A,4,b4,23841,Pmz,-10.9365,0.12408,-10.7889,-0.147658,-1.19002
