dataset,method,init,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull
radwan_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-13.683270,-0.611087,-2.247056
radwan_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,14.343039,-0.981303,-2.445554
radwan_input,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.590304,0.329922,10.234650,0.292744,9.158997,-0.568693,-1.723718
radwan_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,4.373566,0.788400,0.764670
radwan_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.034481,0.287492,6.984338,0.274461,-14.556523,-0.477958,-1.662509
radwan_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,14.975752,0.352338,8.840918,0.280320,15.616556,-0.640804,-1.818720
radwan_input,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.984313,0.314767,9.954763,0.266540,9.116454,-0.132141,-0.419807
radwan_input,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,11.905280,1.091195,27.761362,1.126965,9.993462,1.911818,1.752040
radwan_input,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.151015,0.386584,8.456462,0.400337,-14.260100,0.109085,0.282176
radwan_input,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.158137,0.359273,8.317206,0.271510,16.394946,-0.236809,-0.659133
radwan_input,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.607762,0.325779,9.555320,0.263229,7.915095,0.692667,2.126188
radwan_input,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,3.294061,-0.736784,-0.673412
radwan_input,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-14.021583,-0.272774,-1.003028
radwan_input,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,13.638427,-0.276691,-0.689554
radwan_input,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.590304,0.329922,10.234650,0.292744,9.123957,-0.533653,-1.617513
radwan_input,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,5.361987,-0.200021,-0.194001
radwan_input,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.034481,0.287492,6.984338,0.274461,-14.975859,-0.058622,-0.203909
radwan_input,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,14.975752,0.352338,8.840918,0.280320,15.004140,-0.028388,-0.080570
radwan_input,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.984313,0.314767,9.954763,0.266540,9.103542,-0.119229,-0.378784
radwan_input,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,11.905280,1.091195,27.761362,1.126965,10.948367,0.956913,0.876940
radwan_input,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.151015,0.386584,8.456462,0.400337,-14.808217,0.657202,1.700023
radwan_input,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.158137,0.359273,8.317206,0.271510,15.906805,0.251332,0.699557
radwan_input,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.607762,0.325779,9.555320,0.263229,7.959711,0.648051,1.989236
radwan_input,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,3.293995,-0.736718,-0.673351
radwan_input,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-14.021572,-0.272785,-1.003071
radwan_input,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,13.638458,-0.276722,-0.689632
radwan_input,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.590304,0.329922,10.234650,0.292744,9.123948,-0.533644,-1.617487
radwan_input,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,5.362035,-0.200069,-0.194048
radwan_input,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.034481,0.287492,6.984338,0.274461,-14.975842,-0.058639,-0.203966
radwan_input,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,14.975752,0.352338,8.840918,0.280320,15.004188,-0.028436,-0.080707
radwan_input,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.984313,0.314767,9.954763,0.266540,9.103509,-0.119196,-0.378680
radwan_input,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,11.905280,1.091195,27.761362,1.126965,10.948268,0.957012,0.877031
radwan_input,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.151015,0.386584,8.456462,0.400337,-14.808232,0.657217,1.700062
radwan_input,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.158137,0.359273,8.317206,0.271510,15.906857,0.251280,0.699413
radwan_input,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.607762,0.325779,9.555320,0.263229,7.959719,0.648043,1.989211
radwan_input,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,3.294061,-0.736784,-0.673412
radwan_input,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-14.021583,-0.272774,-1.003029
radwan_input,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,13.638427,-0.276691,-0.689555
radwan_input,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.590304,0.329922,10.234650,0.292744,9.123957,-0.533653,-1.617513
radwan_input,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,5.361987,-0.200021,-0.194001
radwan_input,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.034481,0.287492,6.984338,0.274461,-14.975859,-0.058622,-0.203909
radwan_input,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,14.975752,0.352338,8.840918,0.280320,15.004140,-0.028388,-0.080570
radwan_input,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.984313,0.314767,9.954763,0.266540,9.103542,-0.119229,-0.378784
radwan_input,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,11.905280,1.091195,27.761362,1.126965,10.948367,0.956913,0.876940
radwan_input,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.151015,0.386584,8.456462,0.400337,-14.808217,0.657202,1.700023
radwan_input,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.158137,0.359273,8.317206,0.271510,15.906805,0.251332,0.699557
radwan_input,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.607762,0.325779,9.555320,0.263229,7.959711,0.648051,1.989236
radwan_rangescan_k1p5,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.871331,1.263402,27.792263,1.382291,1.961657,0.909674,0.720019
radwan_rangescan_k1p5,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.757206,0.321204,6.501951,0.340162,-13.892059,-0.865147,-2.693451
radwan_rangescan_k1p5,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.424871,0.394100,9.112102,0.324370,14.477099,-1.052228,-2.669952
radwan_rangescan_k1p5,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.452749,0.347197,9.790159,0.327893,8.911839,-0.459090,-1.322276
radwan_rangescan_k1p5,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.808074,1.257330,29.035456,1.507708,3.887664,1.920410,1.527371
radwan_rangescan_k1p5,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.548017,0.314979,6.774474,0.400442,-14.860261,-0.687756,-2.183498
radwan_rangescan_k1p5,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,15.054545,0.339775,8.933222,0.312419,15.829694,-0.775149,-2.281359
radwan_rangescan_k1p5,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.885093,0.332945,9.585737,0.296276,8.924316,-0.039223,-0.117805
radwan_rangescan_k1p5,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,10.475310,1.424833,27.010919,1.577131,8.080428,2.394882,1.680816
radwan_rangescan_k1p5,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.751251,0.413726,7.725741,0.516605,-14.685890,-0.065361,-0.157982
radwan_rangescan_k1p5,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.207093,0.356858,8.775110,0.367319,16.457895,-0.250802,-0.702807
radwan_rangescan_k1p5,tminuit_simplex,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.671464,0.390341,9.688819,0.401820,8.046581,0.624883,1.600864
radwan_rangescan_k1p5,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.871331,1.263402,27.792263,1.382291,3.520269,-0.648938,-0.513643
radwan_rangescan_k1p5,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.757206,0.321204,6.501951,0.340162,-14.432725,-0.324481,-1.010201
radwan_rangescan_k1p5,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.424871,0.394100,9.112102,0.324370,13.679255,-0.254384,-0.645480
radwan_rangescan_k1p5,tminuit_migrad,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.452749,0.347197,9.790159,0.327893,8.903477,-0.450728,-1.298191
radwan_rangescan_k1p5,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.808074,1.257330,29.035456,1.507708,5.642810,0.165264,0.131440
radwan_rangescan_k1p5,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.548017,0.314979,6.774474,0.400442,-15.468282,-0.079735,-0.253144
radwan_rangescan_k1p5,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,15.054545,0.339775,8.933222,0.312419,15.137956,-0.083411,-0.245490
