# OutlierByCurrent output
# source = results/pass4/**/tables/yield_vs_current_signal.csv ; results/pass5/**/tables/yield_vs_current_signal.csv
# flag_type=outlier_by_pull => status==OK && fit_included==1 && yield_err>0 && abs((yield-fit_const)/yield_err)>3
# flag_type=excluded_from_fit => fit_included!=1 or status!=OK or invalid yield/yield_err
# threshold = abs_pull > 3
# sort = flag_type, then abs_pull descending within outlier_by_pull, then reason/setting/run
setting,run,flag_type,reason,BCM2_I,yield,yield_err,fit_const,abs_pull
"pass4/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2",24230,"outlier_by_pull","abs_pull>3",17.017000,7.407530,0.199055,6.533320,4.391801
"pass5/pi+sidis/LH2/z0p9/x0p25/Q23p3/hmsPneg3p642_shmsP6p538_hmsTh16p75_shmsTh7p51_thpqneg0p8",24890,"outlier_by_pull","abs_pull>3",18.087000,46.139700,0.461511,44.190300,4.223951
"pass5/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24920,"outlier_by_pull","abs_pull>3",24.862000,54.583900,0.466197,52.626800,4.198011
"pass5/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24939,"outlier_by_pull","abs_pull>3",18.573000,87.904200,1.090290,92.456500,4.175311
"pass5/pi+sidis/LD2/z0p9/x0p25/Q23p3/hmsPneg3p642_shmsP6p538_hmsTh16p75_shmsTh7p51_thpqneg0p8",24882,"outlier_by_pull","abs_pull>3",26.707000,72.394500,0.534695,70.202400,4.099720
"pass5/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8",24970,"outlier_by_pull","abs_pull>3",18.030000,49.974000,0.563041,52.268100,4.074481
"pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh13p51_thpq5p2",25365,"outlier_by_pull","abs_pull>3",22.169000,72.550100,0.558318,70.283900,4.058977
"pass4/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2",24267,"outlier_by_pull","abs_pull>3",12.178000,11.994300,0.315410,10.723700,4.028407
"pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8",24965,"outlier_by_pull","abs_pull>3",3.917000,96.969100,1.379020,91.417800,4.025540
"pass4/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2",24220,"outlier_by_pull","abs_pull>3",12.054000,12.011200,0.320422,10.723700,4.018139
"pass5/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24914,"outlier_by_pull","abs_pull>3",38.346000,50.143000,0.619732,52.626800,4.007861
"pass4/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh11p075_thpq5p2",24622,"outlier_by_pull","abs_pull>3",12.804000,9.702830,0.281844,8.600460,3.911277
"pass5/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2",25265,"outlier_by_pull","abs_pull>3",28.152000,56.677300,0.415212,55.068900,3.873684
"pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p755_shmsTh10p31_thpq2",25489,"outlier_by_pull","abs_pull>3",15.025000,55.466200,0.614931,53.107300,3.836040
"pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh10p31_thpq2",25447,"outlier_by_pull","abs_pull>3",14.725000,56.974200,0.848386,53.724100,3.830921
"pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh10p31_thpq2",25446,"outlier_by_pull","abs_pull>3",14.760000,56.204900,0.652910,53.724100,3.799605
"pass4/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2",24219,"outlier_by_pull","abs_pull>3",24.482000,11.587700,0.229983,10.723700,3.756799
"pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh13p51_thpq5p2",25379,"outlier_by_pull","abs_pull>3",55.659000,68.371900,0.519590,70.283900,3.679824
"pass5/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2",25259,"outlier_by_pull","abs_pull>3",25.203000,95.029300,0.587114,92.874300,3.670497
"pass4/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh11p075_thpq5p2",24673,"outlier_by_pull","abs_pull>3",14.006000,9.550880,0.259481,8.600460,3.662773
"pass5/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8",25116,"outlier_by_pull","abs_pull>3",23.488000,24.890100,0.389235,26.305100,3.635336
"pass4/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsPneg3p632_hmsTh29p045_shmsTh7p865_thpq2",24096,"outlier_by_pull","abs_pull>3",9.429000,3.858800,0.195017,3.160400,3.581226
"pass5/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24943,"outlier_by_pull","abs_pull>3",18.840000,89.985800,0.695728,92.456500,3.551244
"pass5/pi+sidis/LD2/z0p36/x0p25/Q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2",25322,"outlier_by_pull","abs_pull>3",5.032000,89.470100,1.397960,84.519000,3.541661
"pass5/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh7p51_thpqneg0p8",24975,"outlier_by_pull","abs_pull>3",9.054000,54.973000,0.776329,52.268100,3.484219
"pass5/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",24910,"outlier_by_pull","abs_pull>3",9.472000,95.959400,1.008390,92.456500,3.473755
"pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p755_shmsTh10p31_thpq2",25490,"outlier_by_pull","abs_pull>3",15.071000,55.570500,0.710678,53.107300,3.465986
"pass5/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p755_shmsTh8p11_thpqneg0p2",25513,"outlier_by_pull","abs_pull>3",15.139000,24.870300,0.446180,23.335100,3.440764
"pass5/pi-sidis/LH2/z0p9/x0p25/Q23p3/hmsPneg3p642_shmsPneg6p538_hmsTh16p75_shmsTh7p51_thpqneg0p8",25020,"outlier_by_pull","abs_pull>3",15.981000,13.832000,0.276048,12.897100,3.386730
