run,requested_run_type,phase,bigtable_source,run_type,target,ebeam,hms_p,shms_p,root_file,root_entries,selected_entries,ct_method,ct_reference_runs,ctmean,ctmean_err,ctsigma,ctsigma_err,rf_period_ns,ct_low,ct_high,random_left_low,random_left_high,random_right_low,random_right_high,n_coin,n_random_peaks,n_random_total,random_mean,good_coin,good_coin_err,BCM2_Q,ps5,ps6,active_prescale,prescale_factor,comp_livetime,h_esing_Eff,p_hadron_Eff,trigger_eff,pid_eff,boil_corr,norm_factor,normalized_yield,normalized_yield_err,bigtable_normyield,bigtable_normyield_err,status,reason
27139,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27139_-1.root,287429,12345,TWO_STAGE_GAUSSIAN_FIT,,51.263084,0.01631746347,0.4335181527,0.01666013573,2,50.263084,52.263084,42.263084,48.263084,54.263084,60.263084,970,6,2052,342,628,32.04684072,46.243,-1,1,ps6,1,0.99992,0.9982,0.9747,1,1,1,0.022227991,13.95917835,0.7123368871,15.6216,0.748837,OK,
27140,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27140_-1.root,308880,13592,TWO_STAGE_GAUSSIAN_FIT,,51.24604319,0.01375892843,0.3901787782,0.01382210689,2,50.24604319,52.24604319,42.24604319,48.24604319,54.24604319,60.24604319,1105,6,2273,378.8333333,726.1666667,34.17804689,49.917,-1,1,ps6,1,0.99988,0.9979,0.9751,1,1,1,0.02059052703,14.95215438,0.7037439984,17.2648,0.744285,OK,
27141,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27141_-1.root,314295,13978,TWO_STAGE_GAUSSIAN_FIT,,51.31530825,0.01333558075,0.4049424607,0.01344007106,2,50.31530825,52.31530825,42.31530825,48.31530825,54.31530825,60.31530825,1138,6,2299,383.1666667,754.8333333,34.66786857,50.577,-1,1,ps6,1,0.9999,0.9979,0.975,1,1,1,0.02032351058,15.34086324,0.7045727936,16.9897,0.73867,OK,
27142,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27142_-1.root,319811,14080,TWO_STAGE_GAUSSIAN_FIT,,51.30694031,0.01324931965,0.3978054468,0.01310061721,2,50.30694031,52.30694031,42.30694031,48.30694031,54.30694031,60.30694031,1098,6,2436,406,692,34.14186091,51.512,-1,1,ps6,1,0.99989,0.9982,0.9734,1,1,1,0.01998160896,13.8272734,0.6822093138,15.8767,0.719623,OK,
27143,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27143_-1.root,311781,13768,TWO_STAGE_GAUSSIAN_FIT,,51.2353484,0.01346288424,0.3852459392,0.01378351046,2,50.2353484,52.2353484,42.2353484,48.2353484,54.2353484,60.2353484,1142,6,2367,394.5,747.5,34.75269774,50.38,-1,1,ps6,1,0.99992,0.9978,0.974,1,1,1,0.0204255672,15.26811148,0.7098435629,17.3842,0.742663,OK,
27144,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27144_-1.root,307212,13447,TWO_STAGE_GAUSSIAN_FIT,,51.23759665,0.01278936753,0.3671284829,0.01326671821,2,50.23759665,52.23759665,42.23759665,48.23759665,54.23759665,60.23759665,1094,6,2251,375.1666667,718.8333333,34.00776055,49.35,-1,1,ps6,1,0.99991,0.9979,0.9741,1,1,1,0.0208478544,14.98613267,0.7089888404,17.3543,0.75157,OK,
27145,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27145_-1.root,280256,12312,TWO_STAGE_GAUSSIAN_FIT,,51.31955885,0.01408152314,0.4064965261,0.01341189272,2,50.31955885,52.31955885,42.31955885,48.31955885,54.31955885,60.31955885,1030,6,2008,334.6666667,695.3333333,32.95114228,44.873,-1,1,ps6,1,0.99992,0.9982,0.9726,1,1,1,0.02295608419,15.96213054,0.7564291963,18.3369,0.803897,OK,
27146,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27146_-1.root,353716,15627,TWO_STAGE_GAUSSIAN_FIT,,51.27428839,0.0131640319,0.4164364767,0.01300891406,2,50.27428839,52.27428839,42.27428839,48.27428839,54.27428839,60.27428839,1289,6,2610,435,854,36.89850945,56.805,-1,1,ps6,1,0.99993,0.9978,0.975,1,1,1,0.0180965473,15.45445139,0.6677356215,17.3322,0.702008,OK,
27147,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27147_-1.root,316450,14066,TWO_STAGE_GAUSSIAN_FIT,,51.25183612,0.01387019502,0.3925953298,0.0140029772,2,50.25183612,52.25183612,42.25183612,48.25183612,54.25183612,60.25183612,1140,6,2331,388.5,751.5,34.70950878,50.797,-1,1,ps6,1,0.99993,0.9982,0.9753,1,1,1,0.02022257933,15.19726836,0.7019157948,16.9825,0.737059,OK,
27148,PI-SIDIS,phase2,bigtable/rsidis_bigtable_phase2.csv,PI-SIDIS,LH2,6.449,-1.165,-2.766,/lustre24/expphy/volatile/hallc/c-rsidis/pdbforce/replay/ROOTfiles/coin_replay_production_27148_-1.root,72673,3060,TWO_STAGE_GAUSSIAN_FIT,,51.24814638,0.03578839682,0.4370081627,0.04473908944,2,50.24814638,52.24814638,42.24814638,48.24814638,54.24814638,60.24814638,279,6,497,82.83333333,196.1666667,17.11156204,11.276,-1,1,ps6,1,0.99988,0.9983,0.9715,1,1,1,0.09145199317,17.93983266,1.564886455,18.5518,1.62119,OK,
