toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_b1_A,dthe_b1_B,dpe_b1_A,dpe_b1_B,dthp,dpp_b1_A,dpp_b1_B
396,True,Optimization terminated successfully.,1803,2810,388.2184,0,1,-0.0295,-0.4267,-0.4662,-0.0480,1.1692,-1.4989,1.0131
397,True,Optimization terminated successfully.,1939,2979,479.2512,0,1,-0.1697,-0.6468,-0.2508,0.3962,1.4700,-2.2215,0.3219
398,True,Optimization terminated successfully.,1671,2602,427.6394,0,1,0.0408,-0.3483,-0.5845,-0.2424,1.0056,-1.0972,1.2780
399,True,Optimization terminated successfully.,2176,3373,543.4243,0,1,0.0188,-0.3492,-0.5663,-0.2484,0.9979,-1.1470,1.3293
400,True,Optimization terminated successfully.,2169,3338,427.2433,0,1,0.0332,-0.2324,-0.5867,-0.4299,0.9859,-1.0723,1.6170
401,True,Optimization terminated successfully.,1815,2818,425.8587,0,1,-0.0272,-0.4062,-0.4833,-0.0979,1.1328,-1.4307,1.1080
402,True,Optimization terminated successfully.,1908,2950,423.7495,0,1,-0.0976,-0.5324,-0.3590,0.1631,1.3197,-1.8550,0.6886
403,True,Optimization terminated successfully.,1763,2760,386.6408,0,1,-0.0414,-0.3513,-0.4644,-0.1412,1.1502,-1.5002,1.1710
404,True,Optimization terminated successfully.,1685,2636,427.3973,0,1,-0.1007,-0.4887,-0.3537,0.0627,1.2919,-1.8769,0.8504
405,True,Optimization terminated successfully.,1803,2780,434.0314,0,1,-0.4238,-1.1917,0.1665,1.4147,2.0564,-3.6093,-1.2604
406,True,Optimization terminated successfully.,2146,3304,503.7267,0,1,0.0497,-0.3620,-0.6056,-0.2286,0.9457,-1.0091,1.3074
407,True,Optimization terminated successfully.,1714,2661,404.0436,0,1,-0.1055,-0.5182,-0.3532,0.1651,1.3173,-1.8546,0.7095
408,True,Optimization terminated successfully.,1591,2464,473.5983,0,1,0.0898,-0.2620,-0.6744,-0.4302,0.8392,-0.7922,1.6445
409,True,Optimization terminated successfully.,2077,3185,476.3812,0,1,0.1251,-0.2269,-0.7194,-0.4480,0.8212,-0.6249,1.6315
410,True,Optimization terminated successfully.,1944,3018,429.8479,0,1,-0.2340,-0.8001,-0.1357,0.6927,1.6473,-2.5906,-0.1669
411,True,Optimization terminated successfully.,1649,2543,463.0489,0,1,0.0223,-0.3842,-0.5541,-0.1295,1.0680,-1.1936,1.2147
412,True,Optimization terminated successfully.,2162,3322,410.1057,0,1,-0.0233,-0.4521,-0.4892,-0.0209,1.1207,-1.3973,0.9594
413,True,Optimization terminated successfully.,1965,3043,358.4264,0,1,-0.6214,-1.3764,0.4840,1.8999,2.5046,-4.6830,-1.9930
414,True,Optimization terminated successfully.,1731,2711,484.0642,0,1,-0.0922,-0.5595,-0.3867,0.1493,1.2650,-1.7637,0.7022
415,True,Optimization terminated successfully.,1948,3034,381.6342,1,0,-1.8378,-3.5152,2.4736,6.1895,5.3355,-11.3788,-8.6920
416,True,Optimization terminated successfully.,1945,3012,380.8915,0,1,0.0055,-0.3260,-0.5433,-0.2577,1.0357,-1.2318,1.3352
417,True,Optimization terminated successfully.,1779,2781,436.4123,0,1,0.3942,0.3190,-1.1720,-1.6183,0.1334,0.8680,3.4280
418,True,Optimization terminated successfully.,1835,2829,471.0387,0,1,-0.1321,-0.5998,-0.3023,0.2584,1.3840,-2.0612,0.5546
419,True,Optimization terminated successfully.,1739,2701,379.1222,0,1,0.0292,-0.1874,-0.5853,-0.4300,0.9878,-1.1012,1.6483
420,True,Optimization terminated successfully.,1779,2759,399.3300,0,1,-0.2700,-0.7988,-0.0842,0.7380,1.7101,-2.7757,-0.1809
421,True,Optimization terminated successfully.,1632,2536,415.1168,0,1,-0.0617,-0.4260,-0.4342,-0.0598,1.2123,-1.5938,1.0429
422,True,Optimization terminated successfully.,2033,3147,502.2534,0,1,-0.0609,-0.4884,-0.4181,0.0793,1.2090,-1.6497,0.7747
423,True,Optimization terminated successfully.,1975,3052,495.2447,0,1,-0.3184,-0.8928,-0.0062,0.9377,1.8264,-3.0216,-0.5059
424,True,Optimization terminated successfully.,1995,3110,466.5566,0,1,-0.1178,-0.5676,-0.3251,0.2352,1.3633,-1.9693,0.5874
425,True,Optimization terminated successfully.,1823,2802,507.6458,0,1,-0.0444,-0.3915,-0.4503,-0.1331,1.1668,-1.5416,1.1370
426,True,Optimization terminated successfully.,1702,2645,441.0475,0,1,-0.1385,-0.5915,-0.2985,0.2939,1.3974,-2.0547,0.4435
427,True,Optimization terminated successfully.,1905,2941,397.6170,0,1,-0.2480,-0.7410,-0.1083,0.6334,1.6555,-2.6909,-0.0073
428,True,Optimization terminated successfully.,1969,3064,570.8348,0,1,-0.1192,-0.5247,-0.3281,0.1525,1.3492,-1.9298,0.7115
429,True,Optimization terminated successfully.,1674,2583,439.7866,0,1,-0.1195,-0.5413,-0.3369,0.2158,1.3575,-1.9486,0.6290
430,True,Optimization terminated successfully.,1631,2526,464.2874,0,1,-0.0531,-0.4107,-0.4423,-0.0348,1.1988,-1.5697,1.0068
431,True,Optimization terminated successfully.,2088,3215,421.3834,0,1,-0.0115,-0.3617,-0.5239,-0.1834,1.0495,-1.3068,1.2545
432,True,Optimization terminated successfully.,1714,2667,386.5749,0,1,-0.0255,-0.3917,-0.4806,-0.1511,1.1461,-1.4473,1.1504
433,True,Optimization terminated successfully.,1744,2696,389.1343,0,1,-0.1274,-0.6078,-0.3098,0.3183,1.4262,-2.0165,0.4467
434,True,Optimization terminated successfully.,2070,3179,374.8088,0,1,-0.0689,-0.5380,-0.4105,0.1079,1.2335,-1.6683,0.7712
435,True,Optimization terminated successfully.,1934,2983,423.6049,0,1,0.2029,-0.0893,-0.8517,-0.7784,0.6293,-0.2022,2.1036
436,True,Optimization terminated successfully.,1741,2678,363.7455,0,1,-0.0642,-0.4588,-0.4350,0.0038,1.2060,-1.5887,0.9147
437,True,Optimization terminated successfully.,1903,2914,486.2775,0,1,-0.0020,-0.3836,-0.5188,-0.1178,1.1017,-1.2964,1.1526
438,True,Optimization terminated successfully.,1869,2895,423.6536,0,1,-0.0268,-0.4110,-0.4848,-0.1178,1.1186,-1.4317,1.1182
439,True,Optimization terminated successfully.,1952,3015,482.3048,0,1,0.1522,-0.0862,-0.7769,-0.7434,0.7046,-0.4386,2.0937
440,True,Optimization terminated successfully.,1773,2765,506.7377,0,1,-0.0725,-0.4745,-0.4112,0.0227,1.2360,-1.6851,0.8777
441,True,Optimization terminated successfully.,1996,3072,434.6603,0,1,0.0040,-0.2799,-0.5390,-0.3317,1.0224,-1.2615,1.4804
442,True,Optimization terminated successfully.,1636,2504,460.6887,0,1,-0.1034,-0.4748,-0.3474,0.0895,1.3223,-1.8811,0.8472
443,True,Optimization terminated successfully.,1687,2637,418.4893,0,1,-0.0231,-0.4349,-0.4844,-0.0203,1.1597,-1.4402,1.0088
444,True,Optimization terminated successfully.,1890,2914,429.6075,0,1,0.1854,-0.0723,-0.8098,-0.7660,0.6800,-0.3372,2.1585
445,True,Optimization terminated successfully.,1844,2861,520.6234,0,1,-0.1706,-0.5562,-0.2524,0.2661,1.4493,-2.2108,0.5756
446,True,Optimization terminated successfully.,1871,2896,498.9123,0,1,0.0455,-0.3010,-0.5992,-0.2843,0.9572,-1.0420,1.3799
447,True,Optimization terminated successfully.,1995,3081,368.3613,0,1,-0.2912,-0.8904,-0.0508,0.8996,1.7746,-2.9011,-0.4445
448,True,Optimization terminated successfully.,1978,3039,443.0274,0,1,-0.0929,-0.4122,-0.3970,-0.0375,1.2439,-1.7451,0.9954
449,True,Optimization terminated successfully.,1825,2829,426.6828,0,1,0.2099,0.0295,-0.8649,-0.9133,0.5920,-0.1611,2.3363
450,True,Optimization terminated successfully.,1818,2831,474.7449,0,1,-0.2122,-0.6573,-0.1824,0.4252,1.5661,-2.4392,0.2843
451,True,Optimization terminated successfully.,1745,2679,346.2093,0,1,-0.1009,-0.5408,-0.3625,0.1888,1.2848,-1.8548,0.6263
452,True,Optimization terminated successfully.,1917,2939,491.6848,0,1,-0.0097,-0.3867,-0.5092,-0.1317,1.1138,-1.3400,1.1572
453,True,Optimization terminated successfully.,1983,3083,385.6407,0,1,-0.1112,-0.4842,-0.3543,0.0441,1.3042,-1.8810,0.9072
454,True,Optimization terminated successfully.,1784,2740,481.0333,0,1,0.0130,-0.3700,-0.5428,-0.1738,1.0612,-1.2274,1.2340
455,True,Optimization terminated successfully.,1974,3035,469.9504,0,1,-0.1012,-0.5277,-0.3592,0.1580,1.3318,-1.8502,0.7044
456,True,Optimization terminated successfully.,1768,2746,478.5335,0,1,0.0380,-0.1533,-0.5891,-0.5201,0.9907,-1.0874,1.7705
457,True,Optimization terminated successfully.,1707,2636,470.2567,0,1,-0.0282,-0.3475,-0.4881,-0.2236,1.1239,-1.4299,1.2650
458,True,Optimization terminated successfully.,1829,2824,423.8103,0,1,-0.1000,-0.5626,-0.3515,0.1677,1.3433,-1.8653,0.6510
459,True,Optimization terminated successfully.,2040,3155,405.1616,0,1,-0.0551,-0.4287,-0.4300,-0.0621,1.2162,-1.5981,1.0635
460,True,Optimization terminated successfully.,1896,2945,427.1508,0,1,-0.2055,-0.7765,-0.1930,0.6140,1.5673,-2.4140,-0.0535
461,True,Optimization terminated successfully.,1929,2998,397.4710,0,1,-0.2688,-0.7415,-0.0915,0.6509,1.6872,-2.7501,-0.0442
462,True,Optimization terminated successfully.,1967,3015,496.6448,0,1,0.2837,0.1779,-0.9810,-1.2337,0.4350,0.2415,2.8596
463,True,Optimization terminated successfully.,1690,2612,438.4264,0,1,-0.0969,-0.4851,-0.3593,0.0909,1.3289,-1.8373,0.7788
464,True,Optimization terminated successfully.,2014,3140,411.9262,0,1,-0.1112,-0.6312,-0.3382,0.3265,1.3704,-1.9031,0.4395
465,True,Optimization terminated successfully.,1841,2866,486.1906,0,1,0.1131,-0.2529,-0.6947,-0.4474,0.8657,-0.7207,1.6623
466,True,Optimization terminated successfully.,1640,2550,409.8647,0,1,0.1251,-0.2489,-0.7277,-0.4540,0.8179,-0.6130,1.6728
467,True,Optimization terminated successfully.,1721,2645,381.7348,0,1,-0.0984,-0.6079,-0.3642,0.2657,1.3184,-1.8203,0.5232
468,True,Optimization terminated successfully.,1821,2825,416.7119,0,1,-0.2157,-0.7484,-0.1791,0.5446,1.5638,-2.4769,0.0869
469,True,Optimization terminated successfully.,2040,3178,366.0935,0,1,-0.3943,-1.0508,0.1129,1.1838,1.9865,-3.4310,-0.8828
470,True,Optimization terminated successfully.,1897,2938,339.5936,1,0,-0.6979,-1.6219,0.6257,2.3625,2.7255,-5.1601,-2.7142
471,True,Optimization terminated successfully.,1940,2972,452.0025,0,1,0.1944,0.0019,-0.8549,-0.9472,0.6029,-0.1885,2.4326
472,True,Optimization terminated successfully.,1742,2724,448.7463,0,1,0.0391,-0.3878,-0.5834,-0.1393,1.0239,-1.0967,1.1767
473,True,Optimization terminated successfully.,1932,2983,387.8894,0,1,0.1040,-0.1478,-0.6894,-0.5706,0.8507,-0.7495,1.8377
474,True,Optimization terminated successfully.,1604,2491,493.9205,0,1,-0.0543,-0.4556,-0.4361,0.0475,1.1866,-1.5921,0.8893
475,True,Optimization terminated successfully.,1859,2892,472.9449,0,1,-0.0741,-0.5159,-0.4015,0.1001,1.2448,-1.7158,0.8231
476,True,Optimization terminated successfully.,1905,2913,477.1184,0,1,-0.0745,-0.5282,-0.3999,0.1044,1.2494,-1.6971,0.7828
477,True,Optimization terminated successfully.,2354,3613,437.1903,0,1,0.0599,-0.2432,-0.6143,-0.3789,0.9499,-0.9915,1.5427
478,True,Optimization terminated successfully.,1767,2759,417.9367,0,1,-0.2296,-0.7291,-0.1496,0.5681,1.6207,-2.5551,0.0393
479,True,Optimization terminated successfully.,1819,2801,431.6230,0,1,-0.0889,-0.5462,-0.3636,0.2016,1.3168,-1.8142,0.6415
480,True,Optimization terminated successfully.,1786,2754,398.1551,0,1,-0.0598,-0.4883,-0.4319,0.0968,1.2344,-1.6141,0.7672
481,True,Optimization terminated successfully.,1693,2640,431.6143,0,1,-0.4367,-1.1997,0.1809,1.4293,2.1149,-3.6850,-1.3112
482,True,Optimization terminated successfully.,1833,2874,399.0253,0,1,-0.2396,-0.8035,-0.1429,0.6809,1.6045,-2.5786,-0.0861
483,True,Optimization terminated successfully.,1976,3046,434.5298,0,1,0.0015,-0.3531,-0.5284,-0.2275,1.0608,-1.2758,1.2991
484,True,Optimization terminated successfully.,1778,2747,428.8533,0,1,-0.0286,-0.4552,-0.4742,0.0088,1.1494,-1.4607,0.9572
485,True,Optimization terminated successfully.,1862,2876,446.1968,0,1,-0.3510,-0.9405,0.0544,1.0176,1.9191,-3.2382,-0.6182
486,True,Optimization terminated successfully.,1655,2556,486.8731,0,1,0.0485,-0.2657,-0.5979,-0.3542,0.9963,-1.0392,1.4616
487,True,Optimization terminated successfully.,1854,2893,449.2027,0,1,-0.1824,-0.6244,-0.2245,0.3552,1.4993,-2.3058,0.4319
488,True,Optimization terminated successfully.,2233,3419,463.6008,0,1,-0.0559,-0.4933,-0.4379,0.0756,1.2160,-1.5898,0.8336
489,True,Optimization terminated successfully.,2065,3171,454.5183,0,1,-0.0488,-0.4404,-0.4407,-0.0363,1.2017,-1.5900,0.9930
490,True,Optimization terminated successfully.,1774,2736,484.4242,0,1,-0.1206,-0.5477,-0.3344,0.2194,1.3124,-1.9398,0.5922
491,True,Optimization terminated successfully.,1882,2918,491.4679,0,1,-0.1487,-0.5361,-0.2787,0.1524,1.3966,-2.1196,0.7248
492,True,Optimization terminated successfully.,1702,2639,437.8709,0,1,-0.0934,-0.4557,-0.3653,0.0117,1.3036,-1.8360,0.9215
493,True,Optimization terminated successfully.,2081,3200,421.6920,1,0,0.8969,1.2894,-1.9958,-3.4481,-1.0382,3.6385,6.3334
494,True,Optimization terminated successfully.,2021,3137,399.5990,0,1,-0.0666,-0.4148,-0.4147,-0.0719,1.2058,-1.6647,1.0726
495,True,Optimization terminated successfully.,1807,2806,540.0728,0,1,-0.1515,-0.6501,-0.2739,0.3854,1.4357,-2.1282,0.3352
496,True,Optimization terminated successfully.,1725,2679,481.5829,0,1,-0.1000,-0.4942,-0.3578,0.1199,1.3171,-1.8414,0.7769
497,True,Optimization terminated successfully.,1697,2650,446.3060,0,1,-0.2835,-0.8413,-0.0689,0.7559,1.7232,-2.8230,-0.2222
498,True,Optimization terminated successfully.,1781,2769,486.1039,0,1,-0.0329,-0.4976,-0.4697,0.0419,1.1712,-1.4731,0.8692
499,True,Optimization terminated successfully.,1597,2477,416.7106,0,1,-0.0529,-0.5596,-0.4422,0.1413,1.1997,-1.5700,0.7242
500,True,Optimization terminated successfully.,2009,3122,477.4317,0,1,0.3039,0.2276,-1.0211,-1.3237,0.3972,0.3663,3.0108
501,True,Optimization terminated successfully.,1884,2947,532.8052,1,0,6.3623,10.8051,-10.9042,-22.6088,-13.7351,33.5850,36.2236
502,True,Optimization terminated successfully.,1815,2829,452.3968,0,1,-0.2979,-0.8987,-0.0341,0.8555,1.7935,-2.9511,-0.3816
503,True,Optimization terminated successfully.,1707,2663,419.0585,0,1,0.1005,-0.1614,-0.6835,-0.5743,0.8219,-0.7680,1.8193
504,True,Optimization terminated successfully.,1678,2616,427.8624,0,1,-0.2959,-0.8855,-0.0341,0.8873,1.7909,-2.9474,-0.4453
505,True,Optimization terminated successfully.,1629,2524,467.5614,0,1,-0.1803,-0.6489,-0.2188,0.4142,1.5252,-2.3144,0.3061
506,True,Optimization terminated successfully.,1544,2411,452.7007,0,1,-0.0207,-0.4709,-0.4853,-0.0418,1.1239,-1.4266,1.0033
507,True,Optimization terminated successfully.,1878,2925,436.3341,0,1,-0.1094,-0.4460,-0.3529,0.0307,1.3022,-1.8652,0.9066
508,True,Optimization terminated successfully.,1646,2579,408.9630,1,0,-2.3258,-4.4335,3.2611,7.9497,6.4702,-14.0239,-11.4536
509,True,Optimization terminated successfully.,1699,2633,397.3272,0,1,0.0053,-0.3733,-0.5405,-0.2243,1.0562,-1.2576,1.3068
510,True,Optimization terminated successfully.,1990,3075,438.1461,0,1,-0.4605,-1.2371,0.2262,1.4985,2.1392,-3.7984,-1.3905
511,True,Optimization terminated successfully.,1953,3032,457.5807,0,1,-0.0416,-0.4622,-0.4560,0.0088,1.1940,-1.5377,0.9255
512,True,Optimization terminated successfully.,1617,2493,468.9622,0,1,-0.1034,-0.5412,-0.3544,0.1821,1.3148,-1.8595,0.6154
513,True,Optimization terminated successfully.,1968,3029,439.2341,1,0,-1.0207,-2.2454,1.1472,3.5871,3.4699,-6.9161,-4.6196
514,True,Optimization terminated successfully.,2024,3117,394.1408,0,1,-0.0442,-0.3812,-0.4536,-0.1258,1.1767,-1.5503,1.1246
515,True,Optimization terminated successfully.,1633,2553,408.2718,0,1,-0.0533,-0.4703,-0.4392,0.0704,1.2048,-1.5886,0.8863
516,True,Optimization terminated successfully.,1635,2546,415.7182,0,1,-0.0754,-0.5217,-0.4119,0.0759,1.2231,-1.6872,0.8074
517,True,Optimization terminated successfully.,1729,2685,468.9119,0,1,-0.1213,-0.5295,-0.3267,0.2239,1.3628,-1.9518,0.6025
518,True,Optimization terminated successfully.,1651,2579,483.8415,0,1,-0.0893,-0.5130,-0.3683,0.1166,1.2788,-1.8101,0.7761
519,True,Optimization terminated successfully.,2083,3227,396.5820,0,1,-0.1113,-0.5417,-0.3553,0.1462,1.3140,-1.8766,0.6951
520,True,Optimization terminated successfully.,1892,2950,476.4580,0,1,-0.3375,-0.8867,0.0273,0.9068,1.8498,-3.1598,-0.4804
521,True,Optimization terminated successfully.,1874,2896,382.1381,0,1,-0.0474,-0.3655,-0.4553,-0.1722,1.1748,-1.5295,1.2045
522,True,Optimization terminated successfully.,1933,2973,468.9053,0,1,-0.1000,-0.4705,-0.3685,0.0725,1.3175,-1.8117,0.8321
523,True,Optimization terminated successfully.,1857,2910,512.0155,1,0,3.0208,4.9138,-5.4485,-10.7450,-5.9198,15.2633,17.7194
524,True,Optimization terminated successfully.,1696,2617,423.4226,0,1,-0.0579,-0.4405,-0.4254,-0.0187,1.2114,-1.6263,0.9981
525,True,Optimization terminated successfully.,1233,1925,492.2249,0,1,0.0062,-0.4646,-0.5338,-0.0011,1.1067,-1.2391,0.9407
526,True,Optimization terminated successfully.,1480,2315,397.4405,0,1,0.0285,-0.3663,-0.5681,-0.1855,1.0269,-1.1463,1.2325
527,True,Optimization terminated successfully.,1665,2585,351.0937,0,1,-0.2065,-0.7292,-0.1885,0.5752,1.5535,-2.4295,0.0690
528,True,Optimization terminated successfully.,1738,2671,394.8429,0,1,0.1212,-0.2954,-0.7125,-0.3849,0.8675,-0.6558,1.5580
529,True,Optimization terminated successfully.,1728,2653,444.0095,0,1,-0.0173,-0.4095,-0.4931,-0.0371,1.1437,-1.4026,1.0182
530,True,Optimization terminated successfully.,1492,2319,516.4959,0,1,-0.0254,-0.4398,-0.4774,-0.0263,1.1488,-1.4490,0.9657
531,True,Optimization terminated successfully.,1820,2842,490.4102,0,1,-0.0399,-0.4197,-0.4658,-0.0614,1.1510,-1.5096,1.0711
532,True,Optimization terminated successfully.,1522,2386,414.3447,0,1,0.0040,-0.3998,-0.5287,-0.1366,1.0830,-1.2835,1.1465
533,True,Optimization terminated successfully.,1715,2671,369.0972,0,1,-0.2967,-0.8232,-0.0380,0.7738,1.7926,-2.9334,-0.2336
534,True,Optimization terminated successfully.,1637,2566,430.9286,0,1,-0.4212,-1.1031,0.1803,1.2947,2.1039,-3.6662,-1.0742
535,True,Optimization terminated successfully.,2152,3283,388.0012,0,1,-0.0835,-0.5237,-0.3917,0.1420,1.2634,-1.7487,0.7365
536,True,Optimization terminated successfully.,1963,3046,488.4191,0,1,-0.0381,-0.4393,-0.4635,-0.0053,1.1625,-1.5061,0.9753
537,True,Optimization terminated successfully.,1788,2801,494.9875,0,1,-0.0379,-0.5318,-0.4518,0.0669,1.1877,-1.5350,0.8222
538,True,Optimization terminated successfully.,1712,2673,399.2231,0,1,-0.1552,-0.5991,-0.2847,0.2992,1.3946,-2.1152,0.4866
539,True,Optimization terminated successfully.,2153,3350,456.3789,0,1,0.3595,0.2990,-1.1059,-1.4859,0.3014,0.6570,3.2624
540,True,Optimization terminated successfully.,1857,2858,421.7535,0,1,0.0272,-0.3218,-0.5714,-0.2463,1.0291,-1.1396,1.2998
541,True,Optimization terminated successfully.,1534,2362,474.2057,0,1,-0.0582,-0.4488,-0.4257,-0.0070,1.2163,-1.6167,0.9256
542,True,Optimization terminated successfully.,1979,3101,487.3489,1,0,-3.7287,-6.9191,5.5567,12.9249,9.7394,-21.7330,-19.2556
543,True,Optimization terminated successfully.,1775,2712,418.9688,0,1,-0.1890,-0.6735,-0.2206,0.4477,1.5063,-2.3244,0.2762
544,True,Optimization terminated successfully.,1806,2774,435.9242,0,1,-0.0082,-0.4634,-0.5008,-0.0168,1.1475,-1.3665,0.9382
545,True,Optimization terminated successfully.,1965,3063,423.1552,0,1,0.0209,-0.3649,-0.5622,-0.1955,1.0296,-1.1713,1.2555
546,True,Optimization terminated successfully.,1828,2844,413.3228,0,1,0.1759,-0.0353,-0.8051,-0.8117,0.6995,-0.3506,2.2576
547,True,Optimization terminated successfully.,1995,3053,538.2521,0,1,-0.0879,-0.5751,-0.3741,0.1719,1.3075,-1.7984,0.6298
548,True,Optimization terminated successfully.,1651,2550,379.1698,0,1,-0.0064,-0.3976,-0.4987,-0.0788,1.1512,-1.3755,1.0658
549,True,Optimization terminated successfully.,1829,2794,446.7278,0,1,-0.0413,-0.3672,-0.4552,-0.0930,1.1670,-1.5196,1.1358
550,True,Optimization terminated successfully.,1878,2906,417.7235,0,1,-0.0226,-0.4629,-0.4903,-0.0337,1.1393,-1.4100,0.9474
551,True,Optimization terminated successfully.,1672,2616,422.6663,0,1,-0.0635,-0.5637,-0.4257,0.1725,1.2101,-1.6156,0.6678
552,True,Optimization terminated successfully.,1864,2903,440.2065,0,1,-0.0938,-0.4541,-0.3792,0.0614,1.2821,-1.8039,0.8801
553,True,Optimization terminated successfully.,1975,3038,391.2102,0,1,-0.0705,-0.4976,-0.4041,0.1420,1.2733,-1.7011,0.7360
554,True,Optimization terminated successfully.,1853,2840,461.0911,0,1,-0.2024,-0.6330,-0.1935,0.3616,1.5262,-2.4158,0.3833
555,True,Optimization terminated successfully.,1588,2460,422.3775,0,1,-0.0434,-0.5441,-0.4508,0.1175,1.1860,-1.5342,0.7121
556,True,Optimization terminated successfully.,1675,2584,372.9877,0,1,-0.0230,-0.4171,-0.4971,-0.0918,1.1040,-1.3859,1.0971
557,True,Optimization terminated successfully.,1847,2856,511.4227,0,1,-0.1399,-0.5245,-0.2917,0.1746,1.3966,-2.0808,0.7201
558,True,Optimization terminated successfully.,1972,3070,475.3148,1,0,0.7517,0.9393,-1.7509,-2.8086,-0.6436,2.8220,5.3083
559,True,Optimization terminated successfully.,2026,3128,415.3078,0,1,-0.1388,-0.6203,-0.2873,0.2995,1.4180,-2.0905,0.4626
560,True,Optimization terminated successfully.,1825,2841,376.0317,0,1,0.0073,-0.3164,-0.5430,-0.2569,1.0513,-1.2312,1.3623
561,True,Optimization terminated successfully.,1921,2992,382.5396,0,1,-0.1352,-0.6322,-0.2988,0.3642,1.4104,-2.0557,0.3679
562,True,Optimization terminated successfully.,1939,3000,474.1328,0,1,-0.0928,-0.5649,-0.3647,0.2067,1.3278,-1.8241,0.6471
563,True,Optimization terminated successfully.,2081,3182,432.3581,0,1,0.1109,-0.1535,-0.7077,-0.5486,0.8117,-0.6847,1.7863
564,True,Optimization terminated successfully.,2170,3332,423.2168,0,1,-0.0938,-0.5103,-0.3644,0.1203,1.3401,-1.8185,0.7558
565,True,Optimization terminated successfully.,2340,3597,408.6247,0,1,0.0411,-0.2786,-0.6009,-0.3289,0.9731,-1.0460,1.4842
566,True,Optimization terminated successfully.,1283,2039,477.0406,0,1,-0.0315,-0.3458,-0.4734,-0.1498,1.1602,-1.4788,1.2027
567,True,Optimization terminated successfully.,1740,2683,450.9292,0,1,-0.0928,-0.5855,-0.3648,0.1498,1.2954,-1.8263,0.7076
568,True,Optimization terminated successfully.,1831,2854,458.8560,0,1,-0.0036,-0.3822,-0.5083,-0.1290,1.1217,-1.3525,1.1287
569,True,Optimization terminated successfully.,1960,3025,507.7244,0,1,-0.0971,-0.6082,-0.3654,0.2615,1.3549,-1.8220,0.5008
570,True,Optimization terminated successfully.,1791,2745,407.2412,1,0,-2.9559,-5.4863,4.3006,10.1212,7.9766,-17.5126,-14.8589
571,True,Optimization terminated successfully.,1470,2267,457.5038,0,1,-0.0209,-0.4578,-0.4920,-0.0058,1.1180,-1.4042,0.9922
572,True,Optimization terminated successfully.,2108,3206,450.0707,0,1,-0.0651,-0.4159,-0.4292,-0.0909,1.1955,-1.6290,1.0547
573,True,Optimization terminated successfully.,1919,2959,461.8533,0,1,-0.0223,-0.4954,-0.4851,0.0292,1.1621,-1.4072,0.8633
574,True,Optimization terminated successfully.,1778,2767,419.6490,0,1,-0.0598,-0.5118,-0.4237,0.1066,1.2315,-1.6474,0.7776
575,True,Optimization terminated successfully.,1699,2631,416.1848,0,1,-0.1989,-0.6804,-0.1912,0.4358,1.5743,-2.4108,0.2715
576,True,Optimization terminated successfully.,1769,2738,423.8041,0,1,-0.0421,-0.3640,-0.4515,-0.1466,1.1546,-1.5499,1.1860
577,True,Optimization terminated successfully.,1739,2729,486.9333,0,1,-0.1013,-0.5624,-0.3608,0.2025,1.3022,-1.8391,0.6358
578,True,Optimization terminated successfully.,1574,2437,407.1511,0,1,-0.1334,-0.6289,-0.3185,0.3145,1.3479,-1.9928,0.4469
579,True,Optimization terminated successfully.,1913,2932,437.1471,0,1,-0.0884,-0.5026,-0.3785,0.1166,1.2838,-1.8027,0.7575
580,True,Optimization terminated successfully.,2124,3276,367.5209,0,1,-0.0664,-0.5373,-0.4108,0.1035,1.2319,-1.6823,0.7470
581,True,Optimization terminated successfully.,2085,3182,390.3940,0,1,-0.0396,-0.5157,-0.4601,0.0812,1.1851,-1.5048,0.8222
582,True,Optimization terminated successfully.,1722,2667,414.9501,0,1,0.0086,-0.4645,-0.5250,0.0346,1.1166,-1.2841,0.8682
583,True,Optimization terminated successfully.,2065,3169,450.6197,0,1,-0.0261,-0.4274,-0.4940,-0.1135,1.0738,-1.4014,1.1123
584,True,Optimization terminated successfully.,1878,2895,421.5160,0,1,-0.0519,-0.5072,-0.4289,0.0975,1.2314,-1.6097,0.7986
585,True,Optimization terminated successfully.,1765,2739,392.1692,0,1,-0.2594,-0.7956,-0.1008,0.6793,1.6771,-2.7284,-0.1058
586,True,Optimization terminated successfully.,1905,2945,377.1412,0,1,0.1573,-0.0769,-0.7735,-0.7858,0.7139,-0.4478,2.1722
587,True,Optimization terminated successfully.,1919,2957,414.5015,0,1,-0.1145,-0.4936,-0.3529,0.1490,1.2944,-1.8928,0.6806
588,True,Optimization terminated successfully.,1966,3036,448.9016,0,1,0.0055,-0.4123,-0.5377,-0.1217,1.0694,-1.2540,1.1327
589,True,Optimization terminated successfully.,1984,3062,476.9636,0,1,-0.0148,-0.3732,-0.4938,-0.1615,1.1519,-1.4065,1.1829
590,True,Optimization terminated successfully.,1909,2951,386.4682,0,1,-0.0041,-0.4139,-0.5169,-0.0853,1.0981,-1.3342,1.0917
591,True,Optimization terminated successfully.,1950,3013,410.6408,0,1,0.0379,-0.3501,-0.5969,-0.2570,0.9622,-1.0603,1.3437
592,True,Optimization terminated successfully.,1738,2691,456.7954,0,1,-0.1366,-0.6241,-0.2882,0.3306,1.4334,-2.0832,0.4822
