toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_b1_A,dthe_b1_B,dpe_b1_A,dpe_b1_B,dthp,dpp_b1_A,dpp_b1_B
140,True,Optimization terminated successfully.,1723,2656,454.1302,0,1,-0.3935,-1.0898,0.1184,1.2436,2.0165,-3.4571,-1.0234
141,True,Optimization terminated successfully.,1834,2881,479.0675,0,1,0.2500,0.0346,-0.9378,-1.0240,0.4991,0.0927,2.5274
142,True,Optimization terminated successfully.,1989,3035,527.8822,0,1,-0.1464,-0.7075,-0.3085,0.4420,1.4042,-2.0270,0.2712
143,True,Optimization terminated successfully.,1800,2762,444.6129,0,1,-0.2541,-0.7532,-0.1085,0.6420,1.6854,-2.6969,-0.0396
144,True,Optimization terminated successfully.,1963,3030,437.4896,0,1,-0.2552,-0.7768,-0.1120,0.6666,1.6785,-2.6802,-0.0731
145,True,Optimization terminated successfully.,1618,2509,402.1455,0,1,0.0271,-0.2989,-0.5818,-0.3306,0.9949,-1.0957,1.4353
146,True,Optimization terminated successfully.,1868,2869,444.9044,0,1,-0.0073,-0.3253,-0.5214,-0.2149,1.0555,-1.3108,1.2901
147,True,Optimization terminated successfully.,1814,2804,426.3590,0,1,-0.0817,-0.4922,-0.3851,0.0881,1.2853,-1.7534,0.8158
148,True,Optimization terminated successfully.,1955,3026,433.3235,0,1,-0.0506,-0.4829,-0.4455,0.0564,1.2172,-1.5647,0.8868
149,True,Optimization terminated successfully.,1613,2513,381.9436,0,1,0.0383,-0.2604,-0.5969,-0.3624,0.9774,-1.0504,1.5052
150,True,Optimization terminated successfully.,1947,3032,453.8183,0,1,-0.0862,-0.5791,-0.3924,0.1936,1.2657,-1.7465,0.6350
151,True,Optimization terminated successfully.,2181,3362,466.8412,0,1,0.5072,0.4918,-1.3619,-1.9461,-0.1395,1.5302,3.9447
152,True,Optimization terminated successfully.,2004,3071,460.1438,0,1,-0.0976,-0.5384,-0.3704,0.1413,1.2944,-1.8212,0.7019
153,True,Optimization terminated successfully.,1701,2636,468.1312,0,1,-0.0492,-0.4971,-0.4466,0.0566,1.1930,-1.5663,0.8631
154,True,Optimization terminated successfully.,1893,2935,471.7011,0,1,0.0126,-0.3119,-0.5591,-0.2569,1.0256,-1.1793,1.3668
155,True,Optimization terminated successfully.,1571,2454,451.7276,0,1,-0.0386,-0.4551,-0.4528,0.0160,1.2168,-1.5224,0.8925
156,True,Optimization terminated successfully.,1947,3025,470.2495,0,1,-0.1176,-0.5370,-0.3350,0.1951,1.2991,-1.9281,0.6123
157,True,Optimization terminated successfully.,2003,3070,459.4789,0,1,-0.0951,-0.5101,-0.3725,0.1125,1.2670,-1.7943,0.7588
158,True,Optimization terminated successfully.,1733,2661,340.2941,0,1,-0.1065,-0.6076,-0.3381,0.3107,1.3593,-1.9172,0.4072
159,True,Optimization terminated successfully.,1807,2805,466.5697,0,1,-0.0800,-0.5498,-0.3975,0.1866,1.2789,-1.7393,0.6499
160,True,Optimization terminated successfully.,1926,2988,450.2420,0,1,0.1296,-0.1759,-0.7239,-0.5432,0.8154,-0.6102,1.7946
161,True,Optimization terminated successfully.,1422,2237,410.9481,0,1,-0.3946,-0.9845,0.1128,1.1208,1.9530,-3.4582,-0.8036
162,True,Optimization terminated successfully.,1790,2778,462.2722,0,1,-0.0375,-0.4759,-0.4599,0.0527,1.1956,-1.5208,0.8409
163,True,Optimization terminated successfully.,1702,2648,488.4395,0,1,-0.1151,-0.5839,-0.3293,0.2810,1.3478,-1.9493,0.4955
164,True,Optimization terminated successfully.,1896,2940,444.3308,0,1,-0.3837,-1.0332,0.1011,1.1824,1.9950,-3.3917,-0.8945
165,True,Optimization terminated successfully.,1875,2883,427.7791,0,1,0.0198,-0.2671,-0.5705,-0.3600,0.9851,-1.1432,1.5157
166,True,Optimization terminated successfully.,2177,3332,409.1975,0,1,0.2177,-0.0049,-0.9018,-0.9639,0.5226,-0.0330,2.4188
167,True,Optimization terminated successfully.,1764,2713,406.8895,0,1,-0.0082,-0.3564,-0.4948,-0.1573,1.1528,-1.4092,1.1599
168,True,Optimization terminated successfully.,1953,3018,322.6969,1,0,-6.4501,-11.6198,9.9989,22.4521,16.0732,-36.6717,-34.0544
169,True,Optimization terminated successfully.,1578,2432,532.3036,0,1,-0.0593,-0.4384,-0.4309,-0.0599,1.1833,-1.6127,1.0187
170,True,Optimization terminated successfully.,1871,2867,372.2566,0,1,-0.1202,-0.5732,-0.3262,0.2724,1.3711,-1.9712,0.5133
171,True,Optimization terminated successfully.,1876,2893,370.2964,0,1,0.1366,-0.1216,-0.7406,-0.6818,0.7807,-0.5680,1.9901
172,True,Optimization terminated successfully.,1723,2660,451.3160,0,1,-0.1022,-0.5182,-0.3674,0.0748,1.3123,-1.8365,0.8734
173,True,Optimization terminated successfully.,1911,2968,419.0479,0,1,-0.1027,-0.4949,-0.3560,0.1129,1.3357,-1.8584,0.7732
174,True,Optimization terminated successfully.,2371,3658,521.1804,0,1,0.0074,-0.3961,-0.5250,-0.1679,1.0922,-1.2730,1.1533
175,True,Optimization terminated successfully.,1830,2842,514.7062,0,1,-0.1359,-0.6120,-0.3101,0.3072,1.3810,-2.0210,0.4568
176,True,Optimization terminated successfully.,1875,2911,515.5381,0,1,-0.0306,-0.3719,-0.4718,-0.1278,1.1656,-1.4943,1.1426
177,True,Optimization terminated successfully.,1930,2995,415.5789,0,1,0.0781,-0.1697,-0.6497,-0.5109,0.9085,-0.8837,1.7396
178,True,Optimization terminated successfully.,1647,2567,510.9182,0,1,-0.0845,-0.4712,-0.3891,0.0623,1.2652,-1.7497,0.8451
179,True,Optimization terminated successfully.,1828,2857,372.6345,0,1,-0.0838,-0.4814,-0.3846,0.0914,1.2945,-1.7498,0.8032
180,True,Optimization terminated successfully.,1950,3018,413.9280,0,1,-0.1174,-0.5277,-0.3342,0.1953,1.3558,-1.9377,0.6671
181,True,Optimization terminated successfully.,2067,3224,537.6414,0,1,-0.0140,-0.4217,-0.4921,-0.0384,1.1762,-1.3954,0.9709
182,True,Optimization terminated successfully.,1866,2899,451.7555,0,1,-0.0270,-0.4639,-0.4757,0.0487,1.1932,-1.4627,0.8634
183,True,Optimization terminated successfully.,1902,2973,502.7066,0,1,-0.3830,-1.0179,0.1031,1.1432,1.9696,-3.4083,-0.8293
184,True,Optimization terminated successfully.,1870,2903,457.2191,0,1,-0.0399,-0.5325,-0.4505,0.1041,1.2005,-1.5312,0.7555
185,True,Optimization terminated successfully.,1800,2811,491.4031,0,1,-0.2084,-0.6945,-0.1877,0.4662,1.5579,-2.4164,0.2314
186,True,Optimization terminated successfully.,1801,2791,403.4419,0,1,-0.0745,-0.4564,-0.3951,0.0546,1.2625,-1.7326,0.8465
187,True,Optimization terminated successfully.,1979,3045,414.1566,0,1,-0.0465,-0.4883,-0.4449,0.0182,1.2001,-1.5697,0.8502
188,True,Optimization terminated successfully.,1933,2991,428.0720,0,1,0.0038,-0.3393,-0.5273,-0.2329,1.0862,-1.2967,1.2880
189,True,Optimization terminated successfully.,1653,2548,532.3865,0,1,-0.0535,-0.4086,-0.4390,-0.0792,1.1955,-1.5851,1.0981
190,True,Optimization terminated successfully.,1621,2511,357.8528,0,1,-0.0785,-0.4729,-0.3922,0.0674,1.2864,-1.7356,0.8637
191,True,Optimization terminated successfully.,1918,2994,428.6961,0,1,-0.0881,-0.6134,-0.3812,0.2500,1.2687,-1.7731,0.5161
192,True,Optimization terminated successfully.,1991,3067,412.5968,0,1,0.5451,0.5518,-1.4147,-2.0442,-0.1706,1.6997,4.1023
193,True,Optimization terminated successfully.,2528,3899,2.4849,1,0,-60.2840,-106.2679,97.8223,212.6375,141.3159,-331.8333,-330.5800
194,True,Optimization terminated successfully.,1836,2837,363.3568,0,1,-0.5879,-1.4112,0.4339,1.8978,2.4608,-4.5206,-1.9947
