toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_C,dthe_E,dthe_D,dpe_C,dpe_E,dpe_D,dthp,dpp
152,True,Optimization terminated successfully.,2293,3483,15.1607,1,0,1.7309,1.5367,1.4282,-4.1978,-4.0512,-4.2698,-1.3205,8.8992
153,True,Optimization terminated successfully.,2493,3729,8.7211,1,0,2.1978,2.0102,1.7515,-5.2643,-5.0990,-5.1942,-1.9014,10.3819
154,True,Optimization terminated successfully.,2422,3665,9.8474,1,0,8.5889,8.4427,8.2494,-19.9816,-19.8693,-19.8991,-10.0328,31.2866
155,True,Optimization terminated successfully.,2472,3710,15.0027,1,0,5.3886,5.3442,5.1340,-12.6779,-12.5937,-12.6738,-5.9665,20.9681
156,True,Optimization terminated successfully.,2965,4430,43.4409,1,0,3.9751,3.8535,3.5682,-9.2139,-9.0982,-9.2445,-3.9197,16.0653
157,True,Optimization terminated successfully.,2315,3444,11.4756,1,0,1.5519,1.3223,1.2177,-3.6166,-3.5121,-3.6092,-0.8993,8.0914
158,True,Optimization terminated successfully.,2453,3680,7.6707,1,0,2.0174,1.9051,1.7154,-4.9136,-4.8470,-5.0493,-1.7971,10.0389
159,True,Optimization terminated successfully.,2254,3406,12.1491,1,0,0.7250,0.5662,0.3843,-2.0033,-1.9374,-2.0482,-0.1430,5.8282
160,True,Optimization terminated successfully.,2518,3750,15.7935,0,1,-0.3695,-0.4956,-0.6497,0.6081,0.6300,0.5727,1.2460,2.1739
161,True,Optimization terminated successfully.,2529,3781,21.3317,1,0,1.3584,1.1817,0.9693,-3.3172,-3.2574,-3.3243,-0.8023,7.7511
162,True,Optimization terminated successfully.,2576,3864,19.6505,1,0,6.2930,6.1895,5.9270,-14.6131,-14.4574,-14.5740,-7.0665,23.6721
163,True,Optimization terminated successfully.,2192,3285,15.1301,1,0,0.8671,0.6988,0.3606,-2.0737,-1.9728,-2.1270,-0.1337,5.9259
164,True,Optimization terminated successfully.,2945,4359,29.3173,0,1,-0.0509,-0.1384,-0.3890,-0.2371,-0.1595,-0.2842,0.8734,3.3430
165,True,Optimization terminated successfully.,2209,3340,9.6352,1,0,-3.3090,-3.4316,-3.6207,7.2801,7.4678,7.3269,4.9939,-7.4106
166,True,Optimization terminated successfully.,2290,3441,12.2304,1,0,1.1493,0.9116,0.7992,-2.7866,-2.6898,-2.8186,-0.6060,6.9272
167,True,Optimization terminated successfully.,2046,3099,13.5864,0,1,-0.3576,-0.5846,-0.6888,0.6926,0.7304,0.6203,1.2838,2.1243
168,True,Optimization terminated successfully.,2609,3909,8.1740,1,0,2.3025,2.1423,1.9541,-5.5071,-5.4024,-5.5584,-2.0259,10.8256
169,True,Optimization terminated successfully.,2363,3523,9.3615,0,1,0.4461,0.3069,0.0560,-1.0908,-1.1135,-1.2321,0.3825,4.6481
170,True,Optimization terminated successfully.,2493,3753,16.8551,0,1,-0.7593,-0.8109,-1.0908,1.3535,1.5300,1.3857,1.7470,0.9820
171,True,Optimization terminated successfully.,2479,3703,13.1258,0,1,-0.3536,-0.5268,-0.7287,0.5519,0.6765,0.5446,1.3040,2.1732
172,True,Optimization terminated successfully.,2990,4445,15.7293,1,0,1.0716,0.9739,0.7762,-2.6574,-2.6158,-2.7385,-0.4494,6.8583
173,True,Optimization terminated successfully.,2763,4166,11.9325,1,0,-4.2986,-4.4925,-4.6476,9.6927,9.7463,9.6431,6.2619,-10.6952
174,True,Optimization terminated successfully.,2509,3743,19.9622,0,1,0.4028,0.2237,0.0405,-1.1729,-1.0347,-1.2263,0.3099,4.6438
175,True,Optimization terminated successfully.,2642,3936,1.5913,0,1,-1.0673,-1.2095,-1.3894,2.1927,2.2899,2.1390,2.2781,-0.0636
176,True,Optimization terminated successfully.,2442,3649,19.6019,1,0,2.7737,2.5988,2.4484,-6.5990,-6.5674,-6.5929,-2.7139,12.3377
177,True,Optimization terminated successfully.,2742,4100,22.3877,0,1,-2.1900,-2.3239,-2.4966,4.7344,4.8663,4.6652,3.5421,-3.7305
178,True,Optimization terminated successfully.,2310,3476,24.8436,1,0,-2.3423,-2.5412,-2.6939,5.2046,5.3498,5.2765,3.9102,-4.4043
179,True,Optimization terminated successfully.,2600,3892,12.7088,1,0,0.9654,0.7353,0.5842,-2.1921,-2.1020,-2.2569,-0.1818,6.1234
180,True,Optimization terminated successfully.,2129,3196,14.2514,1,0,1.4770,1.3042,1.1215,-3.5642,-3.4047,-3.5691,-1.0047,7.9712
181,True,Optimization terminated successfully.,2525,3810,16.5879,1,0,-14.4044,-14.5551,-14.7268,32.7839,32.9503,32.8913,19.1860,-43.5101
182,True,Optimization terminated successfully.,2025,3044,6.6405,1,0,1.6043,1.5351,1.4019,-4.0194,-3.9437,-4.0631,-1.4037,8.6980
