toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_C,dthe_E,dthe_D,dpe_C,dpe_E,dpe_D,dthp,dpp
378,True,Optimization terminated successfully.,2386,3604,9.0084,1,0,-13.8970,-14.2434,-14.2532,31.7873,31.8667,31.7351,18.5346,-42.0475
379,True,Optimization terminated successfully.,2250,3391,26.4641,1,0,-5.8307,-6.0819,-6.2508,13.2345,13.3561,13.1985,8.3974,-15.8044
380,True,Optimization terminated successfully.,2290,3438,10.7979,1,0,2.3066,2.1344,1.9402,-5.4769,-5.4232,-5.4733,-1.9577,10.7435
381,True,Optimization terminated successfully.,2337,3548,14.7395,0,1,-0.6282,-0.8031,-0.9779,1.2180,1.2222,1.0842,1.5463,1.3384
382,True,Optimization terminated successfully.,2164,3256,6.3754,1,0,2.4381,2.3089,2.1645,-5.8489,-5.8359,-5.9697,-2.2602,11.3597
383,True,Optimization terminated successfully.,2426,3656,20.8980,1,0,3.8761,3.7416,3.4583,-9.0484,-8.9458,-9.0821,-3.9492,15.8319
384,True,Optimization terminated successfully.,2377,3560,26.4560,1,0,2.2399,2.0171,1.8016,-5.2187,-5.1031,-5.1910,-1.9354,10.3565
385,True,Optimization terminated successfully.,2665,4001,8.5274,0,1,-1.3573,-1.5455,-1.7144,2.8222,2.9178,2.8130,2.4215,-1.0132
386,True,Optimization terminated successfully.,2387,3616,12.4872,1,0,-2.9540,-3.1395,-3.3016,6.5922,6.7394,6.6581,4.6238,-6.4464
387,True,Optimization terminated successfully.,2841,4256,18.2270,1,0,1.4419,1.2911,1.0895,-3.6607,-3.4971,-3.5973,-1.0620,8.1130
388,True,Optimization terminated successfully.,2248,3413,9.0908,1,0,2.2605,2.1349,1.8408,-5.3505,-5.2561,-5.3461,-2.0564,10.5667
389,True,Optimization terminated successfully.,2732,4055,16.7976,0,1,-0.4215,-0.4959,-0.7402,0.6385,0.7578,0.6531,1.3062,2.0714
390,True,Optimization terminated successfully.,2338,3510,10.3523,1,0,1.3298,1.1117,0.9886,-3.2190,-3.0902,-3.1330,-0.7855,7.5136
391,True,Optimization terminated successfully.,2254,3386,2.8619,1,0,2.0683,1.9219,1.8624,-5.1001,-5.0382,-5.1405,-1.8905,10.1961
392,True,Optimization terminated successfully.,2431,3675,15.1844,1,0,1.7673,1.6104,1.4718,-4.3437,-4.2167,-4.4024,-1.3986,9.1257
393,True,Optimization terminated successfully.,2431,3676,5.0492,1,0,-3.7093,-3.8335,-4.0604,8.2461,8.3371,8.3144,5.5896,-8.7493
394,True,Optimization terminated successfully.,2427,3629,9.2786,1,0,-2.8240,-2.9812,-3.0769,6.1313,6.2667,6.1456,4.3164,-5.7376
395,True,Optimization terminated successfully.,2358,3538,9.7932,0,1,-0.4567,-0.5932,-0.7685,0.7644,0.8026,0.7379,1.3767,1.9917
396,True,Optimization terminated successfully.,2144,3247,17.1062,0,1,-1.8903,-1.9615,-2.3112,4.1643,4.2923,4.1246,3.3272,-2.9231
397,True,Optimization terminated successfully.,2801,4222,15.9268,1,0,10.2482,10.0448,9.8166,-23.6679,-23.6167,-23.6491,-12.0732,36.5347
398,True,Optimization terminated successfully.,2566,3804,19.3176,0,1,-0.1870,-0.4127,-0.5419,0.1455,0.3216,0.1205,1.1079,2.7621
399,True,Optimization terminated successfully.,2546,3825,15.7912,1,0,-2.5055,-2.6165,-2.8177,5.4639,5.4728,5.4017,3.9340,-4.7156
400,True,Optimization terminated successfully.,3506,5272,19.0094,0,1,-0.5436,-0.7443,-0.9124,0.9384,1.0301,0.9775,1.3779,1.7005
401,True,Optimization terminated successfully.,3543,5269,35.2924,0,1,-0.5973,-0.7554,-0.9937,1.1191,1.2855,1.1484,1.4980,1.4416
402,True,Optimization terminated successfully.,3034,4551,13.8496,0,1,-1.7901,-1.9463,-2.1959,3.8525,3.8622,3.7391,3.0473,-2.3530
403,True,Optimization terminated successfully.,2781,4158,16.4362,0,1,-0.5493,-0.6491,-0.9165,1.0196,1.0946,0.9646,1.5072,1.5999
404,True,Optimization terminated successfully.,2466,3705,11.8949,1,0,3.3758,3.2269,3.0012,-7.8713,-7.7928,-8.0107,-3.3262,14.2336
405,True,Optimization terminated successfully.,2800,4186,22.7221,1,0,1.8217,1.7246,1.5235,-4.5800,-4.4874,-4.6222,-1.6800,9.4961
406,True,Optimization terminated successfully.,2682,4047,15.9798,1,0,-40.5537,-40.7174,-40.8596,92.7896,92.8553,92.7785,52.2851,-128.5319
407,True,Optimization terminated successfully.,2282,3429,4.7148,1,0,3.1394,2.9332,2.7130,-7.2687,-7.1595,-7.2744,-2.9385,13.2771
408,True,Optimization terminated successfully.,2164,3219,3.0895,0,1,0.0569,-0.1598,-0.3166,-0.3104,-0.1762,-0.2867,0.9173,3.3767
409,True,Optimization terminated successfully.,3061,4546,16.0421,1,0,1.6872,1.5505,1.3058,-3.9979,-3.8044,-3.9350,-1.1417,8.5392
410,True,Optimization terminated successfully.,2494,3711,13.7394,0,1,-0.8259,-0.9352,-1.1985,1.7225,1.8084,1.7244,1.9678,0.6456
411,True,Optimization terminated successfully.,2491,3739,38.0993,1,0,2.4994,2.2757,2.1657,-5.8657,-5.8238,-5.8835,-2.1923,11.3291
412,True,Optimization terminated successfully.,2618,3885,7.2796,0,1,-0.0950,-0.1811,-0.4335,-0.1150,-0.0173,-0.1346,0.8923,3.1449
413,True,Optimization terminated successfully.,2277,3410,17.4602,1,0,0.7180,0.6205,0.4526,-1.9773,-1.9533,-2.0609,-0.2187,5.7869
414,True,Optimization terminated successfully.,2727,4083,8.5496,0,1,-1.3100,-1.3819,-1.6222,2.6325,2.6774,2.6547,2.4157,-0.7316
415,True,Optimization terminated successfully.,2779,4147,10.6145,1,0,2.2851,2.1209,1.9950,-5.5048,-5.3845,-5.3884,-1.9626,10.7308
416,True,Optimization terminated successfully.,2686,4012,3.3988,0,1,-1.2680,-1.3913,-1.6861,2.8969,2.9533,2.7894,2.6312,-1.0160
417,True,Optimization terminated successfully.,2522,3803,8.4509,1,0,0.5253,0.3383,0.2278,-1.4268,-1.3338,-1.4247,0.2222,5.0472
418,True,Optimization terminated successfully.,2112,3215,26.5429,0,1,-2.1677,-2.4078,-2.5304,4.7683,4.8512,4.7206,3.5790,-3.7456
419,True,Optimization terminated successfully.,2935,4444,34.2403,1,0,4.4366,4.3641,4.0992,-10.4064,-10.2836,-10.4045,-4.6459,17.7695
420,True,Optimization terminated successfully.,2597,3883,18.2807,0,1,-1.2438,-1.4775,-1.6227,2.7292,2.8507,2.6794,2.5738,-0.9118
421,True,Optimization terminated successfully.,2430,3641,20.7269,0,1,0.1436,-0.0769,-0.1444,-0.5464,-0.3978,-0.5414,0.7127,3.7705
422,True,Optimization terminated successfully.,2623,3909,11.6169,0,1,0.1877,0.1155,-0.1250,-0.8174,-0.6808,-0.7600,0.4779,4.1017
423,True,Optimization terminated successfully.,2561,3844,12.6467,1,0,3.7632,3.6551,3.3773,-8.7826,-8.6649,-8.7987,-3.7396,15.4423
424,True,Optimization terminated successfully.,2630,3942,7.3259,1,0,-2.5248,-2.7300,-2.9182,5.5966,5.6695,5.6117,4.0564,-4.9547
425,True,Optimization terminated successfully.,2512,3805,9.1870,1,0,3.7107,3.5945,3.2891,-8.7068,-8.6279,-8.7506,-3.7577,15.3657
426,True,Optimization terminated successfully.,2715,4027,8.1532,0,1,-1.0046,-1.2544,-1.4811,2.2448,2.3678,2.2918,2.2395,-0.2886
427,True,Optimization terminated successfully.,2648,3954,10.0198,1,0,-17.3182,-17.5026,-17.6236,39.3984,39.5800,39.4246,22.7990,-52.9066
428,True,Optimization terminated successfully.,2373,3555,17.6701,1,0,2.9489,2.7415,2.6307,-6.9710,-6.9214,-7.0193,-2.9697,12.8523
429,True,Optimization terminated successfully.,2228,3364,15.9907,0,1,-0.9211,-0.9684,-1.2038,1.6826,1.8436,1.6309,1.9187,0.5770
430,True,Optimization terminated successfully.,2614,3956,5.1343,1,0,-12.7161,-12.8942,-13.0782,28.9366,29.1121,28.9262,17.0369,-38.0713
431,True,Optimization terminated successfully.,2709,4061,13.6514,1,0,-3.0294,-3.2064,-3.4810,6.6954,6.7836,6.6941,4.7164,-6.5088
432,True,Optimization terminated successfully.,12246,18202,134.1309,1,0,99.5011,99.3474,99.1199,-228.2264,-228.1297,-228.2670,-125.0678,326.5440
433,True,Optimization terminated successfully.,2751,4111,9.5921,0,1,-1.8456,-1.9760,-2.1900,3.9219,4.0983,3.9206,3.1940,-2.6323
434,True,Optimization terminated successfully.,2294,3447,8.9399,1,0,-7.1290,-7.3182,-7.4270,16.1877,16.3266,16.1661,9.9375,-19.9331
435,True,Optimization terminated successfully.,2329,3502,18.7571,1,0,1.4413,1.2467,1.1410,-3.5395,-3.5237,-3.5449,-1.0355,8.0198
436,True,Optimization terminated successfully.,2507,3746,11.9147,1,0,1.7690,1.6497,1.3939,-4.1881,-4.1515,-4.2627,-1.3264,8.9624
437,True,Optimization terminated successfully.,2382,3555,5.3825,0,1,0.4530,0.2806,0.0593,-1.2811,-1.0959,-1.2291,0.3148,4.7012
438,True,Optimization terminated successfully.,2387,3609,19.2460,1,0,1.5427,1.3448,1.2331,-3.6696,-3.6016,-3.6959,-0.9649,8.2489
439,True,Optimization terminated successfully.,2370,3572,16.9065,1,0,3.0268,2.9296,2.6538,-7.1507,-7.0558,-7.1480,-2.8854,13.1250
440,True,Optimization terminated successfully.,2732,4087,14.0546,1,0,1.5655,1.4950,1.2668,-3.9695,-3.9262,-4.0255,-1.3421,8.6862
441,True,Optimization terminated successfully.,2379,3543,10.3770,0,1,-0.9567,-1.0804,-1.2716,1.9558,2.1041,1.9809,2.0764,0.2091
442,True,Optimization terminated successfully.,2572,3874,8.9762,1,0,1.7739,1.4660,1.4261,-4.1303,-3.9389,-4.0712,-1.2354,8.8322
443,True,Optimization terminated successfully.,2800,4165,14.2982,1,0,1.9854,1.7845,1.5958,-4.8236,-4.6935,-4.9007,-1.6781,9.7911
444,True,Optimization terminated successfully.,2210,3319,16.9705,1,0,1.4735,1.3400,1.0889,-3.4924,-3.3529,-3.5486,-0.8897,7.9545
445,True,Optimization terminated successfully.,2619,3946,4.9499,1,0,3.5944,3.4577,3.3120,-8.4914,-8.3703,-8.5710,-3.7423,15.0920
446,True,Optimization terminated successfully.,2428,3638,13.3195,0,1,0.1927,0.0865,-0.0868,-0.6854,-0.4936,-0.6774,0.6974,3.9237
447,True,Optimization terminated successfully.,2454,3676,20.8151,1,0,3.8237,3.6359,3.4236,-8.8162,-8.8137,-8.8560,-3.9064,15.5624
448,True,Optimization terminated successfully.,2487,3739,13.7823,1,0,4.5496,4.3700,4.1997,-10.5277,-10.4277,-10.4921,-4.8078,17.8619
449,True,Optimization terminated successfully.,2587,3903,16.2070,0,1,-1.7865,-1.9461,-2.1493,3.9328,4.0128,3.9541,3.1341,-2.5587
450,True,Optimization terminated successfully.,2506,3752,15.7538,0,1,0.3737,0.2142,0.0385,-1.0187,-0.9988,-1.0302,0.3582,4.4938
451,True,Optimization terminated successfully.,2306,3454,9.8862,0,1,0.0663,-0.1499,-0.2531,-0.2653,-0.1788,-0.3338,0.7930,3.3965
452,True,Optimization terminated successfully.,2534,3774,24.1429,0,1,-0.2641,-0.4087,-0.5894,0.5158,0.5766,0.4274,1.2859,2.3999
453,True,Optimization terminated successfully.,2630,3945,9.2102,1,0,3.4349,3.3185,3.0532,-8.0659,-7.9591,-8.1494,-3.6380,14.4637
454,True,Optimization terminated successfully.,2648,3985,20.3389,0,1,-1.7785,-1.9891,-2.1922,3.8780,4.0275,3.9178,3.1523,-2.6064
455,True,Optimization terminated successfully.,2483,3706,11.1192,1,0,1.1946,1.0256,0.7985,-3.0108,-2.8406,-2.9299,-0.7907,7.1308
456,True,Optimization terminated successfully.,2232,3334,26.4631,1,0,2.2598,2.0903,1.9598,-5.4651,-5.3778,-5.5071,-2.0741,10.7626
457,True,Optimization terminated successfully.,2539,3801,13.4884,1,0,0.7886,0.5077,0.4171,-1.9785,-1.7827,-1.9690,-0.0835,5.6888
458,True,Optimization terminated successfully.,2440,3684,5.1272,1,0,-3.8635,-4.0129,-4.1255,8.5833,8.7207,8.6736,5.7407,-9.1836
459,True,Optimization terminated successfully.,2477,3717,29.7318,1,0,3.4979,3.2931,3.1456,-8.1879,-8.0700,-8.1953,-3.5975,14.6214
460,True,Optimization terminated successfully.,2283,3450,27.4019,0,1,0.3332,0.1978,-0.0390,-0.8660,-0.6625,-0.8868,0.6434,4.2015
461,True,Optimization terminated successfully.,2639,3939,16.3598,1,0,0.8763,0.6526,0.5092,-2.0403,-2.0222,-2.0286,-0.0605,5.9366
462,True,Optimization terminated successfully.,2644,3973,15.5176,1,0,-8.6064,-8.7931,-9.0710,19.5644,19.7091,19.6460,11.9013,-24.7552
463,True,Optimization terminated successfully.,2774,4189,25.3406,1,0,6.6823,6.5769,6.3676,-15.5127,-15.4684,-15.5719,-7.5554,25.0486
464,True,Optimization terminated successfully.,2827,4215,21.5662,0,1,-0.7937,-0.9077,-1.0916,1.3767,1.4769,1.4240,1.7922,0.9260
465,True,Optimization terminated successfully.,2051,3107,12.3247,0,1,0.4446,0.2727,0.1177,-1.2223,-1.0948,-1.1972,0.3678,4.6754
466,True,Optimization terminated successfully.,2842,4251,13.5936,0,1,-0.4900,-0.6359,-0.8294,0.9229,0.9503,0.8339,1.5364,1.7430
467,True,Optimization terminated successfully.,2362,3525,24.3915,1,0,1.8333,1.8373,1.5478,-4.5501,-4.4769,-4.6364,-1.5084,9.4919
468,True,Optimization terminated successfully.,2436,3673,14.7879,1,0,-13.5031,-13.6323,-13.8946,30.8121,30.8784,30.7833,18.0135,-40.6711
469,True,Optimization terminated successfully.,2708,4043,25.6311,1,0,6.0444,5.9759,5.7288,-14.2514,-14.1503,-14.3672,-7.0285,23.1585
470,True,Optimization terminated successfully.,2866,4311,10.8411,1,0,8.1705,8.0566,7.8816,-19.0402,-18.9610,-19.0444,-9.5791,30.0141
471,True,Optimization terminated successfully.,2916,4340,11.1461,0,1,0.0776,-0.0373,-0.2492,-0.5236,-0.3396,-0.5075,0.6843,3.6963
472,True,Optimization terminated successfully.,2004,3005,16.4097,1,0,0.7153,0.6479,0.4331,-1.9796,-1.8214,-1.9398,-0.1460,5.7302
473,True,Optimization terminated successfully.,2851,4243,13.1670,1,0,2.5185,2.3449,2.1628,-5.9187,-5.8421,-5.9633,-2.2274,11.4537
474,True,Optimization terminated successfully.,2461,3672,18.5993,0,1,0.2134,0.0261,-0.2039,-0.5668,-0.5332,-0.6664,0.7162,3.8379
475,True,Optimization terminated successfully.,2289,3410,13.5327,1,0,0.5492,0.4138,0.1600,-1.4216,-1.2730,-1.4316,0.2756,5.0193
476,True,Optimization terminated successfully.,2516,3767,7.7310,0,1,-1.2333,-1.3292,-1.5889,2.6577,2.7531,2.6766,2.5588,-0.7755
477,True,Optimization terminated successfully.,2163,3203,13.9322,0,1,0.2897,0.0578,-0.1499,-0.8325,-0.7579,-0.7458,0.4765,4.0961
478,True,Optimization terminated successfully.,2344,3525,17.7507,1,0,1.5776,1.4621,1.1439,-3.7388,-3.7775,-3.7728,-1.0327,8.4019
479,True,Optimization terminated successfully.,2709,4035,4.7960,1,0,0.5768,0.4880,0.1923,-1.5336,-1.4849,-1.5209,0.0549,5.1903
480,True,Optimization terminated successfully.,2371,3502,8.5139,0,1,0.3460,0.2236,0.0114,-1.1043,-0.9512,-1.0878,0.4234,4.4321
481,True,Optimization terminated successfully.,2126,3204,9.8149,1,0,0.9914,0.8546,0.6489,-2.4758,-2.4852,-2.6367,-0.4601,6.6047
482,True,Optimization terminated successfully.,2309,3460,10.9648,0,1,-0.2435,-0.4359,-0.6196,0.3912,0.4920,0.3353,1.1666,2.4591
483,True,Optimization terminated successfully.,2483,3718,15.9785,0,1,-0.8178,-0.9942,-1.1191,1.5797,1.7631,1.6260,1.9678,0.6845
484,True,Optimization terminated successfully.,2870,4285,9.6980,0,1,-0.3629,-0.4713,-0.7443,0.6744,0.8117,0.6825,1.5682,2.0214
485,True,Optimization terminated successfully.,2324,3501,21.7882,1,0,1.6180,1.4310,1.2652,-3.9147,-3.8379,-3.9760,-1.3301,8.5379
486,True,Optimization terminated successfully.,2972,4426,16.2031,1,0,6.6339,6.4661,6.2742,-15.4236,-15.2278,-15.3818,-7.3136,24.7781
487,True,Optimization terminated successfully.,2646,3966,16.8697,1,0,1.4108,1.2994,1.0672,-3.4749,-3.3648,-3.5536,-0.9830,7.9487
488,True,Optimization terminated successfully.,2566,3904,3.7329,1,0,-23.2526,-23.3859,-23.6334,53.0616,53.1947,53.1892,30.3408,-72.2350
489,True,Optimization terminated successfully.,2883,4275,5.7569,1,0,0.7363,0.5961,0.3033,-1.8705,-1.7311,-1.9427,-0.0422,5.6375
490,True,Optimization terminated successfully.,2612,3914,20.5854,1,0,-4.3643,-4.4486,-4.6928,9.6440,9.8491,9.6895,6.3359,-10.7634
491,True,Optimization terminated successfully.,2370,3582,19.4232,0,1,-1.3127,-1.4513,-1.7063,2.8293,2.8798,2.7640,2.4886,-1.0018
492,True,Optimization terminated successfully.,2766,4146,21.2897,1,0,1.8752,1.6730,1.4809,-4.3921,-4.3454,-4.4395,-1.4941,9.2587
493,True,Optimization terminated successfully.,2612,3918,5.7092,1,0,-3.7378,-3.8930,-4.1130,8.4346,8.5636,8.3468,5.7274,-8.9328
494,True,Optimization terminated successfully.,2138,3226,23.4576,0,1,0.2814,0.0904,-0.1199,-0.7791,-0.7009,-0.8472,0.5361,4.0837
495,True,Optimization terminated successfully.,2072,3153,30.7353,1,0,1.3315,1.1450,0.9802,-3.2307,-3.1436,-3.2452,-0.7620,7.5614
496,True,Optimization terminated successfully.,2643,3956,7.5349,0,1,0.3072,0.1196,-0.0646,-0.7369,-0.6876,-0.7577,0.6633,4.0812
497,True,Optimization terminated successfully.,2452,3666,5.7970,0,1,-1.4627,-1.6245,-1.7386,3.0625,3.0919,3.0654,2.6421,-1.2967
498,True,Optimization terminated successfully.,2800,4218,14.4094,1,0,1.6354,1.4477,1.2395,-3.8576,-3.8726,-3.8740,-1.1807,8.5469
499,True,Optimization terminated successfully.,2335,3516,24.5452,1,0,1.1803,1.0107,0.8008,-2.7598,-2.6209,-2.8119,-0.5541,6.9027
500,True,Optimization terminated successfully.,2238,3373,8.2963,1,0,0.9439,0.8146,0.6741,-2.5582,-2.4936,-2.5016,-0.5680,6.5221
501,True,Optimization terminated successfully.,2367,3573,12.8423,1,0,2.0281,1.9041,1.7908,-4.9552,-4.8500,-5.0305,-1.7445,10.0046
502,True,Optimization terminated successfully.,2313,3472,19.9897,1,0,0.5894,0.4283,0.2829,-1.4904,-1.4542,-1.4703,0.1494,5.1221
503,True,Optimization terminated successfully.,2034,3076,26.3633,1,0,3.7550,3.5596,3.4369,-8.7976,-8.7889,-8.8297,-3.8411,15.4891
504,True,Optimization terminated successfully.,2652,3976,4.5720,1,0,-7.5388,-7.5639,-7.7541,16.8842,16.9230,16.8308,10.2054,-20.9263
505,True,Optimization terminated successfully.,3164,4714,13.6741,0,1,-0.7254,-0.9231,-1.0884,1.4693,1.5186,1.4020,1.7518,0.9822
506,True,Optimization terminated successfully.,2782,4182,5.6943,1,0,-8.4034,-8.6012,-8.6962,19.0819,19.1269,19.0612,11.5480,-24.0318
507,True,Optimization terminated successfully.,2479,3692,17.4625,1,0,0.9558,0.7967,0.5774,-2.5284,-2.3442,-2.4336,-0.4170,6.4667
508,True,Optimization terminated successfully.,2425,3596,19.3600,0,1,0.3756,0.2254,0.0282,-1.0787,-1.0563,-1.0932,0.3324,4.5521
509,True,Optimization terminated successfully.,3016,4467,6.3683,0,1,-1.7122,-1.8639,-2.0365,3.6398,3.6660,3.5756,2.8405,-2.1124
510,True,Optimization terminated successfully.,2792,4172,12.6238,1,0,3.1938,3.1384,2.8391,-7.5979,-7.4575,-7.5759,-3.1659,13.7851
511,True,Optimization terminated successfully.,2438,3667,16.0269,1,0,2.7494,2.6551,2.4013,-6.5070,-6.4983,-6.5203,-2.6050,12.2928
512,True,Optimization terminated successfully.,2257,3411,21.3921,1,0,3.1338,2.9214,2.7643,-7.4163,-7.1969,-7.3761,-3.1729,13.4089
513,True,Optimization terminated successfully.,2171,3281,18.4452,0,1,-1.9372,-2.0152,-2.2487,4.2482,4.3093,4.1896,3.3074,-2.9467
514,True,Optimization terminated successfully.,2242,3375,5.1545,0,1,-0.2659,-0.3983,-0.6063,0.3087,0.4563,0.2826,1.1442,2.5346
515,True,Optimization terminated successfully.,2505,3748,8.7349,1,0,2.0350,1.8459,1.6983,-4.7361,-4.6584,-4.7719,-1.4495,9.8145
516,True,Optimization terminated successfully.,2303,3454,2.6758,1,0,-2.3111,-2.5444,-2.6528,5.1642,5.2554,5.1118,3.8865,-4.2847
517,True,Optimization terminated successfully.,2922,4341,4.6849,1,0,-7.0306,-7.2927,-7.4454,16.0556,16.1488,16.0397,9.8294,-19.7473
518,True,Optimization terminated successfully.,2298,3440,8.6837,0,1,-0.8852,-0.9776,-1.1529,1.8021,1.9455,1.7844,2.0797,0.4074
519,True,Optimization terminated successfully.,2266,3364,11.3587,0,1,-0.0686,-0.2107,-0.3992,0.0514,0.1325,-0.0052,0.9871,2.9543
520,True,Optimization terminated successfully.,2748,4161,7.6550,1,0,-7.6193,-7.7029,-7.9349,17.1825,17.3214,17.1899,10.4977,-21.3848
521,True,Optimization terminated successfully.,2526,3751,9.3063,0,1,0.4769,0.3072,0.1170,-1.2965,-1.1648,-1.2806,0.3132,4.8033
522,True,Optimization terminated successfully.,2572,3811,20.7530,1,0,1.8237,1.6618,1.4856,-4.4474,-4.3549,-4.4223,-1.5353,9.3223
523,True,Optimization terminated successfully.,2604,3870,13.5245,0,1,0.1247,-0.0475,-0.2579,-0.4183,-0.2834,-0.3361,0.8526,3.5455
524,True,Optimization terminated successfully.,2481,3730,17.4230,1,0,0.9457,0.8118,0.5659,-2.1481,-2.0977,-2.2170,-0.1089,6.1465
525,True,Optimization terminated successfully.,2319,3530,24.6391,1,0,12.2354,12.0964,11.9150,-28.2835,-28.1469,-28.3845,-14.7657,43.0597
526,True,Optimization terminated successfully.,2595,3895,6.9418,1,0,-4.9876,-5.1159,-5.3337,11.2808,11.3630,11.3943,7.1267,-12.9617
527,True,Optimization terminated successfully.,2845,4213,10.4630,0,1,-1.8330,-1.9992,-2.2379,4.0413,4.1366,4.1011,3.2435,-2.7203
528,True,Optimization terminated successfully.,2238,3393,7.5613,1,0,6.8112,6.6351,6.4776,-15.8173,-15.6742,-15.8365,-7.7558,25.4146
529,True,Optimization terminated successfully.,2867,4248,19.6227,1,0,2.0078,1.8931,1.7189,-4.9490,-4.8742,-4.9774,-1.8854,10.0332
530,True,Optimization terminated successfully.,2539,3869,13.2514,1,0,0.6792,0.4563,0.3015,-1.6838,-1.5480,-1.6152,0.0466,5.3141
531,True,Optimization terminated successfully.,2492,3749,28.7020,1,0,3.2555,3.1216,2.8469,-7.5810,-7.4559,-7.5561,-3.2665,13.7734
532,True,Optimization terminated successfully.,2158,3255,25.8009,0,1,0.4474,0.2370,0.0819,-1.2175,-1.0791,-1.2226,0.3593,4.6767
533,True,Optimization terminated successfully.,2857,4243,9.7377,0,1,-1.8770,-2.0389,-2.2050,4.0896,4.1925,4.0434,3.2429,-2.7877
534,True,Optimization terminated successfully.,2637,3981,25.9811,1,0,0.8048,0.5659,0.3702,-2.0030,-1.7817,-1.9503,-0.1571,5.8110
535,True,Optimization terminated successfully.,2029,3059,15.0879,1,0,0.6286,0.5010,0.2762,-1.6414,-1.5776,-1.6530,-0.0105,5.3303
536,True,Optimization terminated successfully.,2246,3411,20.4290,0,1,0.0040,-0.1728,-0.3044,-0.3475,-0.2745,-0.4039,0.7479,3.4512
537,True,Optimization terminated successfully.,2546,3825,10.0984,1,0,1.7024,1.5994,1.3615,-4.2438,-4.0656,-4.2417,-1.3062,8.9505
538,True,Optimization terminated successfully.,2544,3817,14.9361,0,1,0.0079,-0.1623,-0.3643,-0.1841,-0.0825,-0.1551,0.7861,3.2124
539,True,Optimization terminated successfully.,2811,4185,9.0693,1,0,0.6482,0.5262,0.2730,-1.6726,-1.6371,-1.7703,0.0113,5.4636
540,True,Optimization terminated successfully.,2612,3906,12.3182,1,0,1.4202,1.2490,1.0937,-3.4902,-3.3394,-3.4985,-0.8696,7.9503
541,True,Optimization terminated successfully.,2919,4357,12.6989,1,0,2.0352,1.9250,1.6842,-4.9001,-4.8216,-4.8954,-1.7083,9.9480
542,True,Optimization terminated successfully.,2579,3845,16.0667,0,1,0.3055,0.1446,-0.0966,-0.9285,-0.8446,-0.9381,0.3834,4.3061
543,True,Optimization terminated successfully.,2505,3733,18.4609,1,0,1.4132,1.3222,1.0535,-3.4375,-3.3154,-3.5067,-0.9190,7.8200
544,True,Optimization terminated successfully.,2530,3825,7.0917,1,0,1.2721,1.0929,0.9013,-3.0686,-2.8607,-3.0829,-0.5927,7.3060
545,True,Optimization terminated successfully.,2549,3791,7.7368,1,0,0.5894,0.4557,0.1979,-1.5065,-1.3299,-1.5276,0.2221,5.1061
546,True,Optimization terminated successfully.,2378,3543,8.0763,0,1,-2.1071,-2.3201,-2.5499,4.7659,4.8775,4.8547,3.6822,-3.7919
547,True,Optimization terminated successfully.,2942,4464,26.8110,1,0,2.4061,2.2765,2.0831,-5.8296,-5.7347,-5.8813,-2.2890,11.3152
548,True,Optimization terminated successfully.,2229,3345,7.5123,1,0,0.6698,0.5229,0.2568,-1.6942,-1.5631,-1.7177,0.1355,5.3495
549,True,Optimization terminated successfully.,2746,4134,11.1021,0,1,-0.9351,-1.0893,-1.3191,1.9234,1.9822,1.8898,2.1292,0.3112
550,True,Optimization terminated successfully.,2908,4314,16.0181,0,1,0.4501,0.3568,0.1593,-1.3188,-1.2042,-1.3541,0.2544,4.8648
551,True,Optimization terminated successfully.,2439,3664,25.0955,1,0,3.2591,3.1140,2.8835,-7.6347,-7.6055,-7.6923,-3.1687,13.8454
552,True,Optimization terminated successfully.,2340,3468,24.4869,1,0,1.0767,0.8763,0.7248,-2.6485,-2.5969,-2.6838,-0.5235,6.7460
553,True,Optimization terminated successfully.,2134,3225,9.6134,1,0,3.0664,2.9705,2.7624,-7.3371,-7.2239,-7.3639,-3.0848,13.3620
554,True,Optimization terminated successfully.,2549,3798,11.1651,1,0,-3.5432,-3.7038,-3.9155,7.8363,7.9753,7.8574,5.2658,-8.1574
555,True,Optimization terminated successfully.,2202,3292,8.2810,0,1,-1.0427,-1.1903,-1.3122,2.1138,2.2177,2.1014,2.0837,-0.0163
556,True,Optimization terminated successfully.,2641,3955,17.2860,1,0,3.0371,2.7747,2.6528,-7.0198,-6.8583,-7.0004,-2.8605,12.8819
557,True,Optimization terminated successfully.,2582,3876,17.3019,1,0,5.1834,5.1305,4.9340,-12.3314,-12.2356,-12.3439,-5.9621,20.4157
558,True,Optimization terminated successfully.,2483,3707,20.7275,1,0,1.1458,1.0241,0.8212,-2.7384,-2.6745,-2.7923,-0.5429,6.8896
559,True,Optimization terminated successfully.,2353,3585,22.4000,1,0,-16.5499,-16.7075,-16.8396,37.7802,37.8831,37.8432,21.8916,-50.6261
560,True,Optimization terminated successfully.,2611,3952,32.7730,1,0,-9.0756,-9.2001,-9.4381,20.5661,20.7370,20.5250,12.4520,-26.1639
561,True,Optimization terminated successfully.,2498,3729,22.5638,0,1,-0.2779,-0.3575,-0.6246,0.3195,0.4870,0.3161,1.0805,2.4605
562,True,Optimization terminated successfully.,2505,3796,4.8457,1,0,-4.1364,-4.3814,-4.6460,9.4215,9.6569,9.4905,6.3011,-10.4355
