fit_type,fit_k_sigma,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,nit,nfev,exact_inversion_flag
scipy_nelder_mead,1.50,E,-6.6048,3.0,1.5,4.5,W,5.808074,1.257330,29.035456,1.507708,3.775807,2.032267,1.616336,-0.724130,1.310300,-1.274098,1.285008,12.451437,4,4,0,True,Optimization terminated successfully.,221,375,0
scipy_nelder_mead,1.50,E,-6.6048,3.0,1.5,4.5,Em,-15.548017,0.314979,6.774474,0.400442,-14.870197,-0.677820,-2.151952,-0.724130,1.310300,-1.274098,1.285008,12.451437,4,4,0,True,Optimization terminated successfully.,221,375,0
scipy_nelder_mead,1.50,E,-6.6048,3.0,1.5,4.5,Pmz,15.054545,0.339775,8.933222,0.312419,15.829946,-0.775401,-2.282100,-0.724130,1.310300,-1.274098,1.285008,12.451437,4,4,0,True,Optimization terminated successfully.,221,375,0
scipy_nelder_mead,1.50,E,-6.6048,3.0,1.5,4.5,Pmy,8.885093,0.332945,9.585737,0.296276,8.886513,-0.001420,-0.004265,-0.724130,1.310300,-1.274098,1.285008,12.451437,4,4,0,True,Optimization terminated successfully.,221,375,0
scipy_nelder_mead,1.50,D,-6.384,6.0,4.5,7.5,W,10.475310,1.424833,27.010919,1.577131,9.662680,0.812630,0.570333,-0.862435,1.079132,-1.593382,1.510984,1.651794,4,4,0,True,Optimization terminated successfully.,224,390,0
scipy_nelder_mead,1.50,D,-6.384,6.0,4.5,7.5,Em,-14.751251,0.413726,7.725741,0.516605,-14.387936,-0.363315,-0.878155,-0.862435,1.079132,-1.593382,1.510984,1.651794,4,4,0,True,Optimization terminated successfully.,224,390,0
scipy_nelder_mead,1.50,D,-6.384,6.0,4.5,7.5,Pmz,16.207093,0.356858,8.775110,0.367319,16.473032,-0.265939,-0.745223,-0.862435,1.079132,-1.593382,1.510984,1.651794,4,4,0,True,Optimization terminated successfully.,224,390,0
scipy_nelder_mead,1.50,D,-6.384,6.0,4.5,7.5,Pmy,8.671464,0.390341,9.688819,0.401820,8.671897,-0.000433,-0.001110,-0.862435,1.079132,-1.593382,1.510984,1.651794,4,4,0,True,Optimization terminated successfully.,224,390,0
scipy_nelder_mead,2.00,C,-6.72,1.0,-0.5,2.5,W,2.557277,1.094107,28.873636,1.036490,1.205739,1.351538,1.235289,-0.306763,0.591784,-1.487351,2.088967,9.759142,4,4,0,True,Optimization terminated successfully.,207,352,0
scipy_nelder_mead,2.00,C,-6.72,1.0,-0.5,2.5,Em,-14.294357,0.271950,6.796372,0.276912,-13.851683,-0.442674,-1.627778,-0.306763,0.591784,-1.487351,2.088967,9.759142,4,4,0,True,Optimization terminated successfully.,207,352,0
scipy_nelder_mead,2.00,C,-6.72,1.0,-0.5,2.5,Pmz,13.361736,0.401260,9.281076,0.332821,14.309894,-0.948158,-2.362952,-0.306763,0.591784,-1.487351,2.088967,9.759142,4,4,0,True,Optimization terminated successfully.,207,352,0
scipy_nelder_mead,2.00,C,-6.72,1.0,-0.5,2.5,Pmy,8.496041,0.332986,10.234650,0.292744,8.496170,-0.000129,-0.000387,-0.306763,0.591784,-1.487351,2.088967,9.759142,4,4,0,True,Optimization terminated successfully.,207,352,0
scipy_nelder_mead,2.00,E,-6.6048,3.0,1.5,4.5,W,5.161966,1.031033,28.824679,0.955779,4.101186,1.060780,1.028851,-0.564981,0.914659,-1.507511,1.788787,6.714505,4,4,0,True,Optimization terminated successfully.,230,393,0
scipy_nelder_mead,2.00,E,-6.6048,3.0,1.5,4.5,Em,-15.034481,0.287492,6.984338,0.274461,-14.598323,-0.436158,-1.517114,-0.564981,0.914659,-1.507511,1.788787,6.714505,4,4,0,True,Optimization terminated successfully.,230,393,0
scipy_nelder_mead,2.00,E,-6.6048,3.0,1.5,4.5,Pmz,14.975752,0.352338,8.840918,0.280320,15.621053,-0.645301,-1.831484,-0.564981,0.914659,-1.507511,1.788787,6.714505,4,4,0,True,Optimization terminated successfully.,230,393,0
scipy_nelder_mead,2.00,E,-6.6048,3.0,1.5,4.5,Pmy,8.894231,0.318096,9.954763,0.266540,8.893804,0.000427,0.001343,-0.564981,0.914659,-1.507511,1.788787,6.714505,4,4,0,True,Optimization terminated successfully.,230,393,0
scipy_nelder_mead,2.00,D,-6.384,6.0,4.5,7.5,W,11.905280,1.091195,27.761362,1.126965,11.550734,0.354546,0.324915,-0.817240,0.799429,-1.791707,1.807831,0.788648,4,4,0,True,Optimization terminated successfully.,222,392,0
scipy_nelder_mead,2.00,D,-6.384,6.0,4.5,7.5,Em,-14.151015,0.386584,8.456462,0.400337,-13.915210,-0.235805,-0.609970,-0.817240,0.799429,-1.791707,1.807831,0.788648,4,4,0,True,Optimization terminated successfully.,222,392,0
scipy_nelder_mead,2.00,D,-6.384,6.0,4.5,7.5,Pmz,16.158137,0.359273,8.317206,0.271510,16.358499,-0.200362,-0.557686,-0.817240,0.799429,-1.791707,1.807831,0.788648,4,4,0,True,Optimization terminated successfully.,222,392,0
scipy_nelder_mead,2.00,D,-6.384,6.0,4.5,7.5,Pmy,8.517854,0.328419,9.555320,0.263229,8.517524,0.000330,0.001004,-0.817240,0.799429,-1.791707,1.807831,0.788648,4,4,0,True,Optimization terminated successfully.,222,392,0
