fit_type,fit_k_sigma,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull,dtheta_e,dpe,dtheta_p,dpp,chi2,n_obs,n_params,ndf,success,message,dtheta_e_err,dpe_err,dtheta_p_err,dpp_err,minuit_status,cov_status,edm,exact_inversion_flag
tminuit_migrad,1.500,D,-6.384,6.000,4.500,7.500,Em,-14.751,0.414,7.726,0.517,-14.751,-0.000,-0.000,-27.675,62.550,32.377,-85.615,0.000,4,4,0,True,"ok",0.265,0.599,0.345,0.848,0,2,0.000,1
tminuit_migrad,1.500,D,-6.384,6.000,4.500,7.500,Pmz,16.207,0.357,8.775,0.367,16.207,-0.000,-0.000,-27.675,62.550,32.377,-85.615,0.000,4,4,0,True,"ok",0.265,0.599,0.345,0.848,0,2,0.000,1
tminuit_migrad,1.500,D,-6.384,6.000,4.500,7.500,Pmy,8.671,0.390,9.689,0.402,8.671,0.000,0.000,-27.675,62.550,32.377,-85.615,0.000,4,4,0,True,"ok",0.265,0.599,0.345,0.848,0,2,0.000,1
tminuit_simplex,1.500,E,-6.605,3.000,1.500,4.500,W,5.808,1.257,29.035,1.508,5.808,-0.000,-0.000,-63.576,145.392,78.344,-202.967,0.000,4,4,0,True,"ok",0.224,0.505,0.291,0.716,0,2,0.000,1
tminuit_simplex,1.500,E,-6.605,3.000,1.500,4.500,Em,-15.548,0.315,6.774,0.400,-15.548,0.000,0.000,-63.576,145.392,78.344,-202.967,0.000,4,4,0,True,"ok",0.224,0.505,0.291,0.716,0,2,0.000,1
tminuit_simplex,1.500,E,-6.605,3.000,1.500,4.500,Pmz,15.055,0.340,8.933,0.312,15.054,0.000,0.000,-63.576,145.392,78.344,-202.967,0.000,4,4,0,True,"ok",0.224,0.505,0.291,0.716,0,2,0.000,1
tminuit_simplex,1.500,E,-6.605,3.000,1.500,4.500,Pmy,8.885,0.333,9.586,0.296,8.885,0.000,0.000,-63.576,145.392,78.344,-202.967,0.000,4,4,0,True,"ok",0.224,0.505,0.291,0.716,0,2,0.000,1
tminuit_migrad,1.500,E,-6.605,3.000,1.500,4.500,W,5.808,1.257,29.035,1.508,5.808,0.000,0.000,-63.571,145.382,78.339,-202.952,0.000,4,4,0,True,"ok",0.224,0.505,0.291,0.716,0,2,0.000,1
tminuit_migrad,1.500,E,-6.605,3.000,1.500,4.500,Em,-15.548,0.315,6.774,0.400,-15.548,-0.000,-0.000,-63.571,145.382,78.339,-202.952,0.000,4,4,0,True,"ok",0.224,0.505,0.291,0.716,0,2,0.000,1
tminuit_migrad,1.500,E,-6.605,3.000,1.500,4.500,Pmz,15.055,0.340,8.933,0.312,15.055,-0.000,-0.000,-63.571,145.382,78.339,-202.952,0.000,4,4,0,True,"ok",0.224,0.505,0.291,0.716,0,2,0.000,1
tminuit_migrad,1.500,E,-6.605,3.000,1.500,4.500,Pmy,8.885,0.333,9.586,0.296,8.885,-0.000,-0.000,-63.571,145.382,78.339,-202.952,0.000,4,4,0,True,"ok",0.224,0.505,0.291,0.716,0,2,0.000,1
tminuit_simplex,2.000,C,-6.720,1.000,-0.500,2.500,W,2.557,1.094,28.874,1.036,1.222,1.335,1.220,-1.004,2.190,-0.604,-0.178,9.518,4,4,0,True,"ok",0.212,0.478,0.276,0.678,0,2,0.003,0
tminuit_simplex,2.000,C,-6.720,1.000,-0.500,2.500,Em,-14.294,0.272,6.796,0.277,-13.857,-0.437,-1.608,-1.004,2.190,-0.604,-0.178,9.518,4,4,0,True,"ok",0.212,0.478,0.276,0.678,0,2,0.003,0
tminuit_simplex,2.000,C,-6.720,1.000,-0.500,2.500,Pmz,13.362,0.401,9.281,0.333,14.298,-0.936,-2.333,-1.004,2.190,-0.604,-0.178,9.518,4,4,0,True,"ok",0.212,0.478,0.276,0.678,0,2,0.003,0
tminuit_simplex,2.000,C,-6.720,1.000,-0.500,2.500,Pmy,8.496,0.333,10.235,0.293,8.498,-0.002,-0.006,-1.004,2.190,-0.604,-0.178,9.518,4,4,0,True,"ok",0.212,0.478,0.276,0.678,0,2,0.003,0
tminuit_migrad,2.000,C,-6.720,1.000,-0.500,2.500,W,2.557,1.094,28.874,1.036,2.557,0.000,0.000,-56.457,129.356,69.685,-180.482,0.000,4,4,0,True,"ok",0.212,0.478,0.276,0.678,0,2,0.000,1
