dataset,method,init,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.808074,1.257330,29.035456,1.507708,3.870118,1.937956,1.541327
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.548017,0.314979,6.774474,0.400442,-14.853810,-0.694207,-2.203980
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,15.054545,0.339775,8.933222,0.312419,15.832070,-0.777525,-2.288353
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.885093,0.332945,9.585737,0.296276,8.923497,-0.038404,-0.115348
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,10.475310,1.424833,27.010919,1.577131,8.078006,2.397304,1.682516
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.751251,0.413726,7.725741,0.516605,-14.680303,-0.070948,-0.171486
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.207093,0.356858,8.775110,0.367319,16.464054,-0.256961,-0.720064
radwan_rangescan_k1p5,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.671464,0.390341,9.688819,0.401820,8.043189,0.628275,1.609555
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.871331,1.263402,27.792263,1.382291,3.520269,-0.648938,-0.513643
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.757206,0.321204,6.501951,0.340162,-14.432725,-0.324481,-1.010201
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.424871,0.394100,9.112102,0.324370,13.679255,-0.254384,-0.645481
