fit_k_sigma,setting,run,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_label,dp_lo,dp_hi,bin_center,var,norm_win_lo_MeV,norm_win_hi_MeV,intD_win,intS_win,sim_scale,entriesD,entriesS,entriesD_fit_range,entriesS_fit_range,seed_muD_MeV,seed_sigD_MeV,seed_loD_MeV,seed_hiD_MeV,fit_loD_MeV,fit_hiD_MeV,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,seed_muS_MeV,seed_sigS_MeV,seed_loS_MeV,seed_hiS_MeV,fit_loS_MeV,fit_hiS_MeV,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
0.750000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,W,930.550664,973.906240,646.000000,0.136680,4726.373594,1244.000000,12750.000000,646.000000,597.216034,952.228452,28.903717,873.000000,1020.000000,930.550664,973.906240,952.302365,4.093413,32.418061,11.793531,0,0.477257,3,949.926204,22.479127,873.000000,1020.000000,933.066859,966.785549,946.012284,0.908289,18.667309,1.717938,0,0.013167,1,6.290081,4.192973,1
1.000000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,W,923.324735,981.132170,778.000000,0.158007,4923.819407,1244.000000,12750.000000,778.000000,743.822167,952.228452,28.903717,873.000000,1020.000000,923.324735,981.132170,951.612783,1.924949,27.499091,3.584051,0,0.846404,5,949.926204,22.479127,873.000000,1020.000000,927.447077,972.405331,946.993484,0.388261,18.829418,0.636853,0,4.725915,3,4.619299,1.963715,1
1.500000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,W,908.872876,995.584028,950.000000,0.178957,5308.541230,1244.000000,12750.000000,950.000000,885.174834,952.228452,28.903717,873.000000,1020.000000,908.872876,995.584028,953.152924,1.233255,29.035456,1.507708,0,1.760300,10,949.926204,22.479127,873.000000,1020.000000,916.207514,983.644894,947.344850,0.244867,20.416001,0.281440,0,21.145432,7,5.808074,1.257330,1
2.000000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,W,894.421018,1010.035887,1029.000000,0.186509,5517.153682,1244.000000,12750.000000,1029.000000,1001.037897,952.228452,28.903717,873.000000,1020.000000,894.421018,1010.035887,953.051977,1.007690,28.824679,0.955779,0,2.341016,14,949.926204,22.479127,873.000000,1020.000000,904.967950,994.884458,947.890011,0.218154,20.589130,0.217069,0,49.912987,9,5.161966,1.031033,1
0.500000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Em,-12.466382,-4.466382,480.000000,0.001046,459007.338240,1244.000000,12750.000000,480.000000,50841.249562,-8.466382,7.550696,-32.000000,10.000000,-12.466382,-4.466382,-10.878718,2.246435,5.553819,2.151295,0,0.001103,1,7.183623,5.785858,-16.000000,26.000000,3.183623,11.183623,5.823478,0.269398,4.255775,0.262804,0,0.103840,1,-16.702196,2.262530,1
0.750000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Em,-14.129404,-2.803360,615.000000,0.003807,161525.313928,1244.000000,12750.000000,615.000000,17891.105679,-8.466382,7.550696,-32.000000,10.000000,-14.129404,-2.803360,-9.454166,0.437662,5.124020,0.636215,0,4.348789,3,7.183623,5.785858,-16.000000,26.000000,2.844229,11.523017,5.623640,0.123571,4.430591,0.160144,0,0.662421,2,-15.077805,0.454772,1
1.000000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Em,-16.017078,-0.915686,714.000000,0.011563,61747.217387,1244.000000,12750.000000,714.000000,8305.185960,-8.466382,7.550696,-32.000000,10.000000,-16.017078,-0.915686,-9.766974,0.444921,6.288532,0.621606,0,7.524698,5,7.183623,5.785858,-16.000000,26.000000,1.397764,12.969481,5.623640,0.123571,4.430591,0.160144,0,0.662421,2,-15.390614,0.461763,1
1.500000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Em,-19.792426,2.859662,825.000000,0.050419,16363.032050,1244.000000,12750.000000,825.000000,2416.705304,-8.466382,7.550696,-32.000000,10.000000,-19.792426,2.859662,-9.620246,0.310106,6.774474,0.400442,0,10.840167,8,7.183623,5.785858,-16.000000,26.000000,-1.495165,15.862411,5.927771,0.055191,4.621044,0.058271,0,56.493421,6,-15.548017,0.314979,1
2.000000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Em,-23.567774,6.635010,905.000000,0.103808,8717.989227,1244.000000,12750.000000,905.000000,1375.962653,-8.466382,7.550696,-32.000000,10.000000,-23.567774,6.635010,-8.896597,0.282971,6.984338,0.274461,0,31.219548,12,7.183623,5.785858,-16.000000,26.000000,-4.388094,18.755340,6.137885,0.050786,4.618629,0.046777,0,171.863645,8,-15.034481,0.287492,1
0.500000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmz,-6.309627,17.690373,857.000000,0.144699,5922.635158,1244.000000,12750.000000,857.000000,988.987137,5.690373,15.576865,-48.000000,78.000000,-6.309627,17.690373,13.457431,1.684439,10.839091,1.341885,0,1.327401,1,-10.170495,13.185863,-66.000000,60.000000,-22.170495,1.829505,-1.264528,0.572934,8.580111,0.301374,0,118.824396,1,14.721959,1.779210,1
0.750000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmz,-6.309627,17.690373,857.000000,0.144699,5922.635158,1244.000000,12750.000000,857.000000,988.987137,5.690373,15.576865,-48.000000,78.000000,-6.309627,17.690373,13.457431,1.684439,10.839091,1.341885,0,1.327401,1,-10.170495,13.185863,-66.000000,60.000000,-22.170495,1.829505,-1.264528,0.572934,8.580111,0.301374,0,118.824396,1,14.721959,1.779210,1
1.000000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmz,-9.886492,21.267238,972.000000,0.144699,6717.387833,1244.000000,12750.000000,972.000000,1121.698363,5.690373,15.576865,-48.000000,78.000000,-9.886492,21.267238,10.187367,0.367357,9.357576,0.425636,0,22.909813,3,-10.170495,13.185863,-66.000000,60.000000,-23.356358,3.015368,-5.534747,0.060476,5.790946,0.066146,0,351.099982,2,15.722114,0.372301,1
1.500000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmz,-17.674925,29.055671,1033.000000,0.161232,6406.915601,1244.000000,12750.000000,1033.000000,1112.509015,5.690373,15.576865,-48.000000,78.000000,-17.674925,29.055671,9.425234,0.334476,8.933222,0.312419,0,57.476203,5,-10.170495,13.185863,-66.000000,60.000000,-29.949290,9.608299,-5.629311,0.059772,5.534499,0.046467,0,732.191446,4,15.054545,0.339775,1
2.000000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmz,-25.463358,36.844104,1086.000000,0.173659,6253.647284,1244.000000,12750.000000,1086.000000,1140.244835,5.690373,15.576865,-48.000000,78.000000,-25.463358,36.844104,9.349319,0.347220,8.840918,0.280320,0,84.466756,7,-10.170495,13.185863,-66.000000,60.000000,-36.542221,16.201231,-5.626433,0.059831,5.492467,0.042881,0,1042.891723,6,14.975752,0.352338,1
0.500000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmy,-3.981636,20.018364,984.000000,0.147388,6676.268302,1244.000000,12750.000000,984.000000,1246.053556,8.018364,13.990863,-54.000000,72.000000,-3.981636,20.018364,7.270540,0.485275,9.031174,0.708300,0,0.486606,1,-1.026474,7.639936,-66.000000,60.000000,-13.026474,10.973526,-0.938049,0.094512,7.563556,0.118682,0,0.000050,1,8.208589,0.494393,1
0.750000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmy,-3.981636,20.018364,984.000000,0.147388,6676.268302,1244.000000,12750.000000,984.000000,1246.053556,8.018364,13.990863,-54.000000,72.000000,-3.981636,20.018364,7.270540,0.485275,9.031174,0.708300,0,0.486606,1,-1.026474,7.639936,-66.000000,60.000000,-13.026474,10.973526,-0.938049,0.094512,7.563556,0.118682,0,0.000050,1,8.208589,0.494393,1
1.000000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmy,-5.972499,22.009227,984.000000,0.147388,6676.268302,1244.000000,12750.000000,984.000000,1246.053556,8.018364,13.990863,-54.000000,72.000000,-5.972499,22.009227,7.546997,0.406711,9.540934,0.505276,0,1.181924,2,-1.026474,7.639936,-66.000000,60.000000,-13.026474,10.973526,-0.938049,0.094512,7.563556,0.118682,0,0.000050,1,8.485046,0.417548,1
1.500000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmy,-12.967930,29.004658,1106.000000,0.193751,5708.358019,1244.000000,12750.000000,1106.000000,1065.403529,8.018364,13.990863,-54.000000,72.000000,-12.967930,29.004658,7.947044,0.319249,9.585737,0.296276,0,4.178736,4,-1.026474,7.639936,-66.000000,60.000000,-13.026474,10.973526,-0.938049,0.094512,7.563556,0.118682,0,0.000050,1,8.885093,0.332945,1
2.000000,E,25478,10.671600,4.720000,26.395000,-6.604800,18.560000,b1,1.500000,4.500000,3.000000,Pmy,-19.963361,36.000089,1148.000000,0.195864,5861.214965,1244.000000,12750.000000,1148.000000,1129.373324,8.018364,13.990863,-54.000000,72.000000,-19.963361,36.000089,7.967281,0.307445,9.954763,0.266540,0,8.645762,6,-1.026474,7.639936,-66.000000,60.000000,-16.306345,14.253397,-0.926950,0.081624,7.542374,0.078852,0,0.057032,2,8.894231,0.318096,1
0.500000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,W,948.137356,977.161152,431.000000,0.093932,4588.407074,1075.000000,12789.000000,431.000000,511.245699,962.649254,29.023796,894.000000,1041.000000,948.137356,977.161152,963.269194,0.840753,15.754386,4.152023,0,0.593095,1,950.400371,21.904966,873.000000,1020.000000,936.400371,964.400371,945.839627,0.794381,17.394947,1.369220,0,0.007335,1,17.429567,1.156679,1
0.750000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,W,940.881407,984.417100,581.000000,0.125705,4621.934586,1075.000000,12789.000000,581.000000,604.281140,962.649254,29.023796,894.000000,1041.000000,940.881407,984.417100,957.879928,8.297428,37.266532,19.442513,0,3.171172,3,950.400371,21.904966,873.000000,1020.000000,933.971647,966.829095,945.839627,0.794381,17.394947,1.369220,0,0.007335,1,12.040301,8.335368,1
1.000000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,W,933.625458,991.673049,688.000000,0.149232,4610.270145,1075.000000,12789.000000,688.000000,704.865129,962.649254,29.023796,894.000000,1041.000000,933.625458,991.673049,958.477041,2.703887,28.683573,4.329467,0,4.283795,5,950.400371,21.904966,873.000000,1020.000000,928.495405,972.305337,946.622698,0.350995,17.766661,0.534015,0,5.226047,3,11.854343,2.726574,1
1.500000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,W,919.113560,1006.184947,841.000000,0.178398,4714.177742,1075.000000,12789.000000,841.000000,783.169003,962.649254,29.023796,894.000000,1041.000000,919.113560,1006.184947,957.596811,1.409451,27.010919,1.577131,0,6.659155,9,950.400371,21.904966,873.000000,1020.000000,917.542922,983.257820,947.121500,0.208797,18.391196,0.220447,0,41.507900,7,10.475310,1.424833,1
2.000000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,W,904.601663,1020.696845,907.000000,0.187092,4847.891526,1075.000000,12789.000000,907.000000,865.669933,962.649254,29.023796,894.000000,1041.000000,904.601663,1020.696845,959.509044,1.073645,27.761362,1.126965,0,20.062654,13,950.400371,21.904966,873.000000,1020.000000,906.590439,994.210303,947.603764,0.194922,18.781117,0.186207,0,101.814215,9,11.905280,1.091195,1
0.500000,D,25477,10.671600,4.720000,26.395000,-6.384000,18.560000,b1,4.500000,7.500000,6.000000,Em,-11.508329,-3.300831,350.000000,0.007905,44276.624199,1075.000000,12789.000000,350.000000,4257.528373,-7.404580,8.207499,-30.000000,12.000000,-11.508329,-3.300831,-6.232476,3.412396,7.333112,5.570494,0,11.119868,1,6.984310,6.285403,-16.000000,26.000000,2.984310,10.984310,5.363241,0.200143,5.112712,0.461976,0,1.442907,1,-11.595717,3.418260,1
